Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,1027.2,1060.79,1025.28,1054.68,1593400,0
2019-01-03,1050.67,1066.26,1022.37,1025.47,2098000,0
2019-01-04,1042.56,1080.0,1036.86,1078.07,2301100,0
2019-01-07,1080.97,1082.7,1062.64,1075.92,2372300,0
2019-01-08,1086.0,1093.35,1068.35,1085.37,1770700,0
2019-01-09,1087.99,1091.64,1074.37,1081.65,1349900,0
2019-01-10,1074.94,1079.81,1064.68,1078.83,1329900,0
2019-01-11,1069.9,1073.37,1056.43,1064.47,1543200,0
2019-01-14,1053.34,1058.45,1048.55,1051.51,1424500,0
2019-01-15,1058.01,1088.27,1054.44,1086.51,1875900,0
2019-01-16,1090.0,1102.36,1088.01,1089.51,1914000,0
2019-01-17,1087.99,1100.7,1083.26,1099.12,1244800,0
2019-01-18,1108.59,1118.0,1099.28,1107.3,2244600,0
2019-01-22,1096.0,1098.97,1070.89,1078.63,1981600,0
2019-01-23,1086.86,1092.95,1067.57,1084.41,1259700,0
2019-01-24,1082.51,1088.0,1070.02,1084.0,1455700,0
2019-01-25,1094.23,1103.36,1091.8,1101.51,1163000,0
2019-01-28,1090.07,1093.37,1074.61,1079.86,1466700,0
2019-01-29,1081.04,1084.73,1066.02,1070.06,985200,0
2019-01-30,1077.36,1099.52,1076.64,1097.99,1472600,0
2019-01-31,1112.24,1127.67,1105.25,1125.89,2011600,0
2019-02-01,1122.29,1134.4,1114.25,1118.62,1655800,0
2019-02-04,1119.01,1142.34,1117.51,1141.42,3920400,0
2019-02-05,1129.63,1152.77,1123.6,1151.87,4114800,0
2019-02-06,1149.27,1154.0,1118.36,1122.89,2412800,0
2019-02-07,1111.82,1111.99,1093.59,1105.91,1914900,0
2019-02-08,1094.88,1105.1,1094.24,1102.38,1088300,0
2019-02-11,1103.75,1113.43,1100.0,1102.12,924900,0
2019-02-12,1111.01,1132.86,1111.01,1127.58,1751800,0
2019-02-13,1133.04,1142.85,1126.0,1128.63,1402100,0
2019-02-14,1125.0,1136.13,1117.09,1129.2,1055300,0
2019-02-15,1139.3,1139.3,1116.72,1119.63,1391300,0
2019-02-19,1116.64,1129.64,1116.64,1126.51,1099000,0
2019-02-20,1128.88,1130.93,1111.75,1120.59,1204500,0
2019-02-21,1118.78,1119.15,1097.98,1104.21,1663600,0
2019-02-22,1109.7,1117.25,1100.5,1116.56,1471800,0
2019-02-25,1121.93,1125.4,1114.11,1117.33,1310400,0
2019-02-26,1114.37,1126.44,1106.7,1122.01,1751300,0
2019-02-27,1114.01,1125.73,1108.56,1122.89,1104600,0
2019-02-28,1119.0,1133.99,1118.41,1126.55,1371100,0
2019-03-01,1131.0,1150.0,1131.0,1148.52,1704300,0
2019-03-04,1154.56,1165.52,1138.25,1153.42,1774500,0
2019-03-05,1156.0,1176.49,1153.02,1169.19,2004700,0
2019-03-06,1171.76,1174.74,1163.05,1164.94,1180100,0
2019-03-07,1160.5,1163.58,1141.71,1150.85,1504300,0
2019-03-08,1133.9,1153.45,1130.2,1149.97,1184700,0
2019-03-11,1152.0,1179.91,1151.57,1179.26,1501600,0
2019-03-12,1182.3,1205.71,1182.3,1197.25,2111000,0
2019-03-13,1205.93,1207.12,1197.91,1199.06,1294400,0
2019-03-14,1199.02,1204.7,1191.23,1192.53,1365100,0
2019-03-15,1198.0,1201.72,1187.01,1190.3,2594300,0
2019-03-18,1189.69,1194.95,1181.48,1188.55,1222100,0
2019-03-19,1191.72,1203.41,1189.46,1202.46,1489400,0
2019-03-20,1201.4,1229.99,1199.59,1226.43,2075400,0
2019-03-21,1220.0,1236.44,1216.58,1236.13,1407500,0
2019-03-22,1228.85,1233.63,1206.0,1207.65,1721100,0
2019-03-25,1199.56,1209.44,1190.0,1197.38,1378800,0
2019-03-26,1205.19,1207.65,1181.76,1189.84,1537600,0
2019-03-27,1191.92,1191.92,1164.23,1178.01,1471400,0
2019-03-28,1175.5,1177.25,1163.43,1172.27,1120100,0
2019-03-29,1180.18,1183.97,1166.38,1176.89,1544500,0
2019-04-01,1187.54,1200.2,1186.36,1198.98,1385300,0
2019-04-02,1200.05,1205.81,1191.24,1205.54,914400,0
2019-04-03,1212.7,1220.6,1205.08,1210.81,1109600,0
2019-04-04,1211.29,1220.55,1209.04,1219.45,1051100,0
2019-04-05,1219.3,1220.39,1210.03,1211.45,1000600,0
2019-04-08,1211.11,1213.95,1204.7,1208.28,1087500,0
2019-04-09,1201.89,1207.15,1198.38,1202.69,983400,0
2019-04-10,1205.09,1208.94,1200.66,1206.45,775500,0
2019-04-11,1208.9,1212.74,1204.54,1209.59,849900,0
2019-04-12,1215.62,1223.05,1213.29,1222.73,1215600,0
2019-04-15,1224.09,1229.3,1214.56,1226.53,1189800,0
2019-04-16,1230.0,1235.98,1225.04,1231.91,1131100,0
2019-04-17,1237.0,1245.1,1232.9,1240.14,1518300,0
2019-04-18,1245.0,1245.94,1239.41,1241.47,1237500,0
2019-04-22,1236.67,1254.34,1233.37,1253.76,954200,0
2019-04-23,1256.64,1274.43,1251.97,1270.59,1593400,0
2019-04-24,1270.59,1274.0,1259.81,1260.05,1169800,0
2019-04-25,1270.3,1272.8,1258.0,1267.34,1567200,0
2019-04-26,1273.38,1278.91,1265.0,1277.42,1361400,0
2019-04-29,1280.51,1296.97,1271.71,1296.2,3618400,0
2019-04-30,1190.63,1200.98,1183.0,1198.96,6658900,0
2019-05-01,1197.5,1199.25,1171.68,1173.32,3717000,0
2019-05-02,1172.6,1179.38,1158.33,1166.51,2254900,0
2019-05-03,1177.41,1191.4,1173.55,1189.55,2079400,0
2019-05-06,1172.0,1195.43,1171.16,1193.46,1588700,0
2019-05-07,1185.81,1194.77,1165.0,1178.86,1830200,0
2019-05-08,1177.29,1184.27,1167.63,1170.78,1276000,0
2019-05-09,1162.6,1174.07,1154.64,1167.97,1477800,0
2019-05-10,1168.84,1176.28,1146.37,1167.64,1582500,0
2019-05-13,1145.24,1151.97,1125.5,1136.59,2281300,0
2019-05-14,1142.32,1144.87,1123.53,1124.86,2019600,0
2019-05-15,1122.55,1178.3,1121.4,1170.8,2965100,0
2019-05-16,1171.84,1194.16,1168.45,1184.5,1765400,0
2019-05-17,1175.83,1186.29,1166.42,1168.78,1268100,0
2019-05-20,1153.0,1153.0,1138.14,1144.66,1530100,0
2019-05-21,1154.48,1158.0,1143.31,1154.44,1028100,0
2019-05-22,1151.25,1163.78,1151.0,1155.85,941300,0
