Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,37.77,38.11,37.6,37.88,2381700,0.0
2019-01-03,38.11,38.29,37.83,37.83,2756700,0.0
2019-01-04,38.11,38.71,38.11,38.62,2960400,0.0
2019-01-07,38.59,38.99,38.37,38.81,3403400,0.0
2019-01-08,38.35,39.09,38.35,39.06,3114600,0.0
2019-01-09,39.41,39.43,39.12,39.2,2241800,0.0
2019-01-10,38.99,39.43,38.9,39.36,2972500,0.0
2019-01-11,39.17,39.57,39.1,39.38,3552700,0.0
2019-01-14,38.73,38.77,38.38,38.61,5207100,0.0
2019-01-15,38.52,39.1,38.49,39.05,3528700,0.0
2019-01-16,38.42,38.66,38.32,38.41,3627300,0.0
2019-01-17,38.55,39.06,38.5,38.98,3817900,0.0
2019-01-18,39.05,39.22,38.92,39.06,5922500,0.0
2019-01-22,38.7,39.06,38.67,38.97,2807700,0.0
2019-01-23,39.37,39.5,38.84,39.07,2735400,0.0
2019-01-24,38.58,38.61,38.25,38.37,4394600,0.0
2019-01-25,38.36,38.56,38.26,38.42,2850000,0.0
2019-01-28,38.25,38.49,38.16,38.44,2520900,0.0
2019-01-29,38.73,38.93,38.63,38.72,2263800,0.0
2019-01-30,39.13,39.18,38.45,38.71,5768300,0.0
2019-01-31,38.74,39.25,38.62,39.2,4001700,0.0
2019-02-01,39.08,39.36,39.02,39.2,2313900,0.0
2019-02-04,39.15,39.18,38.94,39.14,2166300,0.0
2019-02-05,39.48,39.78,39.42,39.45,3197300,0.0
2019-02-06,39.92,40.76,39.85,40.68,5727700,0.0
2019-02-07,41.08,41.18,40.49,40.57,3674200,0.0
2019-02-08,40.8,41.21,40.72,41.09,3130100,0.0
2019-02-11,40.33,40.43,40.12,40.23,5360900,0.0
2019-02-12,40.26,40.61,40.23,40.53,3235400,0.0
2019-02-13,40.1,40.53,40.07,40.37,3065400,0.0
2019-02-14,40.59,40.97,40.53,40.86,2940800,0.0
2019-02-15,41.21,41.31,41.04,41.24,3213900,0.0
2019-02-19,41.22,41.43,41.22,41.29,2676300,0.0
2019-02-20,41.18,41.61,41.15,41.36,2600400,0.0
2019-02-21,40.53,40.71,40.43,40.54,2457800,0.597034
2019-02-22,40.2,40.66,40.15,40.55,2279800,0.0
2019-02-25,40.63,40.72,40.43,40.49,2203200,0.0
2019-02-26,40.43,40.7,40.33,40.5,1766100,0.0
2019-02-27,40.36,40.68,40.34,40.46,3308600,0.0
2019-02-28,40.3,40.67,40.26,40.36,3600700,0.0
2019-03-01,40.41,40.58,40.33,40.39,2323800,0.0
2019-03-04,40.49,40.49,40.11,40.28,2081900,0.0
2019-03-05,40.2,40.54,40.12,40.36,1990600,0.0
2019-03-06,40.53,40.53,40.05,40.19,1517300,0.0
2019-03-07,40.17,40.28,39.91,40.12,3026600,0.0
2019-03-08,40.15,40.17,39.82,40.12,1678100,0.0
2019-03-11,40.13,40.25,39.91,40.08,1759600,0.0
2019-03-12,39.82,40.18,39.82,40.05,1298100,0.0
2019-03-13,40.25,40.38,40.14,40.35,1164900,0.0
2019-03-14,40.47,40.58,40.35,40.43,1574700,0.0
2019-03-15,40.51,40.64,40.34,40.63,2115800,0.0
2019-03-18,40.63,40.67,40.3,40.49,1365000,0.0
2019-03-19,40.58,40.73,40.39,40.45,2210600,0.0
2019-03-20,40.76,40.98,40.56,40.81,2035000,0.0
2019-03-21,41.2,41.47,41.14,41.24,2568600,0.0
2019-03-22,41.45,41.62,41.25,41.25,2510400,0.0
2019-03-25,41.26,41.4,41.13,41.21,2105900,0.0
2019-03-26,41.85,41.87,41.51,41.6,2450200,0.0
2019-03-27,41.83,41.95,41.53,41.73,3156700,0.0
2019-03-28,42.0,42.15,41.82,41.87,3448600,0.0
2019-03-29,41.93,41.98,41.64,41.79,2364300,0.0
2019-04-01,42.07,42.07,41.7,41.81,2336200,0.0
2019-04-02,42.08,42.2,41.86,41.88,3132900,0.0
2019-04-03,41.75,41.99,41.63,41.76,2817700,0.0
2019-04-04,41.83,41.86,41.53,41.69,2198600,0.0
2019-04-05,41.82,41.88,41.54,41.6,1954300,0.0
2019-04-08,41.85,41.85,41.56,41.67,2044900,0.0
2019-04-09,41.59,41.65,41.42,41.49,1810200,0.0
2019-04-10,41.47,41.56,41.24,41.27,1916000,0.0
2019-04-11,41.29,41.31,40.85,40.94,2750800,0.0
2019-04-12,40.66,40.9,40.51,40.6,2756700,0.0
2019-04-15,40.87,41.02,40.75,40.77,2170500,0.0
2019-04-16,41.1,41.1,40.27,40.27,2585500,0.0
2019-04-17,40.58,40.6,39.92,39.98,3807300,0.0
2019-04-18,39.94,40.02,39.7,39.85,2670100,0.0
2019-04-22,39.79,39.91,39.62,39.68,1650100,0.0
2019-04-23,40.15,40.39,40.11,40.22,3824800,0.0
2019-04-24,40.14,40.19,39.81,39.93,2864200,0.0
2019-04-25,40.03,40.24,39.89,40.22,2036300,0.0
2019-04-26,40.33,40.41,40.12,40.4,1931100,0.0
2019-04-29,40.59,40.63,40.34,40.45,2065700,0.0
2019-04-30,40.8,41.16,40.6,41.13,5134100,0.0
2019-05-01,40.85,40.94,40.03,40.41,4365500,0.0
2019-05-02,40.44,40.54,40.28,40.46,2390000,0.0
2019-05-03,40.89,40.9,40.59,40.75,2170100,0.0
2019-05-06,40.28,40.61,40.26,40.53,2023000,0.0
2019-05-07,40.14,40.23,39.43,39.59,3161800,0.0
2019-05-08,39.67,39.85,39.6,39.74,2034000,0.0
2019-05-09,39.4,39.74,39.36,39.66,1680000,0.0
2019-05-10,39.42,39.57,39.13,39.53,2573500,0.0
2019-05-13,39.13,39.45,39.07,39.34,2329000,0.0
2019-05-14,39.39,39.56,39.16,39.21,2328900,0.0
2019-05-15,39.45,39.66,39.34,39.58,2248400,0.0
2019-05-16,39.41,39.64,39.3,39.34,2584400,0.473036
2019-05-17,39.27,39.68,39.27,39.46,1924400,0.0
2019-05-20,39.28,39.53,39.26,39.39,1713400,0.0
