Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,169.71,173.18,169.05,172.41,4242900,0.0
2019-01-03,171.84,171.84,168.21,168.61,4810500,0.0
2019-01-04,170.18,174.74,169.52,173.62,4762600,0.0
2019-01-07,173.83,178.18,173.83,177.04,4928800,0.0
2019-01-08,178.57,179.59,175.61,177.89,4722400,0.0
2019-01-09,177.87,181.27,177.1,179.73,4922000,0.0
2019-01-10,178.03,179.24,176.34,179.06,3605300,0.0
2019-01-11,177.93,180.26,177.12,179.41,3285100,0.0
2019-01-14,177.59,179.23,176.9,178.81,3871400,0.0
2019-01-15,176.08,177.82,175.2,176.47,5016100,0.0
2019-01-16,177.09,177.93,175.86,177.04,4075400,0.0
2019-01-17,174.01,175.46,172.0,174.87,6499200,0.0
2019-01-18,176.98,180.04,176.18,179.58,6371100,0.0
2019-01-22,177.49,178.6,175.36,177.11,6272700,0.0
2019-01-23,176.59,178.06,174.53,176.89,4910400,0.0
2019-01-24,177.0,177.53,175.3,177.29,3860100,0.0
2019-01-25,179.78,180.87,178.61,180.4,4501800,0.0
2019-01-28,178.97,179.99,177.41,179.83,4091400,0.0
2019-01-29,178.96,180.15,178.09,179.69,3686900,0.0
2019-01-30,180.47,184.2,179.78,182.18,5197700,0.0
2019-01-31,181.5,184.67,181.06,183.53,5138000,0.0
2019-02-01,184.03,185.15,182.83,184.37,4513100,0.0
2019-02-04,184.3,186.43,183.84,186.43,3050200,0.0
2019-02-05,186.89,186.99,184.69,186.39,4135200,0.0
2019-02-06,186.69,186.69,184.06,184.72,3072500,0.0
2019-02-07,183.74,184.92,182.45,184.07,2793400,0.0
2019-02-08,183.05,184.58,182.72,184.54,2792300,0.0
2019-02-11,185.0,185.42,182.75,182.92,3729200,0.0
2019-02-12,183.84,186.4,183.52,185.52,3773200,0.0
2019-02-13,186.3,188.68,185.92,188.41,4146900,0.0
2019-02-14,187.5,188.93,186.0,187.71,2600600,0.0
2019-02-15,189.87,192.62,189.05,192.39,4997900,0.0
2019-02-19,191.71,193.19,191.28,192.33,3828400,0.0
2019-02-20,192.39,192.4,191.11,191.85,3970100,0.0
2019-02-21,191.85,192.37,190.61,191.82,3094200,0.0
2019-02-22,191.69,192.54,191.62,192.39,3321600,0.0
2019-02-25,192.75,193.42,189.96,189.98,6190700,0.0
2019-02-26,185.59,188.47,182.8,188.3,13635100,0.0
2019-02-27,187.9,188.5,183.21,183.67,8766200,0.0
2019-02-28,183.6,185.19,183.11,185.14,8060600,0.0
2019-03-01,185.82,186.56,182.86,185.17,5481300,0.0
2019-03-04,186.2,186.24,182.1,183.81,5046800,0.0
2019-03-05,184.24,185.12,183.25,184.0,3691000,0.0
2019-03-06,184.53,184.97,183.84,184.45,4460900,0.0
2019-03-07,184.39,184.62,181.58,182.51,4122200,0.0
2019-03-08,181.49,181.91,179.52,181.23,3867100,0.0
2019-03-11,182.0,183.2,181.2,182.44,3866200,0.0
2019-03-12,183.43,184.27,182.33,184.0,3777000,0.0
2019-03-13,183.24,183.78,181.08,181.14,4528300,1.36
2019-03-14,181.28,181.74,180.5,181.61,4393000,0.0
2019-03-15,182.3,182.49,179.57,182.23,8059100,0.0
2019-03-18,182.53,183.48,182.33,183.42,4395800,0.0
2019-03-19,184.19,185.82,183.48,184.13,4437100,0.0
2019-03-20,184.3,187.12,183.43,186.1,4772600,0.0
