Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,20.03,20.78,20.0,20.63,9467400,0.0
2019-01-03,20.35,20.4,19.7,19.93,13459000,0.0
2019-01-04,20.38,20.89,20.27,20.72,9220400,0.0
2019-01-07,20.75,21.16,20.74,20.95,8167600,0.0
2019-01-08,21.22,21.42,20.84,21.21,6355900,0.0
2019-01-09,21.34,21.46,21.01,21.21,8326700,0.0
2019-01-10,21.12,21.53,21.06,21.47,8015000,0.0
2019-01-11,21.24,21.29,20.8,21.17,12524900,0.0
2019-01-14,20.94,21.09,20.68,20.79,9626100,0.0
2019-01-15,20.8,21.07,20.65,21.01,8839400,0.0
2019-01-16,20.95,21.18,20.71,21.05,8633200,0.0
2019-01-17,20.95,21.45,20.92,21.23,11295400,0.0
2019-01-18,21.36,21.79,21.29,21.75,10827100,0.0
2019-01-22,21.62,21.65,21.18,21.32,15246600,0.0
2019-01-23,21.41,21.58,21.19,21.44,10037100,0.0
2019-01-24,21.55,21.95,21.51,21.77,5623200,0.0
2019-01-25,21.94,22.12,21.84,22.1,7290600,0.0
2019-01-28,21.83,22.0,21.68,21.98,6033200,0.0
2019-01-29,22.12,22.23,21.85,21.88,6811600,0.0
2019-01-30,22.09,22.24,21.91,22.2,7559200,0.0
2019-01-31,22.2,22.26,22.01,22.03,11203200,0.0
2019-02-01,22.16,22.29,21.93,22.26,7946700,0.0
2019-02-04,22.27,22.6,22.16,22.55,6486400,0.0
2019-02-05,22.57,22.82,22.57,22.8,6946500,0.0
2019-02-06,22.8,23.09,22.8,23.07,5836900,0.0
2019-02-07,22.92,23.02,22.69,22.86,7607700,0.0
2019-02-08,22.65,22.93,22.6,22.92,6870400,0.0
2019-02-11,23.0,23.2,22.79,22.86,7093200,0.0
2019-02-12,23.01,23.4,23.0,23.35,6945300,0.0
2019-02-13,23.44,23.54,23.22,23.32,9811200,0.0
2019-02-14,23.23,23.46,23.19,23.23,7696600,0.0
2019-02-15,23.33,23.4,23.14,23.28,10865500,0.0
2019-02-19,23.24,23.39,23.18,23.25,7177100,0.0
2019-02-20,23.28,23.53,23.25,23.38,7660100,0.0
2019-02-21,23.21,23.62,23.21,23.39,9610900,0.0
2019-02-22,23.55,23.82,23.52,23.74,6729600,0.0
2019-02-25,23.83,24.09,23.81,23.91,13031100,0.0
2019-02-26,23.78,23.99,23.76,23.9,9502200,0.0
2019-02-27,23.75,23.89,23.61,23.85,10887200,0.0
2019-02-28,20.05,20.34,19.34,19.73,53508300,0.0
2019-03-01,19.92,19.95,19.49,19.6,29705800,0.0
2019-03-04,19.61,19.91,19.35,19.53,21409900,0.0
2019-03-05,19.54,19.74,19.35,19.36,15526900,0.0
2019-03-06,19.33,19.35,19.06,19.08,14410400,0.0
2019-03-07,19.0,19.02,18.73,18.82,14276200,0.0
2019-03-08,18.53,18.75,18.46,18.74,10238700,0.0
2019-03-11,18.78,19.21,18.78,19.04,11834900,0.0
2019-03-12,18.92,19.11,18.86,19.06,19010700,0.16
2019-03-13,19.1,19.63,19.05,19.61,25276400,0.0
2019-03-14,19.62,19.71,19.49,19.64,18526800,0.0
2019-03-15,19.65,19.97,19.64,19.94,22557800,0.0
2019-03-18,19.91,20.07,19.84,19.95,13232400,0.0
2019-03-19,20.03,20.28,19.91,20.0,13000000,0.0
