Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,47.19,47.6,46.97,47.42,2424800,0.0
2019-01-03,47.12,47.53,46.34,46.6,1923000,0.0
2019-01-04,47.22,48.83,46.68,48.8,4098700,0.0
2019-01-07,48.76,49.76,48.44,49.33,2480100,0.0
2019-01-08,49.63,49.98,48.92,49.76,2038800,0.0
2019-01-09,49.76,50.13,49.34,49.61,1846300,0.0
2019-01-10,49.43,49.91,49.26,49.89,1645900,0.0
2019-01-11,49.51,49.82,49.08,49.78,1202800,0.0
2019-01-14,49.34,49.99,49.11,49.65,2023500,0.0
2019-01-15,50.19,51.04,49.79,50.77,2868600,0.0
2019-01-16,50.59,51.2,50.44,51.11,2999500,0.0
2019-01-17,50.82,51.63,50.54,51.4,1931800,0.0
2019-01-18,51.55,51.88,51.31,51.61,2416900,0.0
2019-01-22,51.42,51.74,51.12,51.5,1985700,0.0
2019-01-23,51.56,51.72,50.96,51.25,1384400,0.0
2019-01-24,51.14,51.35,50.78,51.01,1184200,0.0
2019-01-25,51.27,51.66,51.19,51.52,3612600,0.0
2019-01-28,51.0,51.24,50.59,50.78,2305000,0.0
2019-01-29,50.85,50.97,50.47,50.6,1873300,0.0
2019-01-30,50.76,51.75,50.67,51.43,2590100,0.0
2019-01-31,51.35,51.99,51.25,51.92,2825200,0.0
2019-02-01,51.83,52.57,51.22,51.77,1726800,0.0
2019-02-04,51.84,52.38,51.77,52.23,1906200,0.0
2019-02-05,52.13,52.23,51.85,52.21,1856100,0.0
2019-02-06,52.01,52.37,51.9,52.28,1218200,0.0
2019-02-07,51.92,52.26,51.6,52.21,1695000,0.0
2019-02-08,51.86,52.41,51.74,52.41,1570600,0.0
2019-02-11,52.51,52.92,52.45,52.61,1474400,0.0
2019-02-12,52.88,53.3,51.11,53.11,1580300,0.0
2019-02-13,53.34,53.79,53.19,53.35,1940600,0.0
2019-02-14,53.09,53.23,52.32,52.99,1123100,0.0
2019-02-15,53.47,53.74,53.22,53.42,1917600,0.0
2019-02-19,53.2,53.4,52.85,53.13,1541700,0.0
2019-02-20,53.22,53.35,52.94,53.04,1411600,0.0
2019-02-21,53.09,53.38,52.51,53.08,1535500,0.0
2019-02-22,53.2,53.21,52.29,53.11,1715300,0.0
2019-02-25,53.5,53.55,52.94,52.99,2174900,0.0
2019-02-26,53.04,53.17,52.61,53.02,1482700,0.0
2019-02-27,52.84,53.21,52.76,53.05,1618200,0.0
2019-02-28,52.97,53.69,52.93,53.17,2875800,0.0
2019-03-01,53.47,54.19,53.21,53.98,2573900,0.0
2019-03-04,54.2,54.35,53.06,53.57,1819100,0.0
2019-03-05,54.14,54.14,53.42,53.43,1145500,0.0
2019-03-06,53.46,53.72,53.0,53.04,1289800,0.0
2019-03-07,53.03,53.41,52.44,52.9,1646800,0.0
2019-03-08,52.54,52.63,52.06,52.54,1295400,0.0
2019-03-11,52.58,53.67,52.58,53.62,1819700,0.0
2019-03-12,53.78,54.29,53.76,54.09,1672600,0.0
2019-03-13,54.43,54.9,54.22,54.39,2047200,0.0
2019-03-14,54.4,54.71,54.07,54.13,1561200,0.0
2019-03-15,54.15,54.65,54.07,54.52,3958500,0.0
2019-03-18,54.52,55.35,54.52,55.29,2410000,0.0
2019-03-19,55.36,55.62,55.14,55.25,1588500,0.0
2019-03-20,55.17,55.36,54.77,54.82,1546800,0.0
2019-03-21,54.72,55.57,54.23,55.46,1503600,0.0
2019-03-22,55.29,55.46,54.44,54.54,1509800,0.0
2019-03-25,54.4,54.59,54.03,54.34,2206600,0.0
2019-03-26,53.8,53.8,52.75,53.27,3710800,0.0
2019-03-27,53.24,53.41,52.43,52.6,2897800,0.0
2019-03-28,52.72,53.89,52.55,53.81,2948200,0.0
2019-03-29,54.2,54.46,53.82,54.38,2467100,0.0
2019-04-01,54.73,55.08,54.49,54.66,2255900,0.0
2019-04-02,54.82,55.0,54.58,54.73,1905100,0.0
2019-04-03,54.92,55.25,54.75,54.94,1495400,0.0
2019-04-04,54.93,55.02,54.71,54.96,1557600,0.0
2019-04-05,55.0,55.28,54.03,54.77,1310600,0.0
2019-04-08,54.72,54.97,54.34,54.89,1487700,0.0
2019-04-09,54.74,55.01,54.62,54.87,1055600,0.0
2019-04-10,54.98,55.17,54.79,54.97,866400,0.0
2019-04-11,55.0,55.1,54.77,55.01,864100,0.0
2019-04-12,55.16,55.31,54.89,55.08,1242700,0.0
2019-04-15,55.09,55.21,54.9,55.13,901500,0.0
2019-04-16,55.3,55.47,55.09,55.17,993000,0.0
2019-04-17,55.39,55.39,54.48,54.61,1338000,0.0
2019-04-18,54.89,55.05,54.28,55.01,1190600,0.0
2019-04-22,54.74,55.7,54.44,55.66,1837300,0.0
2019-04-23,55.7,56.59,55.06,56.29,1793300,0.0
2019-04-24,56.27,57.69,56.05,56.08,1429200,0.0
2019-04-25,55.82,56.5,55.06,56.3,1161300,0.0
2019-04-26,56.51,56.8,56.12,56.57,1307200,0.0
2019-04-29,56.75,57.2,56.61,56.9,1239800,0.0
2019-04-30,57.0,57.41,56.78,57.26,2041600,0.0
2019-05-01,57.17,57.44,56.45,56.48,1221200,0.0
2019-05-02,56.33,56.6,55.83,56.56,1460300,0.0
2019-05-03,56.81,57.24,56.78,57.0,818600,0.0
2019-05-06,56.06,57.14,56.06,56.98,847700,0.0
2019-05-07,56.42,56.76,55.81,56.08,1718400,0.0
2019-05-08,56.11,56.43,55.81,56.15,945400,0.0
2019-05-09,55.65,55.89,55.3,55.72,1418700,0.0
2019-05-10,55.54,56.28,54.99,56.2,1227700,0.0
2019-05-13,55.09,55.28,54.33,54.64,1419300,0.0
2019-05-14,54.73,56.51,54.59,56.14,1280600,0.0
2019-05-15,55.82,56.9,55.76,56.62,1365400,0.0
2019-05-16,56.87,58.17,56.82,57.69,1885100,0.0
2019-05-17,57.17,57.89,57.17,57.4,1889000,0.0
2019-05-20,57.06,57.91,56.94,57.5,1349400,0.0
2019-05-21,57.92,58.5,57.69,58.43,1424400,0.0
2019-05-22,58.4,59.14,57.99,58.72,1555200,0.0
