Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,9.5,9.73,9.47,9.61,9818900,0.0
2019-01-03,9.55,9.59,9.47,9.47,9404900,0.0
2019-01-04,9.52,9.72,9.5,9.63,7119000,0.0
2019-01-07,9.7,9.81,9.66,9.71,7732700,0.0
2019-01-08,9.82,9.85,9.72,9.75,9391600,0.0
2019-01-09,9.76,9.89,9.74,9.87,9634300,0.0
2019-01-10,9.78,9.89,9.7,9.88,13956500,0.0
2019-01-11,10.18,10.68,10.12,10.41,40526400,0.0
2019-01-14,10.18,10.41,10.13,10.37,34162200,0.0
2019-01-15,10.57,10.58,10.46,10.49,12153400,0.0
2019-01-16,10.57,10.64,10.55,10.61,12048400,0.0
2019-01-17,10.54,10.63,10.5,10.58,9581000,0.0
2019-01-18,10.6,10.69,10.58,10.67,10168700,0.0
2019-01-22,10.64,10.68,10.47,10.53,10437700,0.0
2019-01-23,10.56,10.56,10.43,10.53,8108100,0.0
2019-01-24,10.53,10.55,10.43,10.43,6627700,0.056131
2019-01-25,10.51,10.58,10.41,10.55,8839100,0.0
2019-01-28,10.49,10.57,10.44,10.52,5192200,0.0
2019-01-29,10.49,10.53,10.42,10.48,8271100,0.0
2019-01-30,10.46,10.63,10.42,10.59,7026000,0.0
2019-01-31,10.68,10.82,10.68,10.8,10354900,0.0
2019-02-01,10.85,10.93,10.81,10.9,6651300,0.0
2019-02-04,10.83,10.88,10.79,10.87,7449000,0.0
2019-02-05,10.85,10.92,10.83,10.84,6926300,0.0
2019-02-06,10.91,10.94,10.85,10.9,5478400,0.0
2019-02-07,10.86,10.93,10.8,10.85,7116200,0.0
2019-02-08,10.83,10.89,10.81,10.86,4103300,0.0
2019-02-11,10.86,10.89,10.79,10.82,5929600,0.0
2019-02-12,10.85,10.86,10.76,10.77,6300600,0.0
2019-02-13,10.85,10.87,10.77,10.8,9532300,0.0
2019-02-14,10.65,10.76,10.62,10.76,8443400,0.0
2019-02-15,10.68,10.78,10.64,10.76,9269100,0.0
2019-02-19,10.47,10.57,10.38,10.55,13443300,0.0
2019-02-20,10.62,10.73,10.62,10.7,6693600,0.0
2019-02-21,10.6,10.62,10.49,10.55,6913200,0.0
2019-02-22,10.56,10.68,10.55,10.63,4644600,0.0
2019-02-25,10.83,10.92,10.78,10.81,7781200,0.0
2019-02-26,10.7,10.76,10.62,10.73,6343700,0.0
2019-02-27,10.61,10.73,10.57,10.7,6812900,0.0
2019-02-28,10.69,10.77,10.65,10.72,6815000,0.0
2019-03-01,10.79,10.87,10.74,10.84,8012100,0.0
2019-03-04,10.85,10.87,10.66,10.72,5650900,0.0
2019-03-05,10.72,10.8,10.65,10.77,5576000,0.0
2019-03-06,10.7,10.75,10.68,10.71,6026600,0.0
2019-03-07,10.65,10.71,10.48,10.49,8304200,0.0
2019-03-08,10.41,10.48,10.36,10.47,6145300,0.0
2019-03-11,10.48,10.57,10.46,10.55,5497300,0.0
2019-03-12,10.53,10.55,10.46,10.52,9129600,0.0
2019-03-13,10.53,10.6,10.48,10.55,10809900,0.0
2019-03-14,10.52,10.61,10.48,10.6,5964500,0.0
2019-03-15,10.69,10.77,10.69,10.7,7108200,0.0
2019-03-18,10.7,10.74,10.68,10.72,5828700,0.0
2019-03-19,10.8,10.91,10.79,10.9,7204100,0.0
2019-03-20,10.97,11.04,10.88,10.94,7616300,0.0
2019-03-21,10.94,11.08,10.94,11.06,5108000,0.0
2019-03-22,11.05,11.12,10.86,10.88,8525300,0.0
2019-03-25,10.86,10.88,10.77,10.82,7322400,0.0
2019-03-26,10.86,10.88,10.77,10.82,4427200,0.0
2019-03-27,10.79,10.83,10.67,10.73,5644900,0.0
2019-03-28,10.91,10.94,10.83,10.88,5429900,0.0
2019-03-29,10.93,11.03,10.92,10.93,5862300,0.0
2019-04-01,11.07,11.16,11.03,11.09,5765400,0.0
2019-04-02,11.16,11.26,11.1,11.18,7661600,0.0
2019-04-03,11.2,11.28,11.16,11.2,7516300,0.0
2019-04-04,11.09,11.15,11.0,11.07,5658700,0.0
2019-04-05,11.17,11.36,11.15,11.32,9160300,0.0
2019-04-08,11.28,11.38,11.27,11.31,4759200,0.0
2019-04-09,11.23,11.26,11.14,11.15,15865500,0.0
2019-04-10,11.12,11.17,11.04,11.08,15151400,0.0
2019-04-11,11.05,11.07,10.9,10.97,19697600,0.0
2019-04-12,10.6,10.71,10.45,10.55,27590500,0.0
2019-04-15,10.61,10.61,10.5,10.57,15949200,0.0
2019-04-16,10.56,10.57,10.36,10.37,21431800,0.0
2019-04-17,10.42,10.46,10.37,10.41,10317700,0.0
2019-04-18,10.45,10.49,10.34,10.39,18307000,0.0
2019-04-22,10.44,10.47,10.39,10.45,7392500,0.0
