Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,45.96,47.47,45.77,47.08,18774600,0.0
2019-01-03,46.15,46.28,44.39,44.49,32267300,0.0
2019-01-04,45.84,47.57,45.54,47.22,35447300,0.0
2019-01-07,47.1,48.0,46.75,47.44,22736800,0.0
2019-01-08,47.8,48.03,46.78,47.74,22749200,0.0
2019-01-09,47.96,48.57,47.78,48.01,22554500,0.0
2019-01-10,47.75,48.65,47.41,48.56,27202600,0.0
2019-01-11,48.1,49.29,48.05,48.93,21751300,0.0
2019-01-14,48.46,48.83,48.3,48.35,19193900,0.0
2019-01-15,48.71,49.13,48.44,48.6,22480800,0.0
2019-01-16,48.6,48.89,48.08,48.13,19057700,0.0
2019-01-17,48.0,48.84,47.91,48.47,17448700,0.0
2019-01-18,49.11,49.38,48.69,49.19,29874600,0.0
2019-01-22,48.96,48.98,47.87,48.27,25940700,0.0
2019-01-23,48.41,48.8,47.52,47.94,18960700,0.0
2019-01-24,48.7,50.04,48.6,49.76,50578300,0.0
2019-01-25,46.85,47.43,45.75,47.04,86455700,0.0
2019-01-28,46.13,46.73,46.05,46.71,35928700,0.0
2019-01-29,46.78,46.97,46.33,46.54,20988300,0.0
2019-01-30,46.68,47.68,46.45,47.54,26931700,0.0
2019-01-31,46.7,47.18,46.1,47.12,43051300,0.0
2019-02-01,47.06,49.05,47.01,48.73,37442900,0.0
2019-02-04,48.62,49.24,48.24,49.22,20905000,0.0
2019-02-05,49.18,50.72,49.18,50.01,31641600,0.0
2019-02-06,49.95,50.64,49.82,49.9,21647800,0.315
2019-02-07,49.5,49.85,48.68,49.23,27825900,0.0
2019-02-08,48.77,49.02,48.01,48.84,18851200,0.0
2019-02-11,49.02,49.32,48.58,48.77,18004100,0.0
2019-02-12,49.36,50.14,49.27,50.01,18050100,0.0
2019-02-13,50.13,50.81,50.0,50.47,17712800,0.0
2019-02-14,50.41,51.04,50.35,50.81,17545400,0.0
2019-02-15,51.25,51.67,51.09,51.66,22520400,0.0
2019-02-19,51.35,51.71,51.34,51.4,15611800,0.0
2019-02-20,51.63,51.73,51.06,51.39,21607700,0.0
2019-02-21,51.32,51.84,51.21,51.41,16162100,0.0
2019-02-22,52.7,52.98,52.06,52.49,31934100,0.0
2019-02-25,53.06,53.61,52.86,53.1,20711800,0.0
2019-02-26,53.01,53.37,52.91,53.23,16082200,0.0
2019-02-27,52.76,53.38,52.51,53.24,17590300,0.0
2019-02-28,52.92,53.18,52.81,52.96,18388800,0.0
2019-03-01,53.44,53.68,52.89,53.3,18359300,0.0
2019-03-04,53.75,54.1,53.21,53.94,21706100,0.0
2019-03-05,53.85,53.99,53.11,53.68,21057700,0.0
2019-03-06,53.63,53.65,52.94,52.95,14740500,0.0
2019-03-07,52.77,52.99,52.36,52.6,17803000,0.0
2019-03-08,51.97,52.56,51.7,52.48,16793900,0.0
2019-03-11,52.88,53.65,52.57,53.35,18963000,0.0
2019-03-12,53.34,53.96,53.18,53.57,20782100,0.0
2019-03-13,54.0,54.57,53.65,54.37,25522300,0.0
2019-03-14,54.3,54.45,53.33,53.44,26647100,0.0
2019-03-15,53.68,54.69,53.68,54.33,46512500,0.0
2019-03-18,54.42,54.51,53.87,54.1,16274000,0.0
2019-03-19,54.47,54.65,54.0,54.17,18274800,0.0
2019-03-20,54.06,54.4,53.61,53.82,24325300,0.0
2019-03-21,53.92,54.99,53.84,54.64,19127200,0.0
2019-03-22,54.4,54.62,53.21,53.26,21438400,0.0
2019-03-25,52.97,53.55,52.38,52.78,16971400,0.0
2019-03-26,53.32,53.77,53.04,53.44,17724300,0.0
2019-03-27,53.59,53.86,52.94,53.16,19656000,0.0
2019-03-28,53.25,53.44,52.77,53.11,13607900,0.0
2019-03-29,53.8,54.04,53.48,53.7,18736100,0.0
2019-04-01,54.34,54.57,54.1,54.51,17830400,0.0
2019-04-02,54.53,54.8,54.23,54.36,13704500,0.0
2019-04-03,55.03,55.99,54.89,55.48,24552800,0.0
2019-04-04,55.27,56.14,55.27,55.92,16520500,0.0
2019-04-05,55.75,55.95,54.87,55.6,19268400,0.0
2019-04-08,55.28,55.74,55.2,55.68,11758800,0.0
2019-04-09,55.35,55.43,54.9,55.32,13339700,0.0
2019-04-10,55.32,55.86,55.32,55.75,13084000,0.0
2019-04-11,55.76,56.07,55.63,55.8,10845800,0.0
2019-04-12,56.21,56.49,55.84,56.42,12910200,0.0
2019-04-15,56.46,56.56,55.92,56.28,11676900,0.0
2019-04-16,56.66,57.47,56.07,56.71,30301900,0.0
2019-04-17,58.44,59.59,58.12,58.56,38788400,0.0
2019-04-18,58.71,58.88,58.12,58.49,20464200,0.0
2019-04-22,58.15,58.83,57.88,58.82,12327500,0.0
2019-04-23,58.89,58.98,58.5,58.78,17739900,0.0
2019-04-24,58.52,59.29,58.14,58.72,17723700,0.0
2019-04-25,58.3,58.38,57.23,57.61,27949900,0.0
2019-04-26,52.74,53.09,51.52,52.43,72364500,0.0
2019-04-29,52.17,52.43,51.0,51.11,42142300,0.0
2019-04-30,51.0,51.43,50.87,51.04,27130900,0.0
2019-05-01,51.1,51.6,50.74,50.76,20467600,0.0
2019-05-02,50.8,51.33,50.12,50.55,22655400,0.0
2019-05-03,51.08,51.82,50.73,51.75,25656600,0.0
2019-05-06,50.25,51.28,50.19,51.22,26245200,0.315
2019-05-07,50.6,50.88,49.93,50.48,29713400,0.0
2019-05-08,50.2,50.79,49.07,49.24,36812400,0.0
2019-05-09,47.9,48.29,46.05,46.62,59642200,0.0
2019-05-10,46.44,46.8,45.1,46.2,42522800,0.0
2019-05-13,45.33,45.64,44.7,44.76,39091900,0.0
2019-05-14,45.18,45.49,44.87,45.17,24706500,0.0
2019-05-15,44.92,45.75,44.76,45.62,23407900,0.0
2019-05-16,45.47,45.95,45.42,45.53,19954700,0.0
2019-05-17,45.18,45.73,44.76,44.89,22500400,0.0
2019-05-20,44.0,44.52,43.45,43.56,28675000,0.0
2019-05-21,44.34,44.78,44.18,44.46,25543400,0.0
2019-05-22,44.15,44.46,43.85,44.0,16932500,0.0
2019-05-23,43.37,44.74,42.86,44.53,35783900,0.0
2019-05-24,44.59,45.05,44.49,44.57,27168100,0.0
2019-05-28,44.66,44.69,43.3,43.57,34779900,0.0
2019-05-29,43.35,44.53,43.33,44.23,28450300,0.0
2019-05-30,44.3,45.03,44.23,44.73,21618900,0.0
2019-05-31,44.18,44.97,43.93,44.04,25532500,0.0
2019-06-03,44.25,44.59,43.2,43.46,31155700,0.0
2019-06-04,44.16,44.86,43.77,44.79,28094900,0.0
2019-06-05,45.11,45.18,44.19,44.55,20802000,0.0
2019-06-06,44.75,45.17,44.51,45.1,19076200,0.0
2019-06-07,45.25,46.12,45.1,46.03,24370300,0.0
2019-06-10,46.23,47.19,46.2,46.8,20806100,0.0
2019-06-11,47.26,47.32,46.52,46.85,18415500,0.0
2019-06-12,46.67,46.67,46.25,46.32,15899100,0.0
2019-06-13,46.6,46.96,46.53,46.7,12267600,0.0
2019-06-14,45.83,46.42,45.55,46.19,15381100,0.0
2019-06-17,46.14,46.53,45.8,46.13,12643300,0.0
2019-06-18,46.75,48.0,46.6,47.37,25732300,0.0
2019-06-19,47.48,47.58,47.0,47.07,17436400,0.0
2019-06-20,47.87,48.05,46.87,47.19,20126800,0.0
2019-06-21,46.95,47.73,46.8,47.46,31096300,0.0
2019-06-24,47.4,47.85,47.17,47.63,14479900,0.0
2019-06-25,47.56,47.68,46.8,46.85,16665600,0.0
2019-06-26,47.65,48.48,47.56,48.19,21886300,0.0
2019-06-27,48.15,48.42,47.24,47.46,23062900,0.0
2019-06-28,47.77,48.2,47.68,47.87,26646200,0.0
2019-07-01,49.29,49.45,47.75,48.05,27505400,0.0
2019-07-02,47.91,48.22,47.69,48.12,15381600,0.0
2019-07-03,48.18,48.56,48.0,48.52,10739100,0.0
2019-07-05,48.03,48.18,47.44,48.08,14339200,0.0
2019-07-08,47.62,47.95,47.07,47.82,16564300,0.0
2019-07-09,47.36,47.8,47.13,47.75,17853200,0.0
2019-07-10,47.92,48.61,47.9,48.21,16032300,0.0
2019-07-11,48.56,48.78,48.31,48.6,16615100,0.0
2019-07-12,49.0,49.93,48.81,49.92,20148700,0.0
2019-07-15,50.0,50.25,49.77,50.12,14345100,0.0
2019-07-16,49.91,50.0,48.96,49.17,17131400,0.0
2019-07-17,49.5,49.7,49.24,49.39,11928600,0.0
2019-07-18,49.28,49.99,48.89,49.94,15679600,0.0
2019-07-19,49.96,50.66,49.91,50.27,29141100,0.0
2019-07-22,50.01,51.52,49.89,51.35,21688000,0.0
2019-07-23,52.0,52.0,51.3,51.75,18413500,0.0
2019-07-24,51.98,52.97,51.8,52.92,20896400,0.0
2019-07-25,52.51,52.6,51.88,52.16,27765400,0.0
2019-07-26,52.69,53.5,51.53,51.59,36401500,0.0
2019-07-29,51.53,52.56,50.78,52.51,21897500,0.0
2019-07-30,51.71,52.31,51.56,51.7,16487700,0.0
2019-07-31,51.51,51.72,50.05,50.55,24169800,0.0
