Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,29.3,30.51,29.16,30.5,5291900,0.0
2019-01-03,30.32,30.73,29.95,30.01,5661000,0.0
2019-01-04,30.42,31.4,30.42,31.21,6400300,0.0
2019-01-07,31.33,32.04,31.2,31.72,5555000,0.0
2019-01-08,32.1,32.4,31.53,31.94,5591600,0.0
2019-01-09,32.04,32.21,31.44,31.97,4273300,0.0
2019-01-10,31.7,32.15,31.58,31.88,4885400,0.0
2019-01-11,31.5,32.35,31.5,32.18,6557400,0.0
2019-01-14,31.98,32.64,31.98,32.37,5315100,0.0
2019-01-15,32.25,32.4,31.48,31.71,4707900,0.0
2019-01-16,31.64,31.99,31.64,31.67,3528100,0.0
2019-01-17,31.49,32.35,31.44,32.26,4449300,0.0
2019-01-18,32.37,33.06,32.3,32.73,5493100,0.0
2019-01-22,32.55,32.58,32.06,32.55,5963400,0.0
2019-01-23,32.62,32.7,31.82,32.04,4237400,0.0
2019-01-24,32.01,32.42,31.99,32.27,3096900,0.0
2019-01-25,32.62,33.02,32.57,32.71,3050700,0.0
2019-01-28,32.41,32.83,32.11,32.69,5234400,0.0
2019-01-29,32.61,33.03,32.61,32.82,3791800,0.0
2019-01-30,32.94,33.3,32.58,33.09,4546800,0.0
2019-01-31,32.99,33.88,32.77,33.77,7861100,0.0
2019-02-01,33.72,34.1,32.9,33.25,6945000,0.0
2019-02-04,33.09,33.84,33.09,33.82,7255900,0.0
2019-02-05,33.79,34.12,33.6,34.04,4083900,0.0
2019-02-06,34.03,34.39,33.95,34.12,4357100,0.0
2019-02-07,33.95,34.09,33.45,33.89,6616000,0.0
2019-02-08,33.72,34.01,33.34,34.0,4308700,0.0
2019-02-11,34.12,34.38,33.95,34.07,4073700,0.0
2019-02-12,34.26,34.74,34.26,34.61,5415500,0.0
2019-02-13,34.75,35.14,34.72,34.83,3771100,0.0
2019-02-14,34.58,34.94,34.48,34.65,2654200,0.0
2019-02-15,34.86,35.24,34.76,35.1,3407600,0.0
2019-02-19,34.88,35.09,34.75,34.91,2793500,0.0
2019-02-20,34.95,35.5,34.87,35.43,3478000,0.0
2019-02-21,35.25,35.76,35.18,35.59,4487600,0.0
2019-02-22,35.7,35.97,35.51,35.77,3499800,0.0
2019-02-25,35.98,36.18,35.82,35.83,2694800,0.0
2019-02-26,35.63,35.96,35.55,35.58,3482500,0.0
2019-02-27,35.37,35.76,35.05,35.51,3183500,0.0
2019-02-28,35.51,35.51,35.1,35.27,3821800,0.0
2019-03-01,35.44,35.47,35.0,35.29,3765000,0.0
2019-03-04,35.43,35.6,34.95,35.31,4143200,0.0
2019-03-05,35.37,35.5,35.19,35.23,2998700,0.0
2019-03-06,35.23,35.46,35.15,35.16,2422500,0.0
2019-03-07,35.43,35.75,34.74,35.67,6603800,0.0
2019-03-08,35.22,35.94,35.12,35.88,4679200,0.0
2019-03-11,35.86,36.17,35.76,36.14,3167300,0.0
2019-03-12,36.14,36.33,36.06,36.09,2531600,0.0
2019-03-13,36.26,36.42,36.01,36.27,2552500,0.0
2019-03-14,36.14,36.27,35.85,36.01,3182900,0.0
2019-03-15,35.91,36.31,35.65,35.83,6559000,0.26
2019-03-18,36.5,36.52,36.1,36.42,4595300,0.0
2019-03-19,36.62,36.82,36.24,36.37,3781900,0.0
2019-03-20,36.38,36.62,35.91,36.38,2839300,0.0
2019-03-21,36.29,37.09,36.16,36.96,2747200,0.0
2019-03-22,36.81,37.02,36.08,36.13,3345400,0.0
2019-03-25,36.2,36.62,36.02,36.16,3017600,0.0
2019-03-26,36.32,36.66,36.29,36.56,3029800,0.0
2019-03-27,36.65,36.92,36.4,36.47,2596900,0.0
2019-03-28,36.66,36.91,36.49,36.9,2304900,0.0
2019-03-29,37.15,37.25,36.61,36.94,3615200,0.0
2019-04-01,37.24,37.36,36.83,36.92,4867400,0.0
2019-04-02,37.02,37.02,36.36,36.5,5215500,0.0
2019-04-03,36.67,36.75,35.92,36.01,7136900,0.0
2019-04-04,36.0,36.65,35.99,36.14,8130400,0.0
2019-04-05,36.12,36.57,36.11,36.19,8554800,0.0
2019-04-08,36.2,36.52,36.11,36.4,4818100,0.0
2019-04-09,36.2,36.26,35.81,35.87,5066700,0.0
2019-04-10,36.02,36.08,35.73,35.82,5095600,0.0
2019-04-11,35.85,35.93,35.69,35.81,9273300,0.0
2019-04-12,35.9,36.2,35.73,36.08,7693400,0.0
2019-04-15,36.11,36.6,35.99,36.6,5244600,0.0
2019-04-16,36.7,36.95,36.44,36.86,7312700,0.0
2019-04-17,37.0,37.06,36.49,36.59,4150100,0.0
2019-04-18,36.71,36.84,36.53,36.75,2119900,0.0
2019-04-22,36.59,36.68,36.26,36.65,2157300,0.0
2019-04-23,36.62,37.0,36.62,36.96,3268100,0.0
2019-04-24,36.91,37.26,36.71,37.1,3069700,0.0
2019-04-25,36.94,36.94,36.59,36.65,2898300,0.0
2019-04-26,36.82,37.19,36.62,37.19,7389300,0.0
2019-04-29,37.2,37.42,37.14,37.32,3037600,0.0
2019-04-30,37.4,37.58,37.09,37.5,4803000,0.0
2019-05-01,39.03,39.84,38.8,39.29,12988900,0.0
2019-05-02,39.25,39.33,38.72,38.98,7163500,0.0
2019-05-03,39.15,39.61,39.07,39.58,3700400,0.0
2019-05-06,39.19,39.69,38.93,39.59,3644800,0.0
2019-05-07,39.35,39.53,38.95,39.25,5142800,0.0
2019-05-08,39.17,39.6,39.11,39.38,6987200,0.0
2019-05-09,39.15,39.61,39.06,39.59,6883000,0.0
2019-05-10,39.33,39.8,39.04,39.68,5353700,0.0
2019-05-13,39.07,39.45,38.99,39.1,7744700,0.0
2019-05-14,39.21,39.59,39.12,39.25,5727000,0.0
2019-05-15,39.2,39.3,39.04,39.05,6203600,0.0
2019-05-16,39.07,39.34,38.93,39.18,5678400,0.0
2019-05-17,39.0,39.18,38.86,38.95,5040900,0.0
2019-05-20,38.86,39.12,38.74,39.09,6675500,0.0
2019-05-21,39.18,39.52,39.11,39.49,6483700,0.0
2019-05-22,39.29,39.43,39.11,39.21,7390800,0.0
2019-05-23,39.05,39.11,38.74,38.76,15821100,0.0
2019-05-24,38.84,38.94,38.47,38.51,14041200,0.0
2019-05-28,38.61,38.74,38.44,38.46,13800200,0.0
2019-05-29,38.35,38.42,37.96,38.25,17837600,0.0
2019-05-30,38.41,38.96,38.4,38.93,25331900,0.0
2019-05-31,38.54,38.81,38.47,38.52,27662400,0.0
2019-06-03,39.41,39.48,38.5,39.0,22706800,0.0
2019-06-04,38.91,39.58,38.7,39.55,14166300,0.0
2019-06-05,39.83,39.93,39.29,39.46,17685700,0.0
2019-06-06,39.45,39.49,39.0,39.45,7369500,0.0
2019-06-07,39.47,39.55,39.04,39.11,9042000,0.0
2019-06-10,39.08,39.2,38.8,38.81,8651400,0.0
2019-06-11,38.9,39.0,38.74,38.87,8044300,0.0
2019-06-12,38.99,40.04,38.95,39.53,8776200,0.0
2019-06-13,39.82,40.32,39.5,40.27,5996200,0.0
2019-06-14,40.08,40.2,39.77,39.95,4964800,0.0
2019-06-17,40.05,40.1,39.16,39.17,6890500,0.0
2019-06-18,39.46,39.99,39.28,39.66,6630800,0.0
2019-06-19,39.58,39.66,38.76,39.06,6177800,0.0
2019-06-20,39.31,39.82,39.16,39.7,7667200,0.0
2019-06-21,39.46,40.09,39.29,40.09,27707400,0.26
2019-06-24,39.99,40.88,39.86,40.44,7712600,0.0
2019-06-25,40.6,41.01,40.38,40.58,5953100,0.0
2019-06-26,40.55,40.83,40.41,40.62,4252300,0.0
2019-06-27,40.62,40.67,40.39,40.53,4981100,0.0
2019-06-28,40.61,41.4,40.52,41.31,5236400,0.0
2019-07-01,41.68,41.91,41.47,41.89,3762100,0.0
2019-07-02,41.89,42.07,41.58,41.64,4368400,0.0
2019-07-03,41.68,41.94,41.57,41.83,2952700,0.0
2019-07-05,41.3,41.9,41.25,41.87,3023500,0.0
2019-07-08,42.0,42.18,41.49,41.69,5176600,0.0
2019-07-09,41.66,41.8,41.44,41.65,4571800,0.0
2019-07-10,41.68,41.89,41.31,41.33,3635800,0.0
2019-07-11,41.41,41.53,41.07,41.33,4286900,0.0
2019-07-12,41.26,41.58,41.19,41.54,6417800,0.0
2019-07-15,41.54,41.85,41.29,41.82,4185000,0.0
2019-07-16,41.82,42.15,41.72,42.06,3424500,0.0
2019-07-17,42.08,42.08,41.03,41.06,4453800,0.0
2019-07-18,40.93,41.33,40.67,41.17,2873100,0.0
2019-07-19,41.39,41.59,41.26,41.32,3216600,0.0
2019-07-22,41.0,41.22,40.85,41.0,2729200,0.0
2019-07-23,41.24,41.26,40.72,41.06,4628900,0.0
2019-07-24,40.91,41.48,40.78,41.4,3074700,0.0
2019-07-25,41.44,41.57,41.03,41.12,3160000,0.0
2019-07-26,41.09,41.37,40.93,41.2,2874600,0.0
2019-07-29,41.23,41.32,40.77,40.91,3405800,0.0
2019-07-30,40.74,41.29,40.63,41.27,3695000,0.0
2019-07-31,41.45,42.85,41.32,42.44,8660400,0.0
2019-08-01,42.17,42.83,41.59,42.01,6032700,0.0
