Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,20.93,21.63,20.78,21.36,2670200,0
2019-01-03,21.03,21.61,21.03,21.39,1690400,0
2019-01-04,21.72,22.92,21.64,22.77,1950400,0
2019-01-07,22.56,22.7,21.51,21.68,6248200,0
2019-01-08,21.67,21.75,20.71,20.76,3568300,0
2019-01-09,20.9,21.51,20.69,20.91,2237400,0
2019-01-10,20.77,20.83,20.17,20.56,2622900,0
2019-01-11,20.5,21.08,20.29,20.91,4522100,0
2019-01-14,20.82,21.78,20.77,21.4,2349000,0
2019-01-15,21.39,22.2,21.37,21.92,2712900,0
2019-01-16,21.9,22.48,21.9,22.27,2300000,0
2019-01-17,22.2,22.36,21.85,21.96,1688700,0
2019-01-18,22.13,22.36,21.85,22.16,1480400,0
2019-01-22,22.03,22.6,21.71,22.39,2116700,0
2019-01-23,22.38,22.74,21.88,22.27,1853100,0
2019-01-24,22.36,22.89,22.3,22.72,2159800,0
2019-01-25,22.91,23.2,22.78,23.15,2645700,0
2019-01-28,22.9,23.44,22.72,23.43,1520100,0
2019-01-29,23.42,23.82,23.27,23.53,1693500,0
2019-01-30,23.58,23.95,23.21,23.77,1443200,0
2019-01-31,23.94,24.56,23.86,24.4,2327700,0
2019-02-01,24.39,24.77,23.94,24.74,1835300,0
2019-02-04,24.79,26.23,24.74,25.85,3659000,0
2019-02-05,25.58,26.13,25.4,25.99,2275500,0
2019-02-06,25.86,25.98,25.34,25.34,2047400,0
2019-02-07,25.26,25.49,24.9,25.46,1398100,0
2019-02-08,25.27,25.28,24.88,25.13,1163000,0
2019-02-11,25.64,25.64,24.19,24.28,1217200,0
2019-02-12,24.53,24.91,24.3,24.82,1302300,0
2019-02-13,24.92,25.02,24.35,24.72,1489000,0
2019-02-14,24.61,25.03,24.34,24.92,1370300,0
2019-02-15,25.14,25.68,25.01,25.66,1631900,0
2019-02-19,25.59,25.8,25.42,25.54,1344500,0
2019-02-20,25.54,25.86,25.45,25.64,1410400,0
2019-02-21,25.6,25.76,25.34,25.61,1178400,0
2019-02-22,25.69,26.16,25.67,26.07,1216400,0
2019-02-25,26.16,26.24,25.3,25.36,1586200,0
2019-02-26,25.25,26.62,25.18,26.3,3285100,0
