Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,20.18,20.91,20.03,20.7,4928200,0
2019-01-03,20.48,20.81,20.4,20.57,3468000,0
2019-01-04,20.88,22.08,20.88,21.98,3475400,0
2019-01-07,21.76,21.92,20.98,21.04,5357100,0
2019-01-08,21.09,21.2,20.24,20.28,4579700,0
2019-01-09,20.44,20.96,20.13,20.34,3514100,0
2019-01-10,20.22,20.31,19.5,19.79,4870900,0
2019-01-11,19.76,20.43,19.55,20.34,6221400,0
2019-01-14,20.26,21.21,20.13,20.88,7339800,0
2019-01-15,20.9,21.62,20.81,21.41,3532200,0
2019-01-16,21.38,21.91,21.38,21.62,2340700,0
2019-01-17,21.51,21.77,21.31,21.42,1951700,0
2019-01-18,21.66,21.81,21.29,21.57,2794300,0
2019-01-22,21.35,22.04,21.14,21.85,4264700,0
2019-01-23,21.87,22.15,21.29,21.64,4943400,0
2019-01-24,21.82,22.18,21.63,22.02,2366300,0
2019-01-25,22.21,22.46,22.13,22.35,5622400,0
2019-01-28,22.21,22.63,21.96,22.62,2489000,0
2019-01-29,22.58,22.99,22.47,22.7,2004400,0
2019-01-30,22.76,23.12,22.4,22.96,1939800,0
2019-01-31,23.12,23.72,23.02,23.56,2769000,0
2019-02-01,23.5,23.93,23.1,23.9,2501400,0
2019-02-04,23.83,25.3,23.83,24.88,3284200,0
2019-02-05,24.72,25.16,24.48,25.01,4567800,0
2019-02-06,25.0,25.03,24.37,24.38,3790800,0
2019-02-07,24.39,24.54,24.02,24.5,1768500,0
2019-02-08,24.35,24.35,23.95,24.13,1699400,0
2019-02-11,24.13,24.23,23.23,23.34,1914100,0
2019-02-12,23.52,23.97,23.36,23.91,2343800,0
2019-02-13,24.1,24.11,23.44,23.77,1544100,0
2019-02-14,23.75,24.16,23.43,24.08,1858500,0
2019-02-15,24.39,24.85,24.14,24.82,2592100,0
2019-02-19,24.71,24.93,24.57,24.73,2683200,0
2019-02-20,24.73,25.03,24.65,24.78,2286800,0
2019-02-21,24.65,24.86,24.5,24.75,2328200,0
