Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,285.61,298.87,282.88,298.01,349000,0
2019-01-03,295.08,300.5,289.14,296.59,564400,0
2019-01-04,301.67,317.97,301.01,315.33,606600,0
2019-01-07,315.73,330.89,315.73,328.94,467700,0
2019-01-08,334.17,334.99,317.74,328.49,500900,0
2019-01-09,333.1,347.79,330.55,339.96,590200,0
2019-01-10,336.09,343.99,331.0,339.59,620200,0
2019-01-11,337.49,348.46,333.86,344.95,431900,0
2019-01-14,340.7,346.57,337.0,339.77,400700,0
2019-01-15,341.19,350.99,341.19,350.1,513200,0
2019-01-16,340.0,349.61,336.47,344.92,643600,0
2019-01-17,341.26,346.29,335.11,342.23,388100,0
2019-01-18,347.07,353.97,341.12,350.66,475900,0
2019-01-22,340.99,342.38,324.12,330.86,622200,0
2019-01-23,334.79,337.06,322.82,328.88,420500,0
2019-01-24,331.07,339.84,330.0,339.15,456300,0
2019-01-25,344.33,347.51,339.09,342.88,469700,0
2019-01-28,338.12,356.42,335.28,355.0,468600,0
2019-01-29,354.7,357.0,346.4,351.23,453100,0
2019-01-30,352.13,366.34,351.3,362.02,575400,0
2019-01-31,361.7,368.27,356.06,364.0,733800,0
2019-02-01,365.73,366.89,359.0,364.66,495400,0
2019-02-04,361.85,369.03,354.39,368.08,358400,0
2019-02-05,370.28,374.97,362.31,363.25,451100,0
2019-02-06,360.37,365.75,352.96,358.92,501500,0
2019-02-07,354.58,361.5,345.39,358.2,332200,0
2019-02-08,351.19,353.27,338.95,347.82,908100,0
2019-02-11,350.0,355.11,346.99,350.83,559900,0
2019-02-12,354.38,367.61,351.51,364.0,526900,0
2019-02-13,365.03,367.86,357.54,360.57,228200,0
2019-02-14,357.0,364.56,356.0,359.84,373600,0
2019-02-15,364.19,365.56,360.01,363.1,243200,0
2019-02-19,362.61,370.89,361.39,367.21,488900,0
2019-02-20,367.35,372.48,363.17,368.34,399200,0
2019-02-21,367.0,368.88,358.07,364.98,427100,0
2019-02-22,367.17,374.31,366.26,374.06,304700,0
2019-02-25,375.23,382.84,373.85,375.09,548300,0
2019-02-26,372.0,374.92,362.51,369.49,781200,0
2019-02-27,408.0,452.43,405.01,446.68,2625300,0
2019-02-28,444.18,462.07,443.45,458.79,1136500,0
2019-03-01,461.75,474.84,447.0,451.64,1408300,0
2019-03-04,455.88,465.0,449.68,463.8,724700,0
2019-03-05,469.71,478.6,461.96,467.77,705400,0
2019-03-06,466.6,469.08,457.16,461.53,448100,0
2019-03-07,460.0,462.1,446.58,451.15,1317200,0
2019-03-08,436.45,450.15,436.45,449.59,588300,0
2019-03-11,455.23,483.75,450.85,481.11,1142800,0
2019-03-12,481.49,484.43,472.16,483.48,1488500,0
2019-03-13,489.6,514.9,488.0,507.93,3285300,0
2019-03-14,503.36,506.8,491.76,493.79,1063900,0
2019-03-15,486.31,495.0,482.04,488.73,1120800,0
2019-03-18,490.0,494.4,479.0,484.97,885700,0
2019-03-19,483.3,491.77,479.0,482.36,687500,0
2019-03-20,484.86,500.59,482.84,497.95,760800,0
2019-03-21,496.25,506.32,493.7,504.48,463400,0
2019-03-22,499.28,503.56,489.37,497.37,702900,0
2019-03-25,497.2,501.03,489.83,491.3,402400,0
2019-03-26,497.32,501.37,490.46,493.9,489400,0
2019-03-27,490.01,498.63,479.13,484.94,634600,0
2019-03-28,497.16,504.2,488.35,497.15,553000,0
2019-03-29,503.11,511.49,498.14,507.73,389500,0
2019-04-01,516.28,525.9,514.95,518.11,648000,0
2019-04-02,517.02,521.55,508.32,509.99,575800,0
