Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,75.29,75.99,74.6,75.59,14427600,0.0
2019-01-03,75.56,75.97,73.85,74.04,13273500,0.0
2019-01-04,74.74,76.5,74.64,76.27,14077400,0.0
2019-01-07,76.15,76.47,75.41,75.43,15071700,0.0
2019-01-08,75.87,76.21,75.29,75.99,11351800,0.0
2019-01-09,75.89,76.31,75.32,75.41,11370500,0.0
2019-01-10,75.68,75.68,73.47,74.48,18257700,0.0
2019-01-11,74.7,74.94,74.15,74.9,9425600,0.0
2019-01-14,74.29,74.44,73.1,73.37,14951800,0.0
2019-01-15,73.1,74.89,73.1,74.5,12502000,0.0
2019-01-16,74.74,75.77,74.47,74.61,14573000,0.0
2019-01-17,74.31,75.77,74.31,75.6,16192100,0.0
2019-01-18,76.14,76.33,75.47,75.87,14294600,0.0
2019-01-22,75.57,76.2,75.36,75.83,10084700,0.0
2019-01-23,75.55,75.71,74.74,75.44,13711100,0.0
2019-01-24,75.16,75.16,72.38,73.17,20979600,0.0
2019-01-25,73.82,73.84,72.12,72.95,13410400,0.0
2019-01-28,72.5,73.07,72.05,72.92,12764000,0.0
2019-01-29,72.9,73.68,72.64,73.23,11418600,0.0
2019-01-30,73.46,73.81,73.02,73.37,13302700,0.0
2019-01-31,73.15,74.82,73.11,74.43,16028300,0.0
2019-02-01,75.97,77.49,75.33,76.45,15211600,0.0
2019-02-04,75.95,76.89,75.68,76.87,11282600,0.0
2019-02-05,77.38,78.38,77.06,77.15,12362300,0.0
2019-02-06,76.84,77.72,76.63,77.39,7992100,0.0
2019-02-07,76.94,77.13,76.11,76.82,9218900,0.0
2019-02-08,76.75,77.54,76.57,77.52,8842500,0.0
2019-02-11,77.8,77.84,76.21,76.71,13171700,0.0
2019-02-12,77.29,78.93,77.11,78.52,13049700,0.0
2019-02-13,78.56,79.17,78.45,79.02,10477200,0.0
2019-02-14,79.13,79.55,78.69,78.94,8184200,0.0
2019-02-15,79.66,80.13,79.27,79.81,10387500,0.0
2019-02-19,79.79,80.13,79.08,79.24,9211400,0.0
2019-02-20,79.0,79.54,78.81,79.43,8581600,0.0
2019-02-21,79.18,80.03,79.15,79.83,7386100,0.0
2019-02-22,79.77,80.86,79.77,80.77,7955600,0.0
2019-02-25,80.86,80.99,79.99,80.38,9295100,0.0
2019-02-26,80.52,81.1,80.0,80.74,8519000,0.0
2019-02-27,80.54,81.29,80.43,80.62,7493300,0.0
2019-02-28,80.53,81.76,80.53,81.29,11057600,0.0
2019-03-01,81.76,81.93,81.17,81.65,10137600,0.0
2019-03-04,82.03,82.12,80.53,81.37,8132400,0.0
2019-03-05,81.48,82.03,81.22,81.7,8299800,0.0
