Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,15.9,16.76,15.81,16.5,18511500,0.0
2019-01-03,16.14,16.39,15.7,15.77,13107600,0.0
2019-01-04,16.13,16.38,15.99,16.24,13825100,0.0
2019-01-07,16.27,16.7,16.25,16.61,8462900,0.0
2019-01-08,16.81,16.89,16.43,16.69,10637000,0.0
2019-01-09,16.81,17.11,16.74,17.09,7767500,0.0
2019-01-10,16.98,17.2,16.79,17.11,10672900,0.0
2019-01-11,17.01,17.48,16.95,17.33,15121300,0.0
2019-01-14,17.13,17.25,16.97,17.04,6910700,0.0
2019-01-15,17.05,17.27,16.79,16.84,10151300,0.0
2019-01-16,16.84,16.99,16.63,16.64,8583200,0.0
2019-01-17,16.52,16.6,16.33,16.52,12741300,0.0
2019-01-18,16.68,17.25,16.53,16.88,18502300,0.0
2019-01-22,16.76,16.82,16.4,16.66,10433100,0.0
2019-01-23,16.73,16.95,16.54,16.68,10392100,0.0
2019-01-24,17.0,17.86,16.97,17.5,20010200,0.0
2019-01-25,17.82,18.86,17.77,18.57,29605000,0.0
2019-01-28,17.94,18.57,17.8,18.36,12975800,0.0
2019-01-29,18.42,18.48,17.9,18.13,10201200,0.0
2019-01-30,18.44,18.48,18.16,18.37,9679400,0.0
2019-01-31,18.3,18.71,18.16,18.53,11476900,0.0
2019-02-01,18.55,18.67,18.29,18.41,7979800,0.0
2019-02-04,18.46,18.63,18.25,18.57,5047700,0.0
2019-02-05,18.39,18.72,18.29,18.66,7971900,0.0
2019-02-06,18.9,19.17,18.85,19.04,18243700,0.0
2019-02-07,17.98,18.49,17.95,18.33,21169900,0.0
2019-02-08,18.03,18.45,17.98,18.39,7981400,0.0
2019-02-11,18.48,19.06,18.36,19.05,9159200,0.0
2019-02-12,19.3,19.56,19.23,19.4,16531300,0.0
2019-02-13,19.53,19.71,19.24,19.29,11681900,0.0
2019-02-14,19.2,19.42,19.14,19.19,9543200,0.0
2019-02-15,19.37,19.37,18.76,18.83,12616000,0.0
2019-02-19,19.05,19.44,18.92,19.31,12043700,0.0
2019-02-20,19.32,19.93,19.27,19.8,12252200,0.0
2019-02-21,19.72,19.8,19.51,19.61,6174200,0.0
2019-02-22,19.75,19.89,19.56,19.65,7373500,0.0
2019-02-25,20.0,20.05,19.68,19.7,10597700,0.0
2019-02-26,19.64,19.95,19.57,19.88,11545200,0.0
2019-02-27,19.77,19.86,19.57,19.71,6274200,0.0
2019-02-28,19.58,20.28,19.57,19.95,12913900,0.0
2019-03-01,20.09,20.18,19.61,20.03,10151900,0.0
2019-03-04,20.18,20.37,19.84,20.14,11137000,0.0
2019-03-05,20.06,20.22,19.95,20.05,7351500,0.0
2019-03-06,20.05,20.11,19.6,19.6,10403300,0.0
2019-03-07,19.54,19.56,19.07,19.17,22402700,0.0
2019-03-08,18.65,18.82,18.08,18.68,21587800,0.0
2019-03-11,18.8,19.48,18.8,19.38,12695200,0.0
2019-03-12,19.44,19.98,19.33,19.79,13464300,0.0
2019-03-13,19.88,19.98,19.63,19.69,7603800,0.0
2019-03-14,19.66,19.81,19.36,19.41,5413100,0.0
2019-03-15,19.63,20.17,19.55,20.14,17341700,0.0
2019-03-18,20.09,20.15,19.67,19.95,7853100,0.0
2019-03-19,20.04,20.43,20.01,20.23,9277900,0.0
2019-03-20,20.21,20.35,19.97,20.01,8250300,0.0
2019-03-21,20.06,20.98,20.0,20.79,12587900,0.0
2019-03-22,20.6,20.69,19.65,19.71,11485100,0.0
2019-03-25,19.62,19.88,19.41,19.73,6611100,0.0
2019-03-26,19.92,20.11,19.51,19.69,6956900,0.0
2019-03-27,19.98,20.09,19.65,19.82,11039200,0.0
2019-03-28,19.92,20.07,19.39,19.42,12323400,0.0
2019-03-29,19.59,19.99,19.58,19.89,16222400,0.0
2019-04-01,20.12,20.31,20.01,20.25,10548700,0.0
2019-04-02,20.14,20.29,19.95,20.18,10597700,0.06
2019-04-03,20.48,20.88,20.39,20.63,18321300,0.0
2019-04-04,20.59,21.09,20.55,20.97,18746700,0.0
2019-04-05,20.99,21.36,20.81,21.3,15739600,0.0
2019-04-08,21.14,21.51,21.1,21.44,12445200,0.0
2019-04-09,21.32,21.72,21.27,21.71,14212700,0.0
