Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,43.17,43.33,42.25,42.46,10549600,0.0
2019-01-03,42.48,42.79,42.17,42.35,9260800,0.0
2019-01-04,42.29,43.15,42.17,43.13,10848800,0.0
2019-01-07,42.91,43.24,42.62,43.07,9478000,0.0
2019-01-08,43.04,43.45,42.89,43.38,10599600,0.0
2019-01-09,43.39,43.5,43.01,43.2,7047600,0.0
2019-01-10,43.33,43.9,43.14,43.85,11384800,0.0
2019-01-11,43.78,44.03,43.41,43.93,8860000,0.0
2019-01-14,43.65,43.65,42.34,42.81,15355600,0.0
2019-01-15,42.85,43.95,42.69,43.68,9261200,0.0
2019-01-16,43.51,43.73,43.21,43.67,7059200,0.0
2019-01-17,43.78,43.98,43.61,43.87,8200800,0.0
2019-01-18,44.1,44.15,43.78,44.02,7414400,0.0
2019-01-22,43.86,44.49,43.81,44.35,8654400,0.0
2019-01-23,44.49,44.87,44.05,44.85,9089200,0.0
2019-01-24,44.81,45.22,44.49,45.07,9812800,0.0
2019-01-25,44.62,44.87,43.48,43.55,15254400,0.0
2019-01-28,44.03,44.03,42.94,43.12,11976800,0.0
2019-01-29,43.27,43.36,42.94,43.22,7924400,0.0
2019-01-30,43.06,43.66,43.03,43.4,8345600,0.0
2019-01-31,43.36,44.82,43.34,44.74,12519600,0.0
2019-02-01,44.59,44.78,44.12,44.46,8934000,0.0
2019-02-04,44.28,44.55,44.03,44.53,11302000,0.0
2019-02-05,44.39,44.67,44.19,44.54,7956800,0.0
2019-02-06,44.68,44.81,44.4,44.53,6647200,0.0
2019-02-07,44.5,45.36,44.47,45.34,8516800,0.0
2019-02-08,45.3,45.84,45.26,45.75,7322400,0.0
2019-02-11,45.6,45.98,45.58,45.75,7404400,0.0
2019-02-12,45.75,46.1,45.42,45.82,7004800,0.0
2019-02-13,45.76,45.97,45.61,45.71,5726400,0.0
2019-02-14,45.84,46.11,45.63,45.65,6408000,0.0
2019-02-15,46.15,46.28,45.83,46.01,8813200,0.0
2019-02-19,46.03,46.45,45.85,46.34,9774000,0.0
2019-02-20,46.27,46.53,46.01,46.41,10203200,0.0
2019-02-21,46.22,46.72,46.14,46.64,8274800,0.0
2019-02-22,46.71,47.03,46.44,47.03,6735200,0.0
2019-02-25,47.11,47.35,46.58,46.97,7555600,0.0
2019-02-26,47.04,47.26,46.79,47.06,7644400,0.0
2019-02-27,46.65,46.87,46.52,46.7,7288000,0.3125
2019-02-28,46.75,47.19,46.51,46.93,12454000,0.0
2019-03-01,46.88,47.15,46.65,46.89,6865600,0.0
2019-03-04,47.06,47.14,46.64,47.06,8609200,0.0
2019-03-05,47.09,47.3,47.01,47.08,7666800,0.0
2019-03-06,47.01,47.24,46.74,46.89,7155600,0.0
2019-03-07,47.06,47.28,46.85,46.98,9411200,0.0
2019-03-08,47.15,47.36,46.73,47.17,6972800,0.0
2019-03-11,47.15,47.44,47.12,47.38,7135600,0.0
2019-03-12,47.5,47.84,47.36,47.72,7140400,0.0
2019-03-13,47.47,47.88,47.37,47.74,4916000,0.0
2019-03-14,47.79,48.04,47.55,47.74,5816800,0.0
2019-03-15,47.69,47.99,47.5,47.81,14402000,0.0
2019-03-18,47.87,47.99,47.53,47.72,7469200,0.0
2019-03-19,47.63,47.65,46.95,47.12,8080800,0.0
2019-03-20,47.26,47.79,46.96,47.47,8669200,0.0
2019-03-21,47.57,48.07,47.46,47.98,7499200,0.0
2019-03-22,48.06,48.89,48.06,48.48,9486000,0.0
2019-03-25,48.61,48.78,48.39,48.4,7038400,0.0
2019-03-26,48.46,48.83,48.26,48.75,6093200,0.0
2019-03-27,48.81,48.83,48.22,48.48,6116800,0.0
2019-03-28,48.48,48.6,47.83,47.98,9324000,0.0
2019-03-29,47.98,48.37,47.83,48.33,12039200,0.0
2019-04-01,48.35,48.44,47.55,47.62,9640400,0.0
2019-04-02,47.68,47.75,47.18,47.37,9960400,0.0
2019-04-03,47.28,47.57,46.97,47.33,8202800,0.0
2019-04-04,47.49,47.51,46.86,47.1,7106800,0.0
2019-04-05,47.35,47.58,47.0,47.52,6452800,0.0
2019-04-08,47.36,47.46,46.96,47.16,5772800,0.0
2019-04-09,47.16,47.49,47.13,47.43,6617200,0.0
2019-04-10,47.44,47.85,47.1,47.15,5291600,0.0
2019-04-11,47.15,47.54,47.1,47.51,5738400,0.0
2019-04-12,47.34,47.76,47.11,47.71,4768400,0.0
2019-04-15,47.78,48.02,47.67,47.79,5872800,0.0
2019-04-16,47.76,48.08,47.35,47.38,6523200,0.0
2019-04-17,47.44,47.64,47.26,47.41,8045600,0.0
2019-04-18,47.35,47.67,47.31,47.34,6670800,0.0
2019-04-22,47.29,47.71,47.26,47.6,7303600,0.0
2019-04-23,47.72,47.87,47.02,47.45,8818000,0.0
2019-04-24,47.44,47.78,47.29,47.51,6187200,0.0
2019-04-25,47.36,47.93,47.31,47.62,5898400,0.0
2019-04-26,47.85,48.35,47.82,47.93,5653600,0.0
2019-04-29,48.01,48.22,47.65,47.94,7094400,0.0
2019-04-30,47.94,48.66,47.81,48.61,10643600,0.0
2019-05-01,48.38,48.76,48.23,48.32,8541200,0.0
2019-05-02,48.21,48.47,47.64,47.93,10035600,0.0
2019-05-03,47.89,48.16,47.7,48.1,6694800,0.0
2019-05-06,48.05,48.33,47.71,47.72,6730000,0.0
2019-05-07,47.45,47.69,47.22,47.44,7748400,0.0
2019-05-08,47.4,47.5,46.83,46.97,7887200,0.0
2019-05-09,47.11,47.3,46.87,47.15,6872400,0.0
2019-05-10,47.14,48.05,47.02,47.94,6420000,0.0
2019-05-13,47.85,48.85,47.77,48.73,10632800,0.0
2019-05-14,48.73,49.18,48.38,48.72,8954400,0.0
2019-05-15,48.8,49.03,48.62,48.72,7071600,0.0
2019-05-16,48.62,49.48,48.46,49.28,8465600,0.0
2019-05-17,48.96,49.87,48.9,49.74,6821600,0.0
2019-05-20,49.82,50.15,49.74,49.84,5464000,0.0
2019-05-21,49.88,50.25,49.7,49.72,6069200,0.0
2019-05-22,49.87,50.59,49.65,50.48,6706800,0.0
