Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,72.79,74.64,72.19,74.06,6762700,0.0
2019-01-03,73.25,73.32,71.21,72.75,8007400,0.0
2019-01-04,73.45,75.12,73.12,74.65,7844200,0.0
2019-01-07,74.74,76.36,74.3,75.72,8184800,0.0
2019-01-08,76.83,77.4,76.2,76.73,8809000,0.0
2019-01-09,76.97,77.15,76.14,76.59,8591000,0.0
2019-01-10,75.64,77.34,75.46,76.42,11148600,0.0
2019-01-11,76.34,76.89,75.8,76.04,10689900,0.0
2019-01-14,75.46,76.81,75.46,76.09,5677400,0.0
2019-01-15,76.19,77.98,76.13,77.88,6212400,0.0
2019-01-16,78.0,78.85,77.59,77.68,5697100,0.0
2019-01-17,77.54,79.4,77.31,79.13,7737300,0.0
2019-01-18,79.95,80.97,79.74,80.45,10404100,0.0
2019-01-22,80.33,81.31,80.2,80.75,8781700,0.0
2019-01-23,81.19,81.4,80.22,80.5,5823000,0.0
2019-01-24,80.6,80.87,79.55,80.44,4753200,0.0
2019-01-25,81.25,81.33,80.43,80.61,4457100,0.0
2019-01-28,79.8,80.51,79.74,80.32,5452000,0.0
2019-01-29,80.36,80.83,79.84,80.22,4187500,0.0
2019-01-30,80.4,81.29,80.06,81.28,5200200,0.0
2019-01-31,81.18,81.95,80.71,81.88,8599200,0.0
2019-02-01,81.83,81.9,81.13,81.51,5351900,0.0
2019-02-04,81.22,82.0,80.83,81.99,4236600,0.0
2019-02-05,81.98,83.19,81.93,82.86,6545600,0.0
2019-02-06,82.51,82.71,81.64,82.71,3682800,0.0
2019-02-07,82.15,82.85,81.71,82.39,4827500,0.0
2019-02-08,82.25,82.72,81.94,82.36,3786500,0.0
2019-02-11,82.95,83.83,82.87,83.68,6158500,0.0
2019-02-12,83.97,84.84,83.62,84.71,6290300,0.0
2019-02-13,84.76,85.59,84.76,85.4,5032800,0.0
2019-02-14,84.61,85.14,83.7,84.68,5179000,0.0
2019-02-15,85.49,85.78,85.1,85.38,6111300,0.0
2019-02-19,84.58,85.05,84.46,84.57,5105900,0.0
2019-02-20,84.63,84.95,84.35,84.84,6436100,0.0
2019-02-21,83.57,84.15,83.35,83.95,8579200,0.0
2019-02-22,84.2,85.02,84.03,84.76,4449500,0.0
2019-02-25,85.39,85.73,84.96,85.17,6229700,0.0
