Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,174.12,180.45,172.46,178.32,2561500,0
2019-01-03,175.12,177.99,168.47,169.12,2468900,0
2019-01-04,173.01,181.49,171.66,179.23,2195700,0
2019-01-07,180.75,188.0,179.4,186.67,1824900,0
2019-01-08,189.75,191.65,184.56,188.11,1609200,0
2019-01-09,185.26,191.29,185.26,190.47,2096000,0
2019-01-10,188.9,190.94,187.55,190.0,1637800,0
2019-01-11,188.1,191.95,186.06,191.69,1646000,0
2019-01-14,187.87,191.08,186.93,188.4,1811100,0
2019-01-15,189.45,190.32,187.58,188.35,2517900,0
2019-01-16,189.52,192.79,187.45,189.59,1451000,0
2019-01-17,186.83,189.44,185.22,186.53,2149300,0
2019-01-18,189.73,191.45,186.63,190.09,1930600,0
2019-01-22,187.78,189.68,184.78,185.7,1506400,0
2019-01-23,187.52,189.82,182.91,183.96,1585300,0
2019-01-24,184.25,187.47,182.46,185.7,1351800,0
2019-01-25,187.61,191.27,185.7,191.08,1425200,0
2019-01-28,188.05,190.16,186.5,187.94,1930400,0
2019-01-29,188.18,188.82,184.01,184.82,1633500,0
2019-01-30,187.19,194.21,187.01,194.0,4251500,0
2019-01-31,211.36,228.41,209.99,220.02,11199700,0
2019-02-01,218.58,221.84,216.8,221.51,3552100,0
2019-02-04,220.83,225.88,220.1,225.14,3599700,0
2019-02-05,226.0,229.4,225.37,228.35,1904900,0
2019-02-06,228.0,229.5,223.3,225.56,1662800,0
2019-02-07,224.06,228.04,222.12,226.96,1479500,0
2019-02-08,225.4,228.79,222.67,228.56,1603600,0
2019-02-11,229.89,232.25,227.07,229.01,1936400,0
2019-02-12,230.61,236.81,230.5,234.65,2366200,0
2019-02-13,235.0,237.49,231.65,231.97,1677400,0
2019-02-14,231.44,235.84,230.76,234.03,1304700,0
2019-02-15,235.0,236.7,232.4,234.89,1425900,0
2019-02-19,233.49,235.46,232.0,234.58,1434100,0
2019-02-20,235.0,235.49,227.85,229.5,2347000,0
2019-02-21,228.71,231.24,226.51,230.01,1317600,0
2019-02-22,230.32,236.15,230.32,235.0,1980800,0
2019-02-25,237.5,239.45,235.59,237.0,1612100,0
2019-02-26,235.84,236.94,233.45,236.21,1183800,0
2019-02-27,235.8,240.86,235.33,240.31,2214200,0
2019-02-28,240.17,241.44,237.74,239.44,1892900,0
2019-03-01,242.31,244.35,239.29,243.52,2055900,0
2019-03-04,244.6,245.33,228.67,236.97,4415500,0
2019-03-05,237.57,237.57,232.03,236.0,1940200,0
2019-03-06,235.45,237.45,231.79,233.11,1214700,0
2019-03-07,232.37,236.82,231.11,233.37,1577400,0
2019-03-08,229.3,234.03,226.71,233.95,1527600,0
2019-03-11,235.51,240.09,235.13,239.86,1991900,0
2019-03-12,240.15,241.02,236.78,238.71,1693700,0
2019-03-13,240.56,243.42,239.55,240.39,1885500,0
2019-03-14,244.05,244.63,241.3,241.59,1946800,0
2019-03-15,241.37,243.24,240.2,241.89,2053800,0
2019-03-18,242.53,245.96,240.14,240.98,2411600,0
2019-03-19,242.26,244.13,240.35,241.96,2191300,0
2019-03-20,243.0,247.28,239.8,244.59,1210800,0
2019-03-21,243.72,251.65,243.72,250.95,1532100,0
2019-03-22,249.0,250.5,241.07,241.21,2014800,0
2019-03-25,238.79,243.01,236.62,241.7,1553200,0
2019-03-26,245.04,247.24,243.2,245.0,1351100,0
2019-03-27,244.82,244.82,235.6,241.37,1578800,0
2019-03-28,243.73,245.85,240.73,243.33,1169500,0
2019-03-29,246.5,247.13,243.36,246.49,1389900,0
2019-04-01,249.99,250.35,243.8,245.73,1813400,0
2019-04-02,245.75,247.02,242.8,246.82,1480300,0
2019-04-03,248.9,248.9,244.29,247.14,1046600,0
2019-04-04,246.35,246.39,230.14,237.03,2942400,0
2019-04-05,238.64,240.09,235.26,236.98,1177100,0
2019-04-08,236.4,239.38,233.51,237.21,1448000,0
2019-04-09,235.13,240.28,235.13,238.76,1360800,0
2019-04-10,240.5,245.58,240.02,243.66,1241400,0
2019-04-11,243.64,246.19,242.11,245.77,1042700,0
2019-04-12,247.0,247.74,243.74,244.3,997300,0
2019-04-15,244.07,246.4,242.44,243.79,1299000,0
2019-04-16,245.89,246.12,238.85,239.81,1130700,0
2019-04-17,241.72,242.0,234.32,236.23,2485800,0
2019-04-18,234.4,238.92,232.14,237.4,2936600,0
2019-04-22,236.02,243.57,236.0,242.64,1251300,0
2019-04-23,243.25,247.34,241.1,243.55,2057600,0
2019-04-24,245.0,245.38,241.06,242.7,2720000,0
2019-04-25,261.02,269.27,258.18,260.69,4777400,0
2019-04-26,260.0,267.83,257.09,267.08,2216600,0
2019-04-29,267.1,273.47,267.1,271.69,2026000,0
2019-04-30,271.0,273.82,268.73,271.51,1522700,0
2019-05-01,273.16,273.16,268.31,270.4,1528700,0
2019-05-02,264.86,269.99,260.35,262.67,3211700,0
2019-05-03,265.68,269.31,264.26,268.52,1653000,0
2019-05-06,260.5,270.97,257.5,269.75,1255400,0
2019-05-07,267.0,268.9,260.05,264.81,1565600,0
2019-05-08,264.0,268.39,260.83,265.98,1263000,0
2019-05-09,262.35,271.8,260.28,270.49,1709900,0
2019-05-10,268.5,275.2,266.5,274.9,1754400,0
2019-05-13,266.88,271.16,259.27,260.12,2776000,0
2019-05-14,263.22,272.93,263.22,272.07,2046800,0
2019-05-15,270.0,276.43,269.54,273.96,1283800,0
2019-05-16,275.0,281.74,274.21,277.96,4212700,0
2019-05-17,275.71,277.32,271.62,272.99,1721800,0
2019-05-20,266.96,270.5,263.54,265.08,2414600,0
2019-05-21,269.71,273.0,267.75,271.21,1078700,0
2019-05-22,270.07,276.5,269.83,273.39,775600,0
2019-05-23,270.06,270.87,263.88,264.79,1458500,0
2019-05-24,266.75,269.44,265.05,268.95,1181800,0
2019-05-28,269.08,272.12,264.74,266.65,1444800,0
2019-05-29,263.9,268.32,261.51,264.19,1127600,0
2019-05-30,265.41,265.41,261.21,262.6,1304900,0
2019-05-31,259.31,265.44,257.5,261.93,1219400,0
2019-06-03,262.0,263.29,246.02,248.38,2822300,0
2019-06-04,251.14,258.07,247.51,257.55,1522600,0
2019-06-05,262.37,263.88,256.3,263.25,1827100,0
2019-06-06,263.24,269.68,261.82,268.49,950400,0
2019-06-07,270.99,276.69,270.99,274.55,1692500,0
2019-06-10,279.36,280.56,275.61,275.87,1248700,0
2019-06-11,279.86,279.86,263.95,266.29,1467000,0
2019-06-12,266.0,270.34,264.33,267.88,977700,0
2019-06-13,268.6,274.09,268.6,273.79,1181400,0
2019-06-14,273.73,275.61,270.05,272.25,1015500,0
2019-06-17,273.7,276.38,271.72,274.56,988400,0
2019-06-18,278.32,285.03,278.32,282.64,2010000,0
2019-06-19,284.21,285.83,281.05,285.51,1481800,0
2019-06-20,290.24,292.98,286.43,288.8,1732800,0
2019-06-21,287.52,290.84,285.65,285.74,1645200,0
2019-06-24,287.87,288.38,280.94,282.5,1542400,0
2019-06-25,283.15,283.15,273.06,275.36,1587200,0
2019-06-26,278.78,285.2,273.86,275.34,1310400,0
2019-06-27,277.37,280.83,276.21,278.51,1144000,0
2019-06-28,277.81,280.19,274.57,274.57,4160800,0
2019-07-01,281.99,284.33,279.49,283.51,1741200,0
2019-07-02,283.31,289.32,283.15,288.31,1946400,0
2019-07-03,289.9,294.23,289.9,293.15,1116100,0
2019-07-05,291.0,294.62,288.55,294.53,1005100,0
2019-07-08,293.65,293.78,289.65,293.0,1268700,0
2019-07-09,291.41,299.12,290.63,298.02,1656000,0
2019-07-10,299.61,302.99,298.31,298.75,1209400,0
2019-07-11,300.41,302.63,299.46,302.31,886700,0
2019-07-12,302.3,303.17,296.11,301.13,963900,0
2019-07-15,302.0,302.41,297.88,301.1,729800,0
2019-07-16,300.0,301.3,294.2,295.5,1161700,0
2019-07-17,295.5,300.16,294.51,296.56,865700,0
2019-07-18,296.32,298.49,294.03,294.68,1100300,0
2019-07-19,298.05,299.2,288.46,289.74,1396000,0
2019-07-22,293.4,294.97,289.62,293.81,1963400,0
2019-07-23,295.02,295.02,287.64,291.01,1606700,0
2019-07-24,291.72,297.61,290.5,297.21,2766200,0
2019-07-25,288.5,290.75,279.69,285.73,4532000,0
2019-07-26,288.37,290.19,285.75,289.33,1711600,0
2019-07-29,289.34,290.0,275.59,285.84,3271800,0
2019-07-30,284.28,286.39,280.97,281.0,1556900,0
2019-07-31,281.71,282.5,272.61,277.39,2097600,0
2019-08-01,277.38,281.72,271.12,274.0,2759000,0
2019-08-02,272.95,273.11,261.88,265.86,2437800,0
2019-08-05,255.01,262.54,251.9,256.81,3590400,0
