Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,46.16,46.58,45.22,45.95,3898000,0.0
2019-01-03,45.31,45.71,43.77,44.18,3222500,0.0
2019-01-04,45.24,47.76,45.05,45.95,5759500,0.0
2019-01-07,47.0,48.2,46.13,47.9,3463000,0.0
2019-01-08,48.15,48.71,47.53,48.48,3105000,0.0
2019-01-09,48.8,51.74,48.61,51.69,6163000,0.0
2019-01-10,50.76,51.19,49.79,51.03,4140000,0.0
2019-01-11,50.69,50.88,48.3,48.68,4152500,0.0
2019-01-14,48.43,49.28,47.84,48.02,3707000,0.0
2019-01-15,48.66,49.52,48.37,49.4,3490500,0.0
2019-01-16,49.6,51.02,49.6,50.84,4470500,0.0
2019-01-17,50.48,51.0,49.83,50.44,2686000,0.0
2019-01-18,50.99,51.73,50.23,50.54,3919000,0.0
2019-01-22,49.82,49.94,48.49,49.02,3207000,0.0
2019-01-23,49.41,49.9,48.7,49.26,2310500,0.0
2019-01-24,49.48,49.92,47.56,48.08,4801000,0.0
2019-01-25,49.19,49.23,48.26,48.52,4918000,0.0
2019-01-28,48.17,48.83,47.28,48.25,2744500,0.0
2019-01-29,47.75,48.15,47.0,47.62,2159500,0.0
2019-01-30,48.35,48.81,47.44,48.61,3408000,0.0
2019-01-31,48.8,50.49,48.8,50.39,4647000,0.0
2019-02-01,49.86,51.2,49.54,49.96,3136500,0.0
2019-02-04,49.96,50.97,49.96,50.33,1568000,0.0
2019-02-05,50.37,51.4,50.37,51.35,1534000,0.0
2019-02-06,50.71,50.77,48.59,48.63,2989500,0.0
2019-02-07,48.4,48.5,47.07,47.54,3560000,0.0
2019-02-08,47.4,48.2,47.06,47.98,1768000,0.0
2019-02-11,48.47,49.1,48.01,48.03,2236000,0.0
2019-02-12,48.36,49.13,48.12,48.88,2353000,0.0
2019-02-13,49.08,49.59,47.7,48.11,3687500,0.0
2019-02-14,47.92,48.32,47.45,48.23,1613500,0.0
2019-02-15,48.35,48.35,45.2,45.52,5531500,0.0
2019-02-19,47.0,47.74,45.84,45.93,6565500,0.0
2019-02-20,46.37,47.52,45.9,46.52,5596000,0.0
2019-02-21,45.86,46.0,43.26,43.78,13446500,0.0
2019-02-22,44.2,45.0,44.09,44.53,6351500,0.0
2019-02-25,45.45,45.92,44.14,44.84,7100000,0.0
2019-02-26,44.28,45.28,44.05,44.97,3421000,0.0
2019-02-27,44.93,45.35,44.65,45.12,2623000,0.0
2019-02-28,45.01,45.18,44.2,44.64,3791500,0.0
2019-03-01,45.0,45.13,42.47,43.48,6437000,0.0
2019-03-04,43.8,43.82,42.66,43.79,4417500,0.0
2019-03-05,43.66,46.12,43.66,45.79,4789500,0.0
2019-03-06,45.84,46.83,45.48,46.36,3381500,0.0
2019-03-07,45.45,45.86,44.74,44.89,3865000,0.096
2019-03-08,44.12,46.2,43.8,45.31,3140000,0.0
2019-03-11,45.85,47.12,45.78,46.59,3140500,0.0
2019-03-12,46.71,47.0,45.99,46.55,2561000,0.0
2019-03-13,46.41,48.62,46.02,48.17,3932500,0.0
2019-03-14,47.48,47.9,46.75,47.71,2253000,0.0
2019-03-15,48.1,48.82,48.1,48.47,3898000,0.0
2019-03-18,48.95,49.19,47.9,48.7,2298500,0.0
2019-03-19,49.0,49.19,48.22,48.86,2506000,0.0
