Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,75.63,76.22,74.96,75.32,1752500,0.0
2019-01-03,76.17,76.62,75.62,75.93,3685100,0.0
2019-01-04,76.2,77.36,76.2,76.96,1963300,0.0
2019-01-07,75.49,76.34,75.47,76.06,2018300,0.0
2019-01-08,77.18,77.73,77.06,77.71,2715400,0.0
2019-01-09,77.94,78.14,77.73,77.92,1146000,0.0
2019-01-10,78.86,79.03,78.58,78.95,2068000,0.0
2019-01-11,78.88,79.18,78.43,78.65,2638000,0.0
2019-01-14,78.15,78.3,77.62,77.8,2220700,0.0
2019-01-15,78.71,79.18,78.48,78.74,1642900,0.0
2019-01-16,78.84,79.13,78.71,78.81,1820700,0.0
2019-01-17,79.23,79.51,79.1,79.42,2122400,0.0
2019-01-18,79.9,79.94,79.48,79.74,3063800,0.0
2019-01-22,79.1,79.24,78.75,79.14,1616300,0.0
2019-01-23,79.36,79.67,78.75,78.99,2157500,0.0
2019-01-24,77.94,78.02,77.22,77.42,1969400,0.0
2019-01-25,77.31,77.46,76.81,77.02,3658200,0.0
2019-01-28,76.38,76.79,76.09,76.75,4762700,0.0
2019-01-29,76.95,77.68,76.95,77.59,2152000,0.0
2019-01-30,76.18,77.14,76.14,76.77,2721900,0.0
2019-01-31,77.47,78.57,77.2,78.42,3680200,0.0
2019-02-01,78.12,78.8,78.01,78.55,3416500,0.0
2019-02-04,79.08,79.41,78.89,79.19,2227200,0.0
2019-02-05,79.43,79.96,79.37,79.7,2285500,0.0
2019-02-06,79.83,80.13,79.72,79.75,1142800,0.0
2019-02-07,79.64,79.71,79.0,79.14,1595700,0.0
2019-02-08,79.03,79.65,78.93,79.61,1932600,0.0
2019-02-11,79.16,79.42,78.91,78.96,1805000,0.0
2019-02-12,79.52,79.7,79.36,79.61,1400300,0.0
2019-02-13,79.39,79.86,79.35,79.6,2705500,0.0
2019-02-14,79.51,79.96,79.2,79.77,2806200,0.0
2019-02-15,79.85,80.64,79.81,80.54,2623900,0.0
2019-02-19,80.24,80.74,80.21,80.62,2369400,0.0
2019-02-20,81.24,81.57,81.16,81.31,1580900,0.0
2019-02-21,81.31,81.35,80.83,81.1,899600,0.0
2019-02-22,80.91,81.5,80.88,81.34,1178700,0.0
2019-02-25,81.5,81.89,81.42,81.63,1859500,0.0
2019-02-26,81.94,82.19,81.87,81.98,1376200,0.0
2019-02-27,82.04,82.3,81.72,81.8,1562900,0.0
2019-02-28,81.85,82.31,81.68,81.75,1527500,0.0
