Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,71.91,75.29,71.56,75.03,4720900,0.0
2019-01-03,73.31,74.2,71.73,71.97,5356900,0.0
2019-01-04,73.36,75.79,73.0,75.45,4866700,0.0
2019-01-07,75.61,77.01,74.89,76.01,3515700,0.0
2019-01-08,76.46,77.04,75.56,76.44,4009000,0.0
2019-01-09,77.45,79.99,77.18,79.94,6325800,0.0
2019-01-10,79.1,80.14,78.25,80.03,3116100,0.0
2019-01-11,79.26,80.95,78.96,79.48,3447900,0.0
2019-01-14,78.3,79.41,77.81,78.61,3335900,0.0
2019-01-15,78.84,79.3,77.47,78.07,5438800,0.0
2019-01-16,78.5,79.96,78.3,78.34,5619500,0.0
2019-01-17,78.9,79.45,77.59,79.14,5297000,0.0
2019-01-18,80.05,81.94,79.62,80.79,8818900,0.0
2019-01-22,80.18,80.25,78.53,79.09,5039900,0.0
2019-01-23,80.01,80.5,78.29,78.9,3480800,0.0
2019-01-24,81.51,85.19,81.18,84.25,8390300,0.0
2019-01-25,85.6,86.62,85.06,85.24,5673700,0.0
2019-01-28,83.63,85.75,82.61,85.66,3655600,0.0
2019-01-29,85.42,86.12,84.81,85.74,3496300,0.0
2019-01-30,86.65,88.0,85.64,87.72,5051400,0.0
2019-01-31,87.25,87.83,86.53,87.03,3046900,0.0
2019-02-01,87.14,89.7,87.1,88.4,4916000,0.0
2019-02-04,88.04,88.7,87.22,88.7,3253500,0.0
2019-02-05,88.57,90.69,88.5,90.24,5821400,0.0
2019-02-06,92.49,94.64,91.82,92.45,9862900,0.0
2019-02-07,87.43,91.63,87.15,90.73,8803900,0.0
2019-02-08,88.64,89.64,86.78,87.51,5589200,0.0
2019-02-11,87.55,89.46,87.45,89.25,4085300,0.0
2019-02-12,90.25,93.66,89.84,93.23,6275900,0.0
2019-02-13,93.5,93.58,91.6,91.88,4025300,0.0
2019-02-14,91.5,92.84,91.5,91.75,3347400,0.0
2019-02-15,92.58,93.3,92.02,93.04,3500700,0.0
2019-02-19,93.0,93.07,91.96,92.5,2694900,0.0
2019-02-20,92.99,94.31,92.6,94.25,4072400,0.0
2019-02-21,93.82,94.41,92.93,94.35,4865800,0.0
2019-02-22,95.0,95.32,93.97,94.51,3496600,0.0
2019-02-25,95.93,98.2,95.32,97.14,5013400,0.0
2019-02-26,96.43,96.78,93.83,94.1,4286800,0.0
2019-02-27,93.67,93.67,91.27,91.83,4966200,0.0
2019-02-28,91.4,91.89,90.92,91.32,2358100,0.0
2019-03-01,92.18,94.74,91.97,94.25,4001100,0.0
2019-03-04,94.75,95.11,92.59,93.48,2251000,0.0
2019-03-05,93.39,93.77,91.93,93.3,2272900,0.0
2019-03-06,92.99,93.49,91.86,91.88,2962700,0.0
2019-03-07,93.0,94.32,91.88,94.08,6070100,0.0
2019-03-08,92.28,93.43,91.44,93.18,3961600,0.0
2019-03-11,93.6,94.99,93.4,94.28,3117300,0.0
2019-03-12,94.79,94.79,93.54,93.99,2006800,0.0
2019-03-13,94.45,94.79,93.32,93.4,1525500,0.0
2019-03-14,93.13,94.02,92.6,92.85,2099900,0.0
2019-03-15,93.41,95.85,92.86,93.38,4103000,0.25
2019-03-18,93.45,93.74,91.35,92.27,1867100,0.0
2019-03-19,92.81,93.65,92.61,92.82,1938400,0.0
2019-03-20,92.65,93.08,90.56,91.03,1699000,0.0
2019-03-21,91.46,94.9,91.04,94.29,2413800,0.0
2019-03-22,93.77,93.77,90.56,90.66,1987700,0.0
2019-03-25,90.03,90.37,88.23,88.93,2364000,0.0
2019-03-26,89.44,89.85,88.56,89.29,1821000,0.0
2019-03-27,89.08,89.7,85.72,87.35,3900900,0.0
2019-03-28,87.4,87.8,85.38,85.92,3056100,0.0
2019-03-29,87.07,89.0,87.01,88.39,3212800,0.0
2019-04-01,90.0,94.57,90.0,94.39,4016400,0.0
2019-04-02,94.34,94.5,92.6,92.79,2713000,0.0
2019-04-03,94.69,96.79,94.25,96.18,4331000,0.0
2019-04-04,95.69,97.9,95.69,96.57,2867200,0.0
2019-04-05,97.73,98.28,96.58,98.15,2818800,0.0
2019-04-08,97.75,98.78,96.9,98.61,2297300,0.0
2019-04-09,98.5,98.69,97.37,97.59,2685000,0.0
2019-04-10,97.45,98.72,96.3,98.13,2297200,0.0
2019-04-11,98.2,99.21,97.3,97.65,2076700,0.0
2019-04-12,99.18,100.42,98.51,100.34,3327300,0.0
2019-04-15,100.4,100.69,98.98,99.23,2563900,0.0
2019-04-16,100.59,101.27,100.15,100.66,2682500,0.0
2019-04-17,102.1,103.05,100.42,101.17,3210100,0.0
2019-04-18,102.18,102.19,99.72,100.59,2832000,0.0
2019-04-22,100.23,100.23,98.43,98.47,2083300,0.0
2019-04-23,98.51,99.54,98.28,99.03,4126100,0.0
2019-04-24,98.85,101.33,98.5,100.13,3802900,0.0
2019-04-25,99.42,99.72,96.4,97.68,2899300,0.0
2019-04-26,96.6,99.1,95.7,99.0,2755900,0.0
2019-04-29,98.45,99.4,97.29,97.9,4440000,0.0
2019-04-30,105.22,107.7,102.86,105.62,10559400,0.0
2019-05-01,106.6,108.33,104.92,104.99,4463500,0.0
2019-05-02,104.93,107.47,104.34,106.6,3989100,0.0
2019-05-03,107.08,108.51,106.88,108.08,3445600,0.0
2019-05-06,104.72,106.16,103.72,106.02,2967600,0.0
2019-05-07,104.49,104.74,100.68,102.46,4390800,0.0
2019-05-08,101.19,103.65,99.62,101.5,4099500,0.0
2019-05-09,100.12,100.78,96.89,100.33,4142800,0.0
2019-05-10,99.88,100.98,97.56,100.17,2745900,0.0
2019-05-13,96.43,97.36,92.81,93.12,5061300,0.0
2019-05-14,94.88,98.35,94.6,98.17,4875900,0.0
2019-05-15,97.49,101.11,97.01,100.17,4148000,0.0
2019-05-16,98.38,99.63,97.18,97.65,3410800,0.0
2019-05-17,96.48,98.79,94.97,95.13,3348300,0.0
2019-05-20,92.8,93.0,91.06,92.6,4759000,0.0
2019-05-21,94.32,96.91,93.61,96.68,5394400,0.0
2019-05-22,95.48,96.64,93.57,93.64,3760400,0.0
2019-05-23,91.68,92.49,89.8,91.91,5022900,0.0
2019-05-24,92.7,93.46,91.75,91.81,3230800,0.0
2019-05-28,92.57,92.57,89.08,89.61,11811900,0.0
2019-05-29,88.49,89.8,87.26,89.12,4207300,0.0
2019-05-30,89.21,91.1,89.13,90.88,2737500,0.0
2019-05-31,89.26,91.37,88.09,88.16,4020400,0.0
2019-06-03,91.17,91.17,89.0,89.63,3424000,0.0
2019-06-04,91.76,94.81,91.29,94.63,4331000,0.0
2019-06-05,95.13,95.46,91.67,93.45,2224500,0.0
2019-06-06,93.26,93.95,91.78,92.29,3751800,0.0
2019-06-07,92.81,92.93,91.9,92.64,1877700,0.0
2019-06-10,93.92,97.37,93.61,95.39,3008600,0.0
2019-06-11,97.9,98.29,95.12,95.46,2311500,0.0
2019-06-12,97.5,97.5,93.68,93.76,3891500,0.0
