Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,44.48,45.34,44.45,45.22,14320400,0.0
2019-01-03,44.75,45.5,44.41,44.78,19868700,0.0
2019-01-04,45.37,46.95,45.25,46.71,20984000,0.0
2019-01-07,46.93,48.11,46.47,47.45,17967900,0.0
2019-01-08,47.93,48.36,47.2,47.88,16255700,0.0
2019-01-09,46.64,48.23,46.61,47.78,19100200,0.0
2019-01-10,47.38,47.98,46.88,47.82,16652700,0.0
2019-01-11,47.67,48.62,47.37,48.29,16397400,0.0
2019-01-14,47.85,48.34,47.62,48.18,14869400,0.0
2019-01-15,47.47,48.53,47.41,48.38,12142100,0.19
2019-01-16,48.58,48.79,48.05,48.06,14114000,0.0
2019-01-17,48.01,48.91,47.81,48.58,12711200,0.0
2019-01-18,48.94,49.57,48.87,49.27,15930600,0.0
2019-01-22,48.84,49.17,48.66,48.94,13318700,0.0
2019-01-23,49.19,49.48,48.83,49.24,15551200,0.0
2019-01-24,49.26,49.43,48.87,49.2,11442200,0.0
2019-01-25,49.6,49.9,49.45,49.8,16656600,0.0
2019-01-28,49.45,49.73,49.21,49.52,11799100,0.0
2019-01-29,49.39,49.92,49.19,49.61,10838600,0.0
2019-01-30,49.86,50.5,49.6,50.36,13483800,0.0
2019-01-31,50.24,50.5,50.07,50.23,20403600,0.0
2019-02-01,50.52,51.1,50.29,50.81,14849600,0.0
2019-02-04,50.38,51.25,50.38,51.03,12221200,0.0
2019-02-05,51.17,51.37,50.89,51.24,13345500,0.0
2019-02-06,51.19,51.49,50.97,51.26,9220900,0.0
2019-02-07,50.79,50.99,50.17,50.22,14905000,0.0
2019-02-08,50.09,51.03,49.82,51.03,11535600,0.0
2019-02-11,50.96,51.48,50.95,51.23,9714500,0.0
2019-02-12,51.46,51.55,51.19,51.22,14188500,0.0
2019-02-13,51.25,51.55,50.95,51.42,11342600,0.0
2019-02-14,51.24,51.75,51.09,51.48,11155300,0.0
2019-02-15,51.13,51.72,51.07,51.72,13822200,0.0
2019-02-19,51.48,52.18,51.24,52.02,12357500,0.0
2019-02-20,52.0,52.21,51.5,51.77,13440900,0.0
2019-02-21,51.63,52.35,51.51,52.11,14759500,0.0
2019-02-22,52.39,52.6,52.2,52.48,11689700,0.0
2019-02-25,52.75,53.03,52.46,52.56,14722200,0.0
2019-02-26,52.46,52.88,52.24,52.6,12041300,0.0
2019-02-27,52.52,52.64,52.26,52.38,10674200,0.0
2019-02-28,52.2,52.51,52.05,52.13,31856900,0.0
2019-03-01,52.5,52.73,52.37,52.51,15757700,0.0
2019-03-04,52.67,52.85,51.57,52.04,14850100,0.0
2019-03-05,52.04,52.59,52.02,52.36,16291900,0.0
2019-03-06,52.31,52.75,52.13,52.35,12389300,0.0
2019-03-07,52.2,53.13,52.19,52.58,16624100,0.0
2019-03-08,52.35,52.78,52.13,52.77,15071100,0.0
2019-03-11,51.94,53.18,51.91,52.66,20027700,0.0
2019-03-12,52.67,53.29,52.58,52.8,18048500,0.0
2019-03-13,53.06,53.47,52.74,53.06,19490800,0.0
2019-03-14,52.98,53.4,52.85,53.05,24000300,0.0
2019-03-15,51.4,53.39,51.0,52.94,43340200,0.0
2019-03-18,52.87,53.96,52.78,53.46,21953600,0.0
2019-03-19,53.8,54.38,53.75,54.04,19214000,0.0
2019-03-20,53.89,54.19,52.51,52.64,24111600,0.0
2019-03-21,52.63,54.05,52.35,54.04,16686300,0.0
2019-03-22,53.62,53.88,52.74,52.77,16201500,0.0
2019-03-25,52.56,52.94,52.23,52.74,11755900,0.0
2019-03-26,53.29,53.54,53.06,53.28,11657600,0.0
2019-03-27,53.28,53.65,52.31,52.81,12636000,0.0
2019-03-28,53.0,53.3,52.79,53.19,9103100,0.0
2019-03-29,53.47,53.74,53.25,53.71,11485700,0.0
2019-04-01,53.88,54.65,53.85,54.58,15191700,0.0
2019-04-02,54.41,54.5,53.88,54.15,10812100,0.0
2019-04-03,54.16,54.39,53.86,54.06,12853400,0.0
2019-04-04,53.86,54.15,53.41,53.82,9978800,0.0
2019-04-05,53.74,54.19,53.74,53.93,10016300,0.0
2019-04-08,53.73,53.93,53.33,53.72,10126700,0.0
2019-04-09,53.5,54.1,53.47,53.83,9789000,0.0
2019-04-10,53.62,54.16,53.6,53.97,8477300,0.24
2019-04-11,54.05,54.19,53.52,53.79,8147600,0.0
2019-04-12,54.1,54.5,53.87,54.5,9014000,0.0
2019-04-15,54.5,54.75,54.31,54.63,7694900,0.0
2019-04-16,54.67,54.91,54.33,54.59,7265200,0.0
2019-04-17,54.68,54.83,54.39,54.48,7792200,0.0
2019-04-18,54.44,54.67,54.23,54.52,8233000,0.0
2019-04-22,54.4,54.68,54.2,54.62,6088100,0.0
2019-04-23,54.75,55.14,54.72,54.94,10923400,0.0
2019-04-24,55.0,55.53,54.96,55.18,8769800,0.0
2019-04-25,55.15,55.22,54.58,55.01,8226100,0.0
2019-04-26,55.22,55.49,55.01,55.41,7101600,0.0
2019-04-29,55.29,55.49,55.08,55.08,6443000,0.0
2019-04-30,55.06,55.38,54.84,55.33,10562300,0.0
2019-05-01,55.32,55.42,54.8,54.88,7792700,0.0
2019-05-02,54.81,55.05,54.46,54.6,9652200,0.0
2019-05-03,54.8,55.02,54.67,54.79,11066500,0.0
2019-05-06,53.9,55.0,53.83,54.85,9305400,0.0
2019-05-07,54.2,54.64,53.65,54.0,11712400,0.0
2019-05-08,54.35,54.43,53.81,53.99,10729800,0.0
2019-05-09,53.46,54.35,53.08,54.25,10711800,0.0
2019-05-10,53.77,54.97,53.51,54.65,11200300,0.0
2019-05-13,53.72,53.95,53.39,53.43,10664700,0.0
2019-05-14,53.64,54.62,53.36,54.13,11520800,0.0
2019-05-15,53.91,54.81,53.84,54.56,8573000,0.0
2019-05-16,54.91,55.15,54.55,54.64,10013800,0.0
2019-05-17,54.19,54.92,54.19,54.5,9057100,0.0
2019-05-20,53.95,54.36,53.53,53.66,9820200,0.0
2019-05-21,54.21,54.27,54.03,54.17,8482000,0.0
2019-05-22,54.23,54.55,54.04,54.2,8389700,0.0
2019-05-23,53.72,53.72,52.51,53.08,11213900,0.0
2019-05-24,53.38,53.47,52.59,52.77,9090700,0.0
2019-05-28,53.08,53.28,51.75,51.75,28230400,0.0
2019-05-29,51.43,51.81,51.05,51.69,12448700,0.0
2019-05-30,51.93,52.03,51.46,51.72,8569500,0.0
2019-05-31,51.24,51.36,50.51,50.6,11847100,0.0
2019-06-03,50.56,51.08,49.89,50.24,17434400,0.0
2019-06-04,50.79,52.24,50.63,52.02,17073200,0.0
2019-06-05,52.78,53.24,51.85,52.1,15855300,0.0
2019-06-06,52.09,52.74,51.86,52.59,10266900,0.0
2019-06-07,52.8,53.42,52.78,53.26,11591800,0.0
2019-06-10,53.68,54.41,53.57,54.01,12984600,0.0
2019-06-11,54.5,54.61,53.84,53.94,11288400,0.0
2019-06-12,53.68,54.05,53.43,53.62,10235400,0.0
2019-06-13,53.98,53.98,53.44,53.84,11289100,0.0
2019-06-14,53.61,53.83,53.28,53.28,12973000,0.0
2019-06-17,53.34,53.55,52.95,53.13,15207900,0.0
2019-06-18,52.86,53.6,52.41,52.9,20999700,0.0
2019-06-19,52.75,53.13,52.25,52.68,35449500,0.0
2019-06-20,55.98,57.47,55.53,56.99,54173900,0.0
2019-06-21,57.14,57.15,56.06,56.12,45169000,0.0
2019-06-24,56.25,57.3,55.9,56.74,19544200,0.0
2019-06-25,56.87,57.18,56.06,56.07,25462100,0.0
