Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,91.03,91.39,89.93,91.28,9843900,0.0
2019-01-03,90.94,92.5,90.38,90.64,9820200,0.0
2019-01-04,90.84,92.49,90.37,92.49,10565700,0.0
2019-01-07,91.91,92.5,91.4,92.12,9012500,0.0
2019-01-08,92.7,93.09,91.82,92.46,9551300,0.0
2019-01-09,92.69,92.96,90.81,90.95,15015600,0.0
2019-01-10,90.89,91.54,90.61,91.17,11102300,0.0
2019-01-11,91.67,91.98,91.11,91.77,7166600,0.0
2019-01-14,91.5,91.91,90.85,91.15,7952000,0.0
2019-01-15,91.15,92.61,91.14,92.01,7834500,0.0
2019-01-16,91.74,92.15,90.99,91.37,7964500,0.0
2019-01-17,90.71,91.56,90.35,90.64,8044500,0.717
2019-01-18,91.37,91.84,91.04,91.42,9100300,0.0
2019-01-22,91.39,91.75,89.08,90.44,13518500,0.0
2019-01-23,94.18,96.41,93.63,94.84,22869000,0.0
2019-01-24,94.29,94.56,93.19,94.3,12146400,0.0
2019-01-25,94.42,94.89,93.06,93.6,10618000,0.0
2019-01-28,93.32,93.97,92.97,93.52,9765600,0.0
2019-01-29,93.79,94.12,93.1,93.54,9769800,0.0
2019-01-30,93.61,94.66,93.57,94.52,7750200,0.0
2019-01-31,94.43,96.81,94.08,96.47,16044400,0.0
2019-02-01,96.35,97.61,95.99,97.47,12720800,0.0
2019-02-04,97.21,98.22,96.72,98.03,11887500,0.0
2019-02-05,97.99,98.02,97.21,97.44,9772300,0.0
2019-02-06,97.25,98.32,97.12,97.92,8693900,0.0
2019-02-07,97.52,97.6,96.34,97.14,8732500,0.0
2019-02-08,97.01,97.72,96.7,97.71,7483200,0.0
2019-02-11,97.49,98.39,97.43,98.27,8494100,0.0
2019-02-12,98.38,99.34,97.98,99.26,11238800,0.0
2019-02-13,99.29,99.7,99.01,99.24,11587200,0.0
2019-02-14,98.7,98.82,97.84,98.46,7930100,0.0
2019-02-15,98.95,99.2,98.25,98.48,12069100,0.0
2019-02-19,98.56,100.0,98.47,99.99,10098200,0.0
2019-02-20,99.78,100.22,98.94,99.28,8947400,0.0
2019-02-21,99.1,99.86,98.59,99.78,7444800,0.0
2019-02-22,99.69,100.4,99.4,100.25,7925400,0.0
2019-02-25,100.36,100.45,99.33,99.57,7436100,0.0
2019-02-26,99.84,100.18,99.63,99.83,7115300,0.0
2019-02-27,99.34,99.63,98.82,98.91,6013600,0.0
2019-02-28,98.91,99.2,98.08,98.55,10575400,0.0
2019-03-01,98.61,98.78,97.83,98.44,7733200,0.0
2019-03-04,98.57,98.88,97.88,98.87,6895300,0.0
2019-03-05,98.91,99.68,98.91,99.09,6274600,0.0
2019-03-06,98.86,99.1,98.4,98.93,4622300,0.0
