Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,56.2,58.0,55.92,57.4,9896600,0.0
2019-01-03,55.95,56.84,55.52,55.7,14422200,0.0
2019-01-04,56.5,56.83,55.21,56.6,14177300,0.0
2019-01-07,56.39,57.16,55.95,56.44,12352000,0.0
2019-01-08,56.71,56.88,55.61,55.95,12110000,0.0
2019-01-09,56.26,57.11,56.14,56.61,10971000,0.0
2019-01-10,56.19,56.99,56.1,56.8,10958200,0.0
2019-01-11,56.47,58.17,56.33,57.5,12024300,0.0
2019-01-14,57.02,57.65,56.37,57.3,9449400,0.0
2019-01-15,57.32,57.4,55.56,55.73,17423400,0.0
2019-01-16,55.75,56.08,55.16,55.27,13856000,0.0
2019-01-17,54.97,55.2,54.37,54.77,18365000,0.0
2019-01-18,55.39,55.9,54.99,55.27,28020000,0.0
2019-01-22,54.97,54.99,53.94,54.29,17867500,0.0
2019-01-23,52.92,53.57,51.22,51.77,33788600,0.0
2019-01-24,51.95,51.98,50.41,50.81,32782700,0.0
2019-01-25,50.93,52.03,50.28,51.3,19516200,0.0
2019-01-28,50.32,51.29,50.24,50.64,24457600,0.0
2019-01-29,50.49,50.84,49.34,49.4,26266600,0.0
2019-01-30,49.68,50.87,49.21,50.17,18124100,0.0
2019-01-31,51.2,51.28,49.1,49.52,24736300,0.0
2019-02-01,49.58,50.28,49.4,49.61,15533200,0.0
2019-02-04,49.71,49.8,49.47,49.69,10880000,0.0
2019-02-05,49.73,51.08,49.72,50.73,15454200,0.0
2019-02-06,50.94,51.64,50.93,51.1,11052900,0.0
2019-02-07,50.83,51.12,50.27,50.55,10623300,0.0
2019-02-08,50.24,50.68,49.91,50.29,12461200,0.0
2019-02-11,50.55,51.3,50.38,50.83,9971800,0.0
2019-02-12,51.3,52.18,51.02,51.66,16637600,0.0
2019-02-13,52.0,52.49,51.56,51.59,11004000,0.0
2019-02-14,51.5,51.77,51.09,51.57,17895000,0.0
2019-02-15,52.08,52.36,51.6,51.98,12239500,0.0
2019-02-19,52.0,52.48,51.75,52.01,8258400,0.0
2019-02-20,52.25,52.92,52.14,52.45,12863700,0.0
2019-02-21,52.5,52.59,51.9,52.35,7826200,0.0
2019-02-22,52.69,53.15,52.64,53.12,13394500,0.0
2019-02-25,53.78,53.97,52.9,52.99,15341700,0.0
2019-02-26,53.08,53.22,52.28,53.03,11366700,0.0
2019-02-27,52.95,53.13,52.27,53.04,10426200,0.0
2019-02-28,53.0,53.76,52.71,53.39,19000200,0.0
2019-03-01,54.0,54.4,53.71,54.2,12659000,0.0
2019-03-04,54.58,54.7,53.26,53.78,14021700,0.0
2019-03-05,53.9,54.23,53.7,53.94,10092800,0.0
2019-03-06,53.89,55.46,53.73,54.8,20521300,0.62
2019-03-07,54.83,55.05,53.61,54.03,13667300,0.0
2019-03-08,53.45,53.63,53.03,53.53,10117100,0.0
2019-03-11,53.72,54.75,53.65,54.35,10738800,0.0
2019-03-12,54.66,55.31,54.54,54.84,9575300,0.0
2019-03-13,55.03,55.94,55.0,55.39,9198900,0.0
2019-03-14,55.53,55.87,55.25,55.4,7306100,0.0
2019-03-15,55.0,57.34,54.92,56.6,27985600,0.0
2019-03-18,56.62,57.19,56.44,56.83,13089300,0.0
2019-03-19,57.17,57.68,56.78,56.97,9363700,0.0
2019-03-20,57.03,57.69,56.75,57.16,8804800,0.0
2019-03-21,57.23,58.28,57.2,57.77,19542700,0.0
2019-03-22,57.68,58.09,56.75,56.82,10243500,0.0
2019-03-25,56.58,56.94,56.07,56.64,6929600,0.0
2019-03-26,57.15,58.39,56.67,58.0,16051800,0.0
2019-03-27,57.35,57.67,56.32,56.91,11934400,0.0
2019-03-28,57.03,57.39,56.34,56.55,11064300,0.0
2019-03-29,57.0,57.56,56.94,57.03,8529100,0.0
2019-04-01,57.64,58.15,57.11,57.81,12066500,0.0
2019-04-02,57.98,58.53,57.66,58.09,7614500,0.0
2019-04-03,58.2,58.29,57.18,57.68,11563400,0.0
2019-04-04,57.75,58.61,57.69,57.86,9905100,0.0
2019-04-05,57.98,58.19,57.69,57.99,12332600,0.0
2019-04-08,57.79,58.49,57.51,57.76,8942400,0.0
2019-04-09,57.57,57.66,57.03,57.44,11713400,0.0
2019-04-10,57.71,57.86,56.1,56.33,15976500,0.0
2019-04-11,56.44,56.9,55.79,55.9,13903800,0.0
2019-04-12,56.28,57.17,56.07,56.95,13483500,0.0
2019-04-15,57.14,57.67,57.03,57.18,10712500,0.0
2019-04-16,57.46,71.03,57.29,70.45,86755900,0.0
2019-04-17,78.82,82.52,76.49,79.08,156019300,0.0
2019-04-18,78.72,80.2,78.02,79.89,41621200,0.0
2019-04-22,79.83,82.5,79.34,81.97,33292500,0.0
2019-04-23,83.9,87.96,83.27,86.72,56973700,0.0
2019-04-24,87.04,88.63,85.3,86.83,40290400,0.0
2019-04-25,86.17,86.32,84.52,85.07,20732200,0.0
2019-04-26,84.51,86.76,84.21,86.64,18860600,0.0
2019-04-29,86.4,87.98,85.84,87.25,17930000,0.0
2019-04-30,86.98,87.46,86.05,86.13,17582400,0.0
2019-05-01,87.17,88.22,86.15,86.37,28211500,0.0
2019-05-02,87.5,90.34,86.15,87.14,40342000,0.0
2019-05-03,87.76,89.82,87.06,89.29,21068400,0.0
