Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,33.89,34.18,33.52,34.13,1065400,0
2019-01-03,34.13,34.17,33.68,33.78,1279400,0
2019-01-04,34.31,35.14,34.31,34.84,1526300,0
2019-01-07,35.36,35.49,35.0,35.2,1406000,0
2019-01-08,35.1,35.71,35.06,35.67,1542300,0
2019-01-09,35.68,36.52,35.67,36.18,1565400,0
2019-01-10,35.98,36.43,35.92,36.35,1398400,0
2019-01-11,36.07,36.57,36.05,36.48,2697700,0
2019-01-14,35.93,36.22,35.81,36.05,1168900,0
2019-01-15,36.0,36.39,35.96,36.27,871300,0
2019-01-16,36.62,36.82,36.49,36.56,1073400,0
2019-01-17,36.49,36.79,36.38,36.64,968100,0
2019-01-18,36.79,37.0,36.69,36.93,943700,0
2019-01-22,36.64,37.02,36.44,36.69,1620600,0
2019-01-23,37.07,37.27,36.8,37.09,1607500,0
2019-01-24,37.01,37.07,36.77,36.85,914600,0
2019-01-25,37.28,37.33,37.11,37.16,764500,0
2019-01-28,36.82,37.21,36.66,37.16,1178100,0
2019-01-29,37.21,37.31,36.98,37.11,1150300,0
2019-01-30,37.01,37.59,37.0,37.39,1082400,0
2019-01-31,36.95,37.35,36.83,37.03,2139100,0
2019-02-01,36.7,36.92,36.5,36.8,1709200,0
2019-02-04,36.53,36.97,36.5,36.86,1522500,0
2019-02-05,36.26,36.78,35.72,36.45,2495900,0
2019-02-06,37.14,37.53,37.02,37.33,1905300,0
2019-02-07,36.87,36.96,36.64,36.79,1556800,0
2019-02-08,36.48,36.74,36.48,36.68,957700,0
2019-02-11,36.8,36.97,36.51,36.68,1085100,0
2019-02-12,37.07,37.18,36.77,37.17,1099800,0
2019-02-13,37.11,37.79,37.1,37.55,1320500,0
2019-02-14,38.28,38.43,38.06,38.19,1735600,0
2019-02-15,38.39,38.72,38.29,38.64,1376700,0
2019-02-19,38.53,38.89,38.53,38.63,902000,0
2019-02-20,38.75,39.05,38.67,38.95,1049700,0
2019-02-21,38.65,38.82,38.49,38.78,1244100,0
2019-02-22,38.64,39.09,38.64,39.04,1170300,0
2019-02-25,39.13,39.15,38.89,38.97,1442500,0
2019-02-26,38.43,38.65,38.36,38.41,1396400,0
2019-02-27,37.96,38.67,37.94,38.6,2347900,0
2019-02-28,37.96,38.56,37.82,38.43,2293500,0
2019-03-01,38.72,39.38,38.65,39.25,1835300,0
2019-03-04,39.48,39.5,38.94,39.13,1197700,0
2019-03-05,39.11,39.67,39.05,39.39,2977600,0
2019-03-06,39.44,39.55,39.07,39.26,1497200,0
2019-03-07,38.79,39.03,38.64,38.92,1515600,0
2019-03-08,38.7,38.99,38.47,38.89,1411600,0
2019-03-11,38.99,39.42,38.97,39.33,972000,0
2019-03-12,39.33,39.38,39.15,39.35,765600,0
2019-03-13,39.36,39.84,39.34,39.74,945400,0
2019-03-14,39.94,39.95,39.66,39.79,550300,0
2019-03-15,40.14,40.19,39.76,39.84,1576800,0
2019-03-18,39.79,39.91,39.53,39.69,1694500,0
2019-03-19,39.96,40.05,39.74,39.93,831700,0
2019-03-20,40.24,40.27,39.8,40.01,1219600,0
2019-03-21,39.81,40.42,39.8,40.33,1009900,0
2019-03-22,39.8,40.06,39.4,39.42,949700,0
2019-03-25,39.58,39.97,39.54,39.77,1025200,0
2019-03-26,40.25,40.43,40.11,40.41,873300,0
2019-03-27,40.32,40.4,39.74,40.03,1060500,0
2019-03-28,40.11,40.29,40.07,40.26,717200,0
2019-03-29,40.49,40.77,40.3,40.68,733900,0
2019-04-01,41.03,41.17,40.73,40.89,1161300,0
2019-04-02,41.07,41.21,40.76,41.14,1233400,0
2019-04-03,41.27,41.47,41.09,41.22,565900,0
2019-04-04,41.11,41.22,40.73,41.03,772700,0
2019-04-05,41.03,41.29,40.96,41.24,933200,0
2019-04-08,41.55,41.55,41.13,41.32,1053000,0
2019-04-09,41.21,41.39,41.07,41.14,547000,0
2019-04-10,41.16,41.49,41.11,41.39,340800,0
2019-04-11,41.41,41.45,40.91,41.01,617200,0
2019-04-12,40.83,40.99,40.55,40.61,1176200,0
