Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,64.34,68.46,64.23,67.69,2202700,0.0
2019-01-03,65.74,66.28,62.97,63.15,2736400,0.0
2019-01-04,65.27,69.3,64.88,68.81,3218100,0.0
2019-01-07,68.98,70.95,68.56,70.2,2011500,0.0
2019-01-08,71.6,72.06,69.5,71.6,1858200,0.0
2019-01-09,72.07,73.33,71.51,72.67,2026000,0.0
2019-01-10,71.58,73.19,70.78,73.04,1703800,0.0
2019-01-11,72.27,72.71,71.77,72.6,1124100,0.0
2019-01-14,71.3,71.9,70.66,71.28,1377500,0.0
2019-01-15,71.89,74.25,71.85,74.09,2149400,0.0
2019-01-16,74.3,75.33,73.98,74.07,1596300,0.0
2019-01-17,73.53,75.8,73.3,75.12,1806200,0.0
2019-01-18,76.24,77.35,75.34,76.58,2293600,0.0
2019-01-22,75.49,75.58,72.47,73.66,2743600,0.0
2019-01-23,74.32,74.97,72.09,73.75,2595200,0.0
2019-01-24,74.17,74.89,73.66,74.64,1433300,0.0
2019-01-25,75.8,76.9,75.36,76.52,1770100,0.0
2019-01-28,74.51,74.56,73.32,74.56,1409000,0.0
2019-01-29,74.63,74.67,72.62,73.1,1078000,0.0
2019-01-30,74.78,77.39,74.33,76.96,2280300,0.0
2019-01-31,77.72,79.87,77.57,79.17,2260700,0.0
2019-02-01,78.38,79.54,78.03,78.44,1692000,0.0
2019-02-04,78.47,80.37,78.34,80.37,1369600,0.0
2019-02-05,80.6,81.98,80.58,81.82,1363200,0.0
2019-02-06,81.84,82.13,80.58,81.28,1283600,0.0
2019-02-07,79.87,80.24,77.9,79.09,3215200,0.0
2019-02-08,77.69,79.37,77.53,79.34,1705400,0.0
2019-02-11,79.95,80.35,78.87,79.24,1030500,0.0
2019-02-12,80.34,81.81,80.13,81.61,1030700,0.0
2019-02-13,82.27,82.78,81.52,81.66,1406200,0.0
2019-02-14,81.03,82.44,80.54,81.8,2040200,0.0
2019-02-15,83.11,83.11,81.78,82.57,1634600,0.0
2019-02-19,82.01,83.36,82.01,82.84,1261500,0.0
2019-02-20,82.99,83.61,81.94,82.83,1658200,0.0
2019-02-21,82.36,82.8,81.33,82.15,1366400,0.0
2019-02-22,82.53,83.51,82.44,83.4,1003500,0.0
2019-02-25,84.63,85.1,83.89,84.0,1133000,0.0
2019-02-26,83.5,84.68,83.35,84.15,1150600,0.0
2019-02-27,83.44,84.24,82.28,84.01,1172400,0.0
2019-02-28,83.48,84.22,83.17,83.62,788000,0.0
2019-03-01,84.83,85.03,83.64,84.84,933200,0.0
2019-03-04,85.74,86.13,82.92,84.8,1788100,0.0
2019-03-05,84.87,85.43,84.08,84.92,848300,0.0
2019-03-06,85.02,85.08,83.67,83.92,1235500,0.0
2019-03-07,83.47,83.56,81.27,81.88,2105900,0.0
2019-03-08,80.02,81.67,79.85,81.59,1593600,0.0
2019-03-11,82.24,85.1,82.24,85.0,1118100,0.0
2019-03-12,85.4,86.36,85.05,85.96,1362300,0.0
2019-03-13,86.79,88.11,86.59,87.21,1245900,0.0
2019-03-14,87.27,87.5,86.84,86.88,694400,0.0
2019-03-15,87.56,89.01,87.47,88.37,1150800,0.0
2019-03-18,88.42,89.44,88.07,88.83,1163300,0.0
2019-03-19,89.61,90.44,88.75,89.47,1319600,0.0
