Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,46.45,47.38,46.41,47.35,3149600,0.0
2019-01-03,46.97,47.21,46.32,46.65,2501400,0.0
2019-01-04,48.1,49.64,47.85,49.25,3196200,0.0
2019-01-07,49.43,50.09,49.21,49.69,2791900,0.0
2019-01-08,49.93,50.4,49.88,50.3,2997600,0.0
2019-01-09,50.75,51.18,50.5,50.84,4223900,0.0
2019-01-10,49.97,50.64,49.86,50.59,2388300,0.0
2019-01-11,50.38,50.69,50.11,50.51,1500800,0.0
2019-01-14,50.21,50.86,50.18,50.55,1279100,0.0
2019-01-15,50.72,51.05,50.24,50.69,2322900,0.0
2019-01-16,50.5,50.98,50.44,50.89,1987200,0.0
2019-01-17,50.56,51.98,50.56,51.66,1832100,0.0
2019-01-18,51.94,52.0,51.45,51.64,2373500,0.0
2019-01-22,50.43,50.62,50.03,50.31,3697600,0.0
2019-01-23,50.0,50.13,49.62,49.92,2751100,0.0
2019-01-24,49.8,50.21,49.74,49.87,2070800,0.0
2019-01-25,51.15,52.9,51.07,52.26,4541300,0.0
2019-01-28,52.27,52.88,52.08,52.69,3991900,0.0
2019-01-29,54.21,54.77,53.96,54.41,4308300,0.0
2019-01-30,55.43,55.63,54.52,55.16,4056900,0.0
2019-01-31,55.65,56.38,55.46,56.27,2706500,0.0
2019-02-01,56.21,56.32,55.59,55.97,2254500,0.0
2019-02-04,56.16,57.1,55.9,56.74,3742900,0.0
2019-02-05,56.67,56.77,55.88,56.23,2551700,0.0
2019-02-06,56.3,57.11,56.16,56.64,5543000,0.0
2019-02-07,56.62,56.65,55.8,56.27,4054700,0.0
2019-02-08,56.0,56.3,55.57,56.03,5001900,0.0
2019-02-11,55.83,56.01,55.61,55.78,1903200,0.0
2019-02-12,56.08,56.18,55.61,55.92,4602500,0.0
2019-02-13,56.66,57.04,56.32,56.32,2570300,0.0
2019-02-14,56.01,56.33,55.88,56.28,2474500,0.0
2019-02-15,57.1,57.35,56.79,57.15,2428200,0.0
2019-02-19,57.4,58.24,57.37,57.83,2530100,0.0
2019-02-20,57.83,58.73,57.82,58.43,2202700,0.0
2019-02-21,57.83,58.04,57.45,58.02,2514600,0.0
2019-02-22,58.78,58.99,58.53,58.83,2230100,0.0
2019-02-25,58.11,58.79,58.09,58.7,2361700,0.0
2019-02-26,58.63,59.17,58.49,58.8,2608500,0.0
2019-02-27,59.6,59.97,58.48,58.52,4280400,0.0
2019-02-28,58.35,58.51,58.0,58.2,3645800,0.0
2019-03-01,58.86,58.93,58.15,58.36,2538100,0.0
2019-03-04,58.66,59.01,58.37,58.66,2590200,0.0
2019-03-05,58.83,59.17,58.77,58.92,2167900,0.0
2019-03-06,59.54,59.64,59.19,59.19,2881200,0.0
2019-03-07,55.2,55.2,54.44,54.74,4522000,4.23
2019-03-08,53.73,54.67,53.65,54.66,3593000,0.0
2019-03-11,54.8,55.55,54.7,55.28,1972500,0.0
2019-03-12,55.34,55.62,55.3,55.32,1737600,0.0
2019-03-13,56.02,56.27,55.74,56.03,1720600,0.0
2019-03-14,55.73,56.23,55.66,56.0,1525400,0.0
2019-03-15,55.94,56.22,55.84,55.98,1533600,0.0
2019-03-18,56.8,57.29,56.78,56.99,3528900,0.0
2019-03-19,58.05,58.08,56.07,56.52,7251400,0.0
2019-03-20,56.04,56.99,55.89,56.65,2992000,0.0
2019-03-21,56.66,57.08,56.34,56.83,2154600,0.0
2019-03-22,56.5,56.75,56.13,56.14,3280500,0.0
2019-03-25,56.69,57.47,56.64,56.95,2982900,0.0
2019-03-26,57.79,58.1,57.56,57.79,6422700,0.0
2019-03-27,58.18,58.37,57.54,57.66,5049800,0.0
2019-03-28,58.54,58.54,57.75,58.02,5061300,0.0
2019-03-29,58.9,59.03,58.48,58.85,5531500,0.0
2019-04-01,60.54,60.58,59.81,59.85,3186300,0.0
2019-04-02,60.39,61.0,60.33,60.98,2640900,0.0
2019-04-03,61.64,61.71,60.93,61.02,2860400,0.0
2019-04-04,60.77,61.06,60.48,61.04,2334400,0.0
2019-04-05,61.37,61.45,60.85,61.07,1697400,0.0
2019-04-08,61.89,62.48,61.72,62.36,2807300,0.0
2019-04-09,62.14,62.4,61.83,61.89,1918400,0.0
2019-04-10,62.83,62.95,62.26,62.4,3456500,0.0
2019-04-11,62.0,62.42,61.76,62.06,3029300,0.0
2019-04-12,63.27,63.27,62.73,62.78,1768500,0.0
2019-04-15,62.36,62.53,62.01,62.46,2094200,0.0
2019-04-16,62.0,62.07,59.75,60.34,5802800,0.0
2019-04-17,59.92,60.55,59.84,60.46,3401300,0.0
2019-04-18,60.58,60.93,60.34,60.77,1392600,0.0
2019-04-22,60.6,60.93,60.3,60.87,1578600,0.0
2019-04-23,60.49,61.07,60.46,60.6,1404800,0.0
2019-04-24,59.97,60.16,59.18,59.43,2552800,0.0
2019-04-25,59.25,59.7,58.85,59.34,2404100,0.0
2019-04-26,59.28,59.53,59.13,59.3,2558000,0.0
2019-04-29,59.25,59.38,58.94,59.29,1712700,0.0
2019-04-30,58.79,59.17,58.52,58.9,2183000,0.0
2019-05-01,58.8,58.96,57.3,57.94,3054400,0.0
2019-05-02,57.62,57.68,57.18,57.44,3696000,0.0
2019-05-03,58.26,59.03,58.26,58.92,2394700,0.0
2019-05-06,57.57,58.15,57.38,58.08,2313400,0.0
2019-05-07,58.74,58.81,57.77,58.29,2861200,0.0
2019-05-08,57.8,58.21,57.56,57.67,2533300,0.0
2019-05-09,57.43,58.01,57.25,57.74,2794100,0.0
2019-05-10,58.04,59.05,57.69,58.87,2772300,0.0
2019-05-13,57.69,57.86,56.92,57.16,3400900,0.0
2019-05-14,58.22,58.84,58.01,58.46,2417400,0.0
2019-05-15,57.82,58.61,57.69,58.29,1653100,0.0
2019-05-16,59.31,60.15,58.96,59.78,3963500,0.0
2019-05-17,59.83,60.34,59.56,59.96,3287100,0.0
2019-05-20,59.88,60.36,59.61,59.74,2291500,0.0
2019-05-21,59.43,59.84,59.22,59.76,1328800,0.0
2019-05-22,59.78,59.89,59.38,59.45,2138100,0.0
2019-05-23,58.82,58.95,58.21,58.77,2455600,0.0
2019-05-24,59.63,59.88,59.31,59.71,2329900,0.0
2019-05-28,61.14,61.45,60.51,60.63,3646800,0.0
2019-05-29,58.98,59.44,58.75,59.39,4238000,0.0
2019-05-30,59.27,59.35,58.91,58.93,1840600,0.0
2019-05-31,57.3,58.14,57.2,57.93,3632300,0.0
2019-06-03,58.0,58.89,57.91,58.76,2283200,0.0
2019-06-04,58.98,59.27,58.57,59.25,1556100,0.0
2019-06-05,58.59,58.69,57.74,58.04,2613400,0.0
2019-06-06,57.97,58.3,57.58,57.99,2650100,0.0
2019-06-07,57.78,58.63,57.71,58.11,1779400,0.0
2019-06-10,58.89,59.01,58.53,58.67,1841900,0.0
2019-06-11,60.31,60.63,60.1,60.27,2438700,0.0
2019-06-12,60.27,60.83,60.19,60.29,1704200,0.0
2019-06-13,61.16,61.7,60.94,61.57,2175500,0.0
2019-06-14,60.5,60.97,60.41,60.77,2095800,0.0
2019-06-17,60.95,60.99,60.59,60.66,1378100,0.0
2019-06-18,61.5,62.34,61.5,62.18,2456800,0.0
2019-06-19,60.11,60.39,59.28,59.9,4422000,0.0
2019-06-20,60.56,60.71,59.94,60.4,2521500,0.0
2019-06-21,60.08,60.59,60.08,60.27,1750100,0.0
2019-06-24,60.87,61.28,60.57,60.94,1748100,0.0
2019-06-25,61.5,61.66,60.76,60.99,2651900,0.0
2019-06-26,61.56,62.14,61.47,61.7,1918600,0.0
2019-06-27,62.41,62.42,61.74,61.95,2242900,0.0
2019-06-28,62.7,62.72,62.16,62.34,2088500,0.0
2019-07-01,63.18,63.21,62.53,62.78,2174200,0.0
2019-07-02,63.1,64.02,62.73,63.73,3021700,0.0
2019-07-03,63.22,63.38,62.89,63.31,1896600,0.0
2019-07-05,59.93,60.25,59.16,60.05,4933400,0.0
2019-07-08,60.64,60.91,60.36,60.48,2191200,0.0
2019-07-09,60.44,60.64,60.22,60.58,1934800,0.0
2019-07-10,61.36,61.54,61.09,61.39,1607300,0.0
2019-07-11,60.83,61.12,60.6,60.85,1942300,0.0
2019-07-12,60.94,61.25,60.65,60.71,1672600,0.0
2019-07-15,61.56,61.75,61.24,61.51,2218700,0.0
2019-07-16,60.67,60.73,60.14,60.43,2668300,0.0
2019-07-17,60.75,61.17,60.7,60.96,1746800,0.0
2019-07-18,60.36,60.72,60.0,60.65,1561500,0.0
