Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,66.18,68.19,65.6,68.16,9361700,0.0
2019-01-03,67.68,67.97,64.97,65.12,8884200,0.0
2019-01-04,65.53,67.46,65.14,67.35,10083300,0.0
2019-01-07,67.38,67.6,66.42,67.32,8314600,0.0
2019-01-08,68.5,68.88,67.56,68.53,5951200,0.0
2019-01-09,68.95,69.0,68.31,68.8,6726800,0.0
2019-01-10,68.45,69.57,68.43,69.48,5368100,0.0
2019-01-11,68.95,69.21,68.36,69.19,5759800,0.0
2019-01-14,68.72,70.16,68.47,69.76,5049500,0.0
2019-01-15,69.7,69.99,68.94,69.89,4444700,0.0
2019-01-16,69.91,70.23,69.51,69.77,6177200,0.0
2019-01-17,69.46,71.43,69.41,70.97,5079200,0.0
2019-01-18,71.93,72.18,71.05,71.68,7366700,0.0
2019-01-22,71.12,71.21,69.63,69.89,9039900,0.0
2019-01-23,73.82,75.1,71.96,73.66,19960800,0.0
2019-01-24,74.1,75.11,72.08,72.72,14356900,0.0
2019-01-25,73.22,73.57,72.42,72.88,7375100,0.0
2019-01-28,72.5,72.54,71.6,72.42,14161000,0.0
2019-01-29,72.73,74.4,72.69,74.16,17208500,0.0
2019-01-30,74.64,75.68,73.79,74.97,11627900,0.0
2019-01-31,75.25,75.25,74.03,74.3,9663300,0.0
2019-02-01,75.26,75.54,74.33,74.88,6572500,0.0
2019-02-04,74.88,75.05,74.19,74.98,7857100,0.0
2019-02-05,75.41,76.02,74.94,76.0,7192100,0.0
2019-02-06,76.06,76.61,75.73,76.38,5565400,0.0
2019-02-07,75.75,76.14,74.88,75.97,7384700,0.0
2019-02-08,75.7,77.11,75.66,77.09,6263600,0.0
2019-02-11,77.34,77.48,76.47,77.23,6222300,0.0
2019-02-12,77.63,78.26,77.22,78.02,5624200,0.0
2019-02-13,78.26,78.6,78.17,78.3,3914600,0.0
2019-02-14,77.5,78.28,77.22,78.12,5957600,0.46256
2019-02-15,79.04,80.5,78.68,80.4,10850300,0.0
2019-02-19,80.16,81.27,79.84,80.96,9680900,0.0
2019-02-20,80.99,81.59,80.45,80.82,10012600,0.0
2019-02-21,80.65,80.93,79.19,79.5,5179800,0.0
2019-02-22,80.59,80.77,79.8,80.41,5018200,0.0
2019-02-25,80.99,81.26,80.65,80.72,4245900,0.0
2019-02-26,80.42,80.84,79.78,80.04,5397800,0.0
2019-02-27,79.97,80.14,79.36,79.86,3969300,0.0
2019-02-28,79.73,80.13,79.02,79.09,7017300,0.0
2019-03-01,79.91,80.14,78.82,79.15,6073100,0.0
2019-03-04,79.48,80.18,78.73,79.13,5526000,0.0
2019-03-05,79.07,79.82,79.07,79.26,5141800,0.0
2019-03-06,79.41,79.84,78.9,78.91,5592400,0.0
2019-03-07,78.67,78.72,77.36,78.33,6616400,0.0
