Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,67.8,68.99,67.75,68.92,556900,0.0
2019-01-03,68.99,69.04,68.35,68.63,621900,0.0
2019-01-04,69.53,70.35,69.17,70.32,764900,0.0
2019-01-07,70.7,70.82,69.96,70.61,919300,0.0
2019-01-08,71.27,71.38,69.98,70.6,694300,0.0
2019-01-09,70.95,72.62,70.95,72.44,795800,0.0
2019-01-10,71.98,73.22,71.82,72.95,895000,0.0
2019-01-11,72.73,72.9,72.37,72.79,449500,0.0
2019-01-14,72.5,73.18,72.43,72.88,442700,0.0
2019-01-15,72.97,73.44,72.68,73.32,719600,0.0
2019-01-16,73.82,74.02,73.53,73.83,646100,0.0
2019-01-17,73.55,74.44,73.26,74.18,553100,0.0
2019-01-18,74.7,74.84,74.23,74.32,492600,0.0
2019-01-22,74.5,74.93,74.39,74.91,2566000,0.0
2019-01-23,74.43,74.52,73.66,73.91,2045800,0.98
2019-01-24,73.68,74.22,73.46,74.08,1387900,0.0
2019-01-25,74.89,74.97,74.33,74.89,1067200,0.0
2019-01-28,74.12,75.0,74.12,75.0,574500,0.0
2019-01-29,75.0,75.33,74.87,75.21,1942800,0.0
2019-01-30,75.5,76.37,75.32,76.08,638800,0.0
2019-01-31,75.76,76.26,75.76,76.18,1205800,0.0
2019-02-01,76.47,76.92,76.33,76.54,1232200,0.0
2019-02-04,76.46,76.82,76.37,76.73,571800,0.0
2019-02-05,76.76,77.1,76.45,77.1,696400,0.0
2019-02-06,76.88,77.33,76.62,76.82,810800,0.0
2019-02-07,76.5,76.62,75.73,76.29,1139700,0.0
2019-02-08,76.18,76.44,75.49,76.06,525900,0.0
2019-02-11,76.07,76.34,75.31,75.51,759100,0.0
2019-02-12,76.13,76.23,75.9,76.09,771200,0.0
2019-02-13,76.2,76.44,76.04,76.07,442900,0.0
2019-02-14,75.72,75.92,75.2,75.79,570400,0.0
2019-02-15,76.18,76.79,76.13,76.59,614700,0.0
2019-02-19,76.35,77.11,76.07,77.07,714500,0.0
2019-02-20,77.08,78.16,77.08,78.02,868400,0.0
2019-02-21,77.99,78.04,76.95,77.3,1008400,0.0
2019-02-22,76.9,77.4,76.69,77.39,826000,0.0
2019-02-25,77.9,77.92,77.47,77.59,1173500,0.0
2019-02-26,77.44,78.1,77.44,77.94,793300,0.0
2019-02-27,78.07,78.51,77.82,78.47,915700,0.0
2019-02-28,78.17,78.34,77.89,78.18,1047300,0.0
2019-03-01,78.32,78.53,77.75,77.81,963600,0.0
2019-03-04,77.83,78.17,77.31,77.74,895000,0.0
2019-03-05,77.74,77.89,77.4,77.75,584500,0.0
2019-03-06,77.72,77.88,77.06,77.23,663000,0.0
2019-03-07,77.2,77.31,76.28,76.67,1042300,0.0
2019-03-08,76.25,76.76,76.1,76.72,671100,0.0
2019-03-11,76.7,77.13,76.64,76.92,1221100,0.0
2019-03-12,77.0,77.14,76.41,76.91,1446500,0.0
2019-03-13,76.99,77.4,76.96,77.34,622200,0.0
2019-03-14,77.29,77.4,76.89,77.11,586900,0.0
2019-03-15,77.63,77.79,77.28,77.64,514200,0.0
2019-03-18,77.73,78.05,77.51,78.02,1680100,0.0
2019-03-19,78.49,78.66,77.75,77.91,553700,0.0
2019-03-20,77.65,77.93,77.25,77.43,623100,0.0
2019-03-21,76.68,76.9,76.37,76.65,1509800,0.0
2019-03-22,76.21,76.35,75.85,76.03,2611500,0.0
2019-03-25,76.02,76.21,75.6,76.11,2223300,0.0
2019-03-26,76.58,77.07,76.45,76.73,1597500,0.0
2019-03-27,76.59,76.59,75.7,76.12,795900,0.0
2019-03-28,76.09,76.25,75.47,75.77,1651300,0.0
2019-03-29,76.19,76.32,75.48,75.55,908800,0.0
2019-04-01,76.13,77.01,75.76,76.95,759900,0.0
2019-04-02,76.94,77.33,76.64,77.23,681700,0.0
2019-04-03,77.5,77.93,77.3,77.42,648900,0.0
2019-04-04,77.38,77.69,77.23,77.45,406100,0.0
2019-04-05,77.26,77.48,76.98,77.36,541000,0.0
2019-04-08,77.33,77.68,77.16,77.65,457500,0.0
2019-04-09,77.53,77.6,77.1,77.37,1505200,0.0
2019-04-10,77.48,77.77,77.11,77.64,554100,0.0
2019-04-11,77.43,78.03,77.43,77.66,1935000,0.0
2019-04-12,78.31,78.63,78.18,78.5,596700,0.0
2019-04-15,78.57,78.82,78.31,78.51,762100,0.0
2019-04-16,78.61,79.26,78.54,79.13,688000,0.0
2019-04-17,79.59,79.9,79.52,79.77,596100,0.0
2019-04-18,79.76,80.14,79.5,80.01,611800,0.0
2019-04-22,79.79,80.33,79.79,80.18,590000,0.0
2019-04-23,79.88,80.39,79.82,80.26,1518200,0.0
2019-04-24,78.95,79.28,77.97,78.16,940700,0.76
2019-04-25,77.97,78.39,77.79,78.16,668100,0.0
2019-04-26,78.19,78.7,77.97,78.7,483700,0.0
2019-04-29,78.65,79.53,78.47,79.28,647500,0.0
2019-04-30,79.21,79.73,78.96,79.69,521300,0.0
2019-05-01,79.73,79.82,79.06,79.19,812900,0.0
2019-05-02,79.17,79.38,78.93,79.0,1320900,0.0
2019-05-03,79.3,79.71,79.21,79.62,473600,0.0
2019-05-06,78.24,79.78,78.02,79.65,978700,0.0
2019-05-07,78.97,79.07,78.55,78.9,641300,0.0
2019-05-08,78.88,79.0,78.46,78.6,401300,0.0
2019-05-09,78.25,78.87,77.98,78.75,907800,0.0
2019-05-10,78.64,78.86,77.76,78.59,704100,0.0
2019-05-13,77.58,77.75,77.16,77.49,1994800,0.0
2019-05-14,77.54,78.2,77.09,77.74,556400,0.0
2019-05-15,77.4,78.03,77.13,77.95,526200,0.0
2019-05-16,78.13,78.46,77.91,78.24,635300,0.0
2019-05-17,77.78,78.27,77.46,78.06,829700,0.0
2019-05-20,77.83,78.62,77.83,78.24,1138700,0.0
2019-05-21,78.61,78.62,77.97,78.42,651400,0.0
2019-05-22,78.36,78.51,77.91,78.39,818500,0.0
2019-05-23,77.3,77.47,75.33,76.16,1211300,0.0
2019-05-24,76.96,77.69,76.56,77.26,770700,0.0
2019-05-28,77.41,77.86,76.84,76.84,757200,0.0
2019-05-29,76.39,76.68,75.72,76.0,705800,0.0
2019-05-30,76.22,76.64,75.62,75.97,665400,0.0
2019-05-31,75.33,75.41,74.89,75.15,781500,0.0
2019-06-03,75.2,75.84,75.02,75.68,1170600,0.0
2019-06-04,76.17,76.98,75.89,76.91,734500,0.0
2019-06-05,77.1,77.24,76.46,77.08,661000,0.0
2019-06-06,77.31,77.49,76.93,77.17,486000,0.0
2019-06-07,77.68,77.91,77.57,77.67,1190000,0.0
2019-06-10,77.98,78.2,77.79,77.9,369500,0.0
2019-06-11,78.15,78.34,77.29,77.68,1935900,0.0
2019-06-12,77.47,77.58,76.69,76.78,635100,0.0
2019-06-13,76.77,77.61,76.73,77.27,628100,0.0
2019-06-14,77.06,77.35,76.6,77.21,439200,0.0
2019-06-17,77.25,77.74,77.09,77.24,371800,0.0
2019-06-18,77.59,78.82,77.55,78.72,677800,0.0
2019-06-19,78.8,79.29,78.75,79.17,502700,0.0
2019-06-20,79.93,80.1,79.32,79.92,853000,0.0
2019-06-21,79.8,79.95,79.48,79.51,626800,0.0
2019-06-24,79.67,79.97,79.53,79.64,821600,0.0
2019-06-25,79.46,79.73,78.92,79.12,741500,0.0
2019-06-26,79.19,79.44,78.8,79.11,682000,0.0
2019-06-27,79.18,79.48,78.89,78.99,499000,0.0
2019-06-28,79.47,79.59,79.17,79.4,754200,0.0
2019-07-01,79.8,80.13,79.51,79.67,419600,0.0
2019-07-02,79.89,80.17,79.68,79.95,2491400,0.0
2019-07-03,80.29,80.89,80.26,80.74,2593700,0.0
2019-07-05,80.54,80.87,80.36,80.87,1113100,0.0
2019-07-08,80.5,80.59,80.22,80.36,1384400,0.0
2019-07-09,79.87,80.46,79.87,80.39,631800,0.0
2019-07-10,80.75,81.0,80.27,80.39,800400,0.0
2019-07-11,80.33,80.65,80.13,80.38,538200,0.0
2019-07-12,80.63,80.63,79.87,80.04,556600,0.0
2019-07-15,80.1,80.25,79.62,79.89,652500,0.0
2019-07-16,80.13,80.37,79.79,79.88,585000,0.0
2019-07-17,79.93,80.17,79.64,79.89,586700,0.0
2019-07-18,79.66,80.3,79.64,80.25,629200,0.0
2019-07-19,80.12,80.61,80.0,80.32,822800,0.0
