Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,134.0,139.14,131.17,137.6,1232600,0
2019-01-03,134.76,136.26,129.48,129.79,1219500,0
2019-01-04,134.51,139.5,133.16,138.06,1366100,0
2019-01-07,139.65,145.85,138.74,144.39,1260000,0
2019-01-08,147.64,149.82,144.01,145.44,1367700,0
2019-01-09,146.5,150.33,144.4,148.62,1275700,0
2019-01-10,146.31,149.97,144.58,148.27,965200,0
2019-01-11,147.31,150.0,146.71,149.43,685300,0
2019-01-14,147.27,149.93,144.69,149.1,1455200,0
2019-01-15,149.59,155.54,149.59,154.3,1638200,0
2019-01-16,155.7,158.59,153.3,158.25,2142000,0
2019-01-17,156.6,159.98,155.82,157.69,1242500,0
2019-01-18,160.0,160.23,157.69,158.43,1142900,0
2019-01-22,157.23,158.57,154.1,156.28,1036400,0
2019-01-23,158.2,160.2,154.48,156.6,793500,0
2019-01-24,156.48,159.4,156.25,158.41,655200,0
2019-01-25,160.0,163.64,159.79,162.82,980300,0
2019-01-28,159.68,161.18,158.38,159.44,807200,0
2019-01-29,160.0,160.5,154.52,157.11,1040900,0
2019-01-30,159.97,162.98,158.0,162.43,712400,0
2019-01-31,162.47,169.6,161.92,168.47,1661600,0
2019-02-01,168.36,171.0,167.51,170.59,1248400,0
2019-02-04,170.62,174.65,170.26,173.55,1172000,0
2019-02-05,173.65,176.88,173.36,173.57,969500,0
2019-02-06,172.37,174.5,170.7,173.6,736300,0
2019-02-07,171.28,174.18,171.09,171.8,1408200,0
2019-02-08,170.22,176.99,169.6,175.95,979500,0
2019-02-11,178.05,180.0,172.93,173.17,2220100,0
2019-02-12,163.65,175.89,160.63,175.55,5928000,0
2019-02-13,178.19,180.0,171.04,172.02,2982700,0
2019-02-14,171.09,177.24,169.56,176.52,1607600,0
2019-02-15,177.1,178.72,173.71,178.19,1129200,0
2019-02-19,177.04,185.07,177.04,181.3,2282800,0
2019-02-20,181.65,184.19,177.46,179.21,1330600,0
2019-02-21,179.64,180.36,177.18,178.47,974400,0
2019-02-22,180.0,183.66,179.36,183.63,1017600,0
2019-02-25,185.82,188.76,184.48,187.5,1271600,0
2019-02-26,186.08,187.93,183.85,185.03,1045100,0
2019-02-27,185.17,189.26,184.8,189.2,908200,0
2019-02-28,188.28,191.13,187.49,189.15,865400,0
2019-03-01,190.85,192.78,189.29,191.52,1126200,0
2019-03-04,192.38,194.8,182.37,186.47,1606200,0
2019-03-05,186.57,189.16,184.35,187.5,1005800,0
2019-03-06,187.5,188.77,184.11,187.37,723800,0
2019-03-07,186.51,190.38,184.8,186.94,734900,0
2019-03-08,182.18,190.0,181.0,189.76,1262700,0
2019-03-11,190.99,200.74,190.99,200.39,2058500,0
2019-03-12,201.0,203.79,197.05,202.47,1328700,0
2019-03-13,203.5,206.95,202.36,205.51,1177500,0
2019-03-14,204.32,209.59,203.39,208.23,1219000,0
2019-03-15,208.87,209.41,203.62,205.98,2337300,0
2019-03-18,204.5,205.92,201.45,205.77,1248800,0
2019-03-19,207.7,208.0,197.65,202.09,2215400,0
2019-03-20,200.53,203.1,198.73,201.34,1401600,0
2019-03-21,200.32,205.2,198.82,205.0,1721000,0
2019-03-22,204.4,204.69,198.61,198.75,1530100,0
2019-03-25,198.05,202.75,196.47,201.45,1257500,0
2019-03-26,203.63,207.41,202.73,204.37,1165900,0
