Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,111.66,115.63,110.36,113.74,861100,0
2019-01-03,112.08,113.35,108.59,109.02,1082300,0
2019-01-04,112.06,121.47,111.5,118.51,2484800,0
2019-01-07,115.04,123.87,113.28,119.36,2516200,0
2019-01-08,121.44,122.77,114.7,117.48,1257100,0
2019-01-09,118.6,124.38,118.16,122.69,1276700,0
2019-01-10,122.35,124.97,119.59,123.93,1347100,0
2019-01-11,123.0,124.36,118.29,120.52,1414400,0
2019-01-14,120.2,128.0,118.57,126.71,2474200,0
2019-01-15,129.27,132.42,128.64,131.25,2979900,0
2019-01-16,132.02,134.56,130.15,134.25,2152200,0
2019-01-17,133.02,135.35,132.53,133.25,1372400,0
2019-01-18,135.0,136.0,132.58,133.66,1314100,0
2019-01-22,132.61,134.77,131.76,133.8,1255600,0
2019-01-23,134.2,135.5,128.54,130.92,1159400,0
2019-01-24,131.0,133.56,130.15,132.7,708100,0
2019-01-25,134.28,135.65,133.0,134.67,997000,0
2019-01-28,134.04,134.41,130.9,133.25,1512600,0
2019-01-29,133.72,134.1,129.76,132.46,790900,0
2019-01-30,133.97,137.49,133.55,136.47,1456000,0
2019-01-31,136.52,140.7,135.31,135.45,2173700,0
2019-02-01,135.12,138.79,133.45,137.21,1783500,0
2019-02-04,137.74,141.41,137.2,138.6,1245100,0
2019-02-05,140.0,141.0,137.63,139.4,1844500,0
2019-02-06,129.9,137.35,129.6,135.45,7575300,0
2019-02-07,134.97,135.0,128.7,131.19,2514800,0
2019-02-08,129.52,135.74,128.97,134.71,1989900,0
2019-02-11,136.65,138.9,136.09,137.82,3154800,0
2019-02-12,139.0,143.37,137.9,140.46,2483300,0
2019-02-13,142.13,144.13,141.11,143.54,2165800,0
2019-02-14,143.25,148.99,143.0,146.87,2943600,0
2019-02-15,147.96,148.64,144.69,148.52,2056100,0
2019-02-19,148.0,149.8,145.65,146.28,1223400,0
2019-02-20,146.5,148.66,145.65,147.83,1230400,0
