Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,17.76,18.93,17.73,18.78,398800,0
2019-01-03,18.53,18.53,17.89,17.96,260600,0
2019-01-04,18.31,18.79,18.29,18.51,218800,0
2019-01-07,18.6,19.1,18.43,18.9,378300,0
2019-01-08,19.1,19.36,18.72,19.13,375100,0
2019-01-09,19.26,19.6,19.17,19.35,224300,0
2019-01-10,19.2,19.49,19.09,19.47,156000,0
2019-01-11,19.33,19.91,19.26,19.71,419100,0
2019-01-14,19.49,19.66,19.22,19.27,372300,0
2019-01-15,20.6,21.19,19.92,21.14,1759800,0
2019-01-16,21.29,21.62,20.82,20.92,649700,0
2019-01-17,20.88,21.25,20.55,20.95,464200,0
2019-01-18,21.01,21.43,20.86,21.28,413400,0
2019-01-22,21.2,21.32,20.4,20.57,383100,0
2019-01-23,20.65,21.17,20.65,21.05,424000,0
2019-01-24,21.03,21.75,21.03,21.53,498600,0
2019-01-25,21.91,22.46,21.51,22.32,576700,0
2019-01-28,22.0,22.44,21.7,22.28,365500,0
2019-01-29,23.74,25.18,23.72,24.07,1778600,0
2019-01-30,24.2,24.72,23.7,24.52,824100,0
2019-01-31,24.53,25.6,24.51,25.53,942300,0
2019-02-01,25.55,25.9,25.25,25.66,574600,0
2019-02-04,25.81,26.22,25.35,26.19,431600,0
2019-02-05,26.1,26.59,26.0,26.58,559800,0
2019-02-06,26.56,27.16,26.36,26.66,635000,0
2019-02-07,26.37,26.37,25.0,25.49,728900,0
2019-02-08,25.24,26.19,25.21,25.94,367900,0
2019-02-11,26.1,26.69,25.75,26.28,466800,0
2019-02-12,26.27,27.97,25.91,27.69,1238900,0
2019-02-13,27.73,28.33,27.59,27.95,1004000,0
2019-02-14,27.91,28.37,27.85,28.21,573800,0
2019-02-15,28.32,28.68,28.08,28.29,876000,0
2019-02-19,27.92,28.59,27.9,28.03,729400,0
2019-02-20,28.13,28.65,28.13,28.4,391600,0
2019-02-21,28.39,28.57,27.54,27.76,712400,0
2019-02-22,27.85,28.11,27.65,28.03,457500,0
2019-02-25,28.13,28.77,28.1,28.33,558600,0
2019-02-26,28.26,28.76,27.88,28.53,420400,0
2019-02-27,28.43,28.84,28.14,28.67,555900,0
2019-02-28,28.57,28.57,27.75,28.46,685400,0
2019-03-01,28.6,28.6,26.7,26.81,1608000,0
2019-03-04,26.79,27.34,26.56,27.12,905100,0
2019-03-05,27.04,27.14,26.78,27.0,578300,0
2019-03-06,26.9,27.0,26.62,26.66,780900,0
2019-03-07,24.0,24.5,22.5,22.95,2791600,0
2019-03-08,23.1,23.69,22.97,23.24,1047700,0
2019-03-11,23.23,24.05,23.11,23.76,522700,0
2019-03-12,23.84,23.99,23.66,23.82,482600,0
2019-03-13,23.89,24.38,23.83,24.15,566300,0
2019-03-14,24.11,24.28,23.53,23.88,485300,0
2019-03-15,23.88,24.12,23.75,23.8,820500,0
2019-03-18,23.93,23.97,23.27,23.9,391100,0
2019-03-19,24.05,24.24,23.76,23.85,445200,0
2019-03-20,23.93,24.16,23.5,23.9,308600,0
2019-03-21,23.91,24.57,23.56,24.39,340900,0
2019-03-22,24.24,24.43,23.36,23.41,670300,0
2019-03-25,23.38,23.49,22.55,23.38,466100,0
2019-03-26,23.59,23.75,23.33,23.53,283600,0
2019-03-27,23.6,23.71,23.1,23.41,345700,0
2019-03-28,23.41,23.84,23.4,23.55,228400,0
2019-03-29,23.81,23.93,23.59,23.82,215300,0
2019-04-01,24.0,24.42,24.0,24.38,312900,0
2019-04-02,24.37,24.78,24.23,24.59,448200,0
2019-04-03,24.76,25.25,24.68,25.02,422900,0
2019-04-04,24.97,25.17,24.29,24.66,324100,0
2019-04-05,24.73,25.3,24.56,25.22,442000,0
2019-04-08,25.0,25.0,24.55,24.78,342500,0
2019-04-09,24.72,24.88,24.36,24.37,254700,0
2019-04-10,24.32,24.51,24.1,24.51,414800,0
2019-04-11,24.54,24.67,24.28,24.44,224400,0
2019-04-12,24.6,24.88,24.37,24.6,244500,0
2019-04-15,24.65,24.85,24.44,24.49,408700,0
2019-04-16,24.6,24.77,24.32,24.37,319400,0
2019-04-17,24.48,24.57,23.84,24.06,303000,0
2019-04-18,24.01,24.01,23.47,23.81,308800,0
2019-04-22,23.71,23.81,23.41,23.71,242400,0
2019-04-23,23.68,24.34,23.64,24.05,285100,0
2019-04-24,24.09,24.2,23.75,23.82,214400,0
2019-04-25,23.7,23.75,23.2,23.28,383100,0
2019-04-26,23.21,23.49,22.91,23.42,319900,0
2019-04-29,23.37,23.61,23.17,23.22,322200,0
2019-04-30,23.18,23.29,22.82,23.25,336300,0
2019-05-01,23.41,23.6,22.9,22.95,446300,0
2019-05-02,24.14,24.53,22.78,23.81,690700,0
2019-05-03,24.09,25.96,23.88,25.69,955200,0
2019-05-06,25.64,25.9,25.12,25.69,928200,0
2019-05-07,25.36,25.49,24.55,24.87,716800,0
2019-05-08,23.82,24.69,23.53,24.55,575200,0
2019-05-09,24.19,24.19,23.5,23.97,407600,0
2019-05-10,23.76,24.38,23.56,24.11,320100,0
