Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,37.92,39.41,37.66,39.08,3472900,0.0
2019-01-03,38.61,38.61,36.47,36.52,4428100,0.0
2019-01-04,37.18,38.4,36.95,38.14,3232900,0.0
2019-01-07,38.37,39.34,38.33,39.16,2855500,0.0
2019-01-08,39.45,39.66,38.43,39.14,3008600,0.0
2019-01-09,39.24,40.83,39.24,40.14,3961000,0.0
2019-01-10,40.14,40.89,39.68,40.6,3019800,0.0
2019-01-11,40.61,40.87,39.83,40.67,2196900,0.0
2019-01-14,40.0,40.5,39.16,40.12,3899700,0.0
2019-01-15,40.32,40.52,39.43,39.65,2408700,0.0
2019-01-16,39.62,40.17,39.53,39.72,2002900,0.0
2019-01-17,39.27,39.33,37.6,38.73,4738000,0.0
2019-01-18,39.08,40.27,38.84,40.23,3961800,0.0
2019-01-22,40.1,40.2,38.3,38.48,3677400,0.0
2019-01-23,38.82,39.5,38.22,38.76,2812600,0.0
2019-01-24,39.11,41.79,39.02,40.97,5162200,0.0
2019-01-25,43.75,46.31,42.8,43.66,9455300,0.0
2019-01-28,42.75,43.52,42.37,43.26,3614700,0.0
2019-01-29,43.42,43.53,42.48,42.77,2688300,0.0
2019-01-30,43.5,44.01,42.81,43.74,2923800,0.0
2019-01-31,43.64,44.49,43.2,44.28,4352300,0.0
2019-02-01,44.4,45.46,44.11,45.26,4487000,0.0
2019-02-04,44.99,45.89,44.08,45.56,6598700,0.0
2019-02-05,43.5,46.44,43.36,45.14,10650700,0.0
2019-02-06,45.25,46.35,45.18,45.23,5192200,0.0
2019-02-07,44.86,44.96,43.99,44.46,4317400,0.0
2019-02-08,43.99,45.04,43.71,45.02,3189600,0.0
2019-02-11,45.35,45.37,43.9,44.65,2471300,0.0
2019-02-12,45.06,45.7,44.85,45.39,3015400,0.0
2019-02-13,45.65,46.08,45.48,45.74,2672400,0.0
2019-02-14,45.56,46.1,45.39,45.77,3338800,0.0
2019-02-15,46.1,46.1,45.57,45.71,1953300,0.0
2019-02-19,45.94,46.08,45.59,45.89,2818900,0.0
2019-02-20,46.12,46.4,45.85,45.89,2277900,0.0
2019-02-21,45.76,45.91,45.02,45.11,2950200,0.0
2019-02-22,45.26,47.01,45.21,47.01,3043700,0.0
2019-02-25,47.87,48.93,47.74,48.05,3360200,0.0
2019-02-26,47.75,48.22,47.37,47.48,3011700,0.0
2019-02-27,47.36,47.51,46.58,46.82,2397400,0.0
2019-02-28,46.71,46.85,45.0,46.56,3638900,0.0
2019-03-01,46.7,47.26,46.25,46.35,2634600,0.0
2019-03-04,46.54,46.99,46.06,46.42,2673500,0.0
2019-03-05,46.53,46.57,46.13,46.29,2157600,0.0
2019-03-06,46.45,46.45,45.87,46.26,3449400,0.0
2019-03-07,46.2,46.2,44.95,45.19,3061100,0.0
2019-03-08,44.74,46.36,44.4,46.22,4290800,0.0
2019-03-11,46.58,48.68,46.31,48.63,4601000,0.0
2019-03-12,48.84,49.27,47.88,48.08,4013300,0.0
2019-03-13,48.46,48.46,47.42,47.68,2685400,0.0
2019-03-14,47.64,47.96,46.99,47.19,2800200,0.0
2019-03-15,47.49,48.29,47.3,47.68,4855200,0.0
2019-03-18,47.89,48.2,47.39,48.16,2694100,0.0
2019-03-19,47.77,48.07,47.19,47.26,2522000,0.63
2019-03-20,47.3,47.59,46.09,46.21,3044600,0.0
2019-03-21,46.57,49.41,46.48,48.98,4866900,0.0
2019-03-22,48.64,48.88,46.9,46.93,3012800,0.0
2019-03-25,46.98,47.6,46.25,46.83,2719800,0.0
2019-03-26,47.35,47.65,46.8,47.21,1672300,0.0
2019-03-27,47.21,47.44,45.57,45.82,2781000,0.0
2019-03-28,45.72,46.56,45.61,45.99,3827200,0.0
2019-03-29,46.42,47.98,46.25,47.89,3713900,0.0
2019-04-01,48.37,48.75,47.68,48.43,3868500,0.0
2019-04-02,48.42,49.12,48.28,48.76,3055200,0.0
2019-04-03,49.3,50.57,49.3,49.6,3391900,0.0
2019-04-04,49.41,49.71,49.07,49.22,1731400,0.0
2019-04-05,49.52,49.89,48.85,49.23,3401300,0.0
2019-04-08,49.69,49.69,48.83,49.37,2233400,0.0
2019-04-09,49.25,49.37,48.49,48.91,2593500,0.0
2019-04-10,48.87,50.0,48.66,49.71,2427000,0.0
2019-04-11,49.95,50.08,49.15,49.47,1914200,0.0
2019-04-12,49.88,50.29,49.56,49.67,2059800,0.0
2019-04-15,49.8,50.25,49.06,49.39,2364800,0.0
2019-04-16,49.72,50.67,49.55,50.64,2854300,0.0
2019-04-17,51.17,51.28,49.84,50.29,1910900,0.0
2019-04-18,50.18,50.55,49.98,50.5,1736000,0.0
2019-04-22,50.05,50.14,48.64,48.94,3397600,0.0
2019-04-23,48.99,49.11,48.16,48.22,3273100,0.0
2019-04-24,48.25,48.25,46.91,46.99,3722600,0.0
2019-04-25,46.97,47.32,45.97,46.07,2597600,0.0
2019-04-26,44.27,45.03,43.43,44.99,3954200,0.0
2019-04-29,44.99,45.5,44.6,44.94,5327000,0.0
2019-04-30,47.23,48.83,46.07,48.32,7424400,0.0
2019-05-01,49.74,49.81,47.96,48.31,3950300,0.0
2019-05-02,48.77,49.05,48.03,48.39,2314300,0.0
2019-05-03,49.1,49.65,48.49,49.6,2545800,0.0
2019-05-06,47.88,49.57,47.75,49.37,3265800,0.0
2019-05-07,48.77,49.28,48.09,48.56,3642000,0.0
2019-05-08,48.45,49.78,48.24,49.04,3593500,0.0
2019-05-09,48.21,48.48,46.67,47.57,4581200,0.0
2019-05-10,47.19,47.62,46.07,47.4,3336600,0.0
2019-05-13,45.84,45.99,43.83,44.04,6427200,0.0
2019-05-14,44.35,45.07,44.25,44.64,3121500,0.0
2019-05-15,44.32,45.64,44.17,45.59,1961400,0.0
2019-05-16,45.26,46.05,45.08,45.68,1711800,0.0
2019-05-17,45.1,45.84,44.92,45.22,2184800,0.0
2019-05-20,44.28,45.14,44.03,44.72,2347500,0.0
2019-05-21,45.28,46.3,45.26,46.16,2398600,0.0
2019-05-22,45.56,45.85,44.57,44.71,2786000,0.0
2019-05-23,44.0,44.17,43.29,43.74,2704800,0.0
2019-05-24,43.99,44.08,42.91,43.19,2346100,0.0
2019-05-28,43.41,43.81,42.61,42.63,3241800,0.0
2019-05-29,42.33,43.97,42.13,43.73,3884300,0.0
2019-05-30,43.89,44.56,43.41,43.92,3599000,0.0
2019-05-31,43.04,43.22,41.8,41.85,3135900,0.0
2019-06-03,41.97,42.71,41.63,42.52,4126200,0.0
2019-06-04,43.01,44.24,42.98,44.16,2960400,0.0
2019-06-05,44.47,44.84,43.25,44.05,2591500,0.0
2019-06-06,44.07,44.61,43.88,44.4,1619000,0.0
2019-06-07,44.3,44.38,43.47,43.56,3750700,0.0
2019-06-10,43.97,45.07,43.76,43.95,3100000,0.0
2019-06-11,44.71,45.13,43.7,43.79,2595200,0.0
2019-06-12,43.76,44.14,43.39,43.64,2373400,0.0
2019-06-13,43.75,44.63,43.45,44.56,2718000,0.0
2019-06-14,44.07,44.37,43.56,44.26,2314400,0.0
2019-06-17,43.93,44.8,43.0,44.36,3368300,0.0
2019-06-18,44.09,45.83,44.0,45.53,3833900,0.63
2019-06-19,45.92,45.94,45.32,45.44,1624600,0.0
2019-06-20,46.27,46.56,45.59,46.19,2170300,0.0
2019-06-21,46.07,46.84,45.91,46.46,4533300,0.0
2019-06-24,46.56,47.51,46.4,47.32,2886600,0.0
2019-06-25,47.25,47.54,45.99,46.21,3278500,0.0
2019-06-26,47.24,47.93,46.98,47.25,3040000,0.0
2019-06-27,46.92,47.05,46.28,46.72,2674900,0.0
2019-06-28,47.04,47.62,46.66,47.12,2322100,0.0
2019-07-01,48.77,49.59,47.12,47.51,3001500,0.0
2019-07-02,47.51,47.52,46.8,47.41,2157700,0.0
2019-07-03,47.45,47.68,47.2,47.53,748300,0.0
2019-07-05,47.19,47.69,46.86,47.25,1667300,0.0
2019-07-08,46.71,46.98,46.18,46.59,2135200,0.0
2019-07-09,46.31,46.5,45.63,46.04,2643800,0.0
2019-07-10,46.76,47.7,46.62,47.24,3382300,0.0
2019-07-11,47.54,47.54,46.51,46.66,2088500,0.0
2019-07-12,46.77,47.94,46.77,47.62,3693800,0.0
2019-07-15,48.0,48.53,47.84,48.34,2182400,0.0
2019-07-16,48.15,48.36,47.11,47.36,2321900,0.0
2019-07-17,47.21,47.38,46.54,47.0,1920300,0.0
2019-07-18,47.0,47.49,46.63,47.37,1352600,0.0
2019-07-19,47.8,47.85,47.29,47.3,1555900,0.0
2019-07-22,47.51,47.95,47.02,47.37,1778300,0.0
2019-07-23,47.59,47.8,47.14,47.73,1216900,0.0
2019-07-24,47.81,49.1,47.77,48.93,1873300,0.0
2019-07-25,48.68,48.74,47.82,48.08,1713200,0.0
2019-07-26,48.37,48.37,47.62,47.81,1273500,0.0
2019-07-29,47.7,47.75,47.07,47.48,1661800,0.0
2019-07-30,47.1,47.57,46.78,47.44,1721200,0.0
2019-07-31,47.52,47.55,45.86,46.31,2780200,0.0
2019-08-01,46.2,48.19,45.81,46.26,4414200,0.0
2019-08-02,42.22,46.32,42.1,44.93,5655200,0.0
2019-08-05,43.56,45.15,43.38,44.44,5457200,0.0
2019-08-06,44.86,45.14,44.06,44.68,3955500,0.0
2019-08-07,44.02,44.78,43.77,44.58,2970500,0.0
2019-08-08,44.73,45.17,44.4,45.14,2780300,0.0
2019-08-09,44.86,45.14,44.36,44.88,2930200,0.0
2019-08-12,44.37,45.06,44.37,44.82,2537200,0.0
2019-08-13,44.91,46.93,44.57,45.83,3110900,0.0
2019-08-14,44.95,45.32,44.32,44.63,2250500,0.0
2019-08-15,44.67,44.89,44.13,44.58,2590200,0.0
2019-08-16,44.97,46.24,44.84,46.03,2080100,0.0
2019-08-19,46.75,47.27,46.39,46.43,2747600,0.0
2019-08-20,46.48,46.56,45.92,46.37,2470800,0.0
2019-08-21,46.88,47.65,46.88,47.24,2473500,0.0
2019-08-22,47.51,47.78,47.39,47.58,1909300,0.0
2019-08-23,47.19,47.64,46.54,46.92,3322300,0.0
2019-08-26,47.66,47.66,46.84,47.07,1973500,0.0
2019-08-27,47.41,47.59,46.74,46.94,2668100,0.0
2019-08-28,46.81,47.3,46.36,47.15,3020200,0.0
2019-08-29,47.75,49.03,47.64,48.92,2811400,0.0
2019-08-30,49.51,51.15,49.46,50.21,3875700,0.0
2019-09-03,49.69,49.88,49.0,49.66,3820300,0.0
2019-09-04,50.36,52.2,50.03,52.17,4235900,0.0
2019-09-05,52.98,54.21,52.85,54.1,3806400,0.0
2019-09-06,53.9,54.55,53.73,54.33,2544400,0.0
2019-09-09,54.65,55.18,54.26,54.78,2866100,0.0
2019-09-10,54.58,55.34,54.14,55.33,3076800,0.0
2019-09-11,55.21,56.57,54.98,56.21,3089200,0.0
2019-09-12,56.05,57.01,55.84,56.3,3014100,0.0
2019-09-13,56.1,56.68,55.8,56.15,2842900,0.0
2019-09-16,55.57,56.05,55.14,55.7,1907700,0.0
2019-09-17,55.47,56.31,55.38,56.05,2102900,0.0
2019-09-18,55.85,57.2,54.6,56.75,4106400,0.0
2019-09-19,57.01,57.13,52.21,52.94,10548100,0.0
2019-09-20,52.72,52.85,51.6,52.4,8865700,0.0
2019-09-23,52.26,53.39,52.19,52.75,3251800,0.0
2019-09-24,52.55,52.66,51.4,51.86,3335200,0.63
2019-09-25,52.06,53.21,51.87,53.08,2379700,0.0
2019-09-26,53.18,53.9,52.79,53.66,3227300,0.0
2019-09-27,53.48,54.35,53.13,53.81,2399400,0.0
2019-09-30,53.97,54.24,53.31,53.79,2010200,0.0
2019-10-01,54.0,54.2,52.44,52.86,2355000,0.0
2019-10-02,52.39,52.64,51.83,52.25,3230100,0.0
2019-10-03,52.42,53.11,51.6,53.09,2022700,0.0
2019-10-04,53.03,53.75,52.91,53.68,1531200,0.0
2019-10-07,53.7,54.11,53.28,53.62,1655000,0.0
2019-10-08,52.7,52.73,51.12,51.21,3145800,0.0
2019-10-09,51.52,52.44,51.35,52.17,1507000,0.0
2019-10-10,52.42,53.4,52.28,52.9,2023500,0.0
2019-10-11,53.85,54.42,53.57,53.81,2366700,0.0
2019-10-14,53.75,54.1,53.46,53.88,1165900,0.0
2019-10-15,53.86,54.97,53.4,54.94,2196000,0.0
2019-10-16,55.0,55.17,54.48,54.9,1379000,0.0
2019-10-17,55.05,55.75,54.6,55.18,1133400,0.0
2019-10-18,55.07,55.31,54.58,54.98,1694400,0.0
2019-10-21,55.4,55.87,54.95,55.48,1714500,0.0
2019-10-22,55.87,56.71,55.56,55.86,1590300,0.0
