Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,27.6,28.56,27.35,28.27,3721600,0.0
2019-01-03,28.38,28.44,27.95,28.2,3830400,0.0
2019-01-04,28.68,29.36,28.68,29.32,4049200,0.0
2019-01-07,29.73,29.93,28.96,29.7,5609300,0.0
2019-01-08,30.0,30.51,29.71,29.9,4025400,0.0
2019-01-09,30.21,30.82,30.03,30.7,4247900,0.0
2019-01-10,30.43,30.78,30.28,30.68,3269700,0.0
2019-01-11,30.43,30.67,30.31,30.42,3049000,0.0
2019-01-14,30.24,30.72,30.15,30.55,2925800,0.0
2019-01-15,30.65,31.34,30.65,31.18,2861300,0.0
2019-01-16,31.09,31.16,30.49,30.74,2678700,0.0
2019-01-17,30.48,31.34,30.28,31.3,3412700,0.0
2019-01-18,31.71,32.2,31.59,32.0,3827700,0.0
2019-01-22,31.75,31.78,31.11,31.54,4592200,0.0
2019-01-23,31.71,31.84,30.87,31.12,4141800,0.0
2019-01-24,31.05,31.71,30.91,31.69,4548000,0.0
2019-01-25,31.89,32.27,31.82,32.02,3840500,0.0
2019-01-28,31.47,31.84,31.27,31.83,3300000,0.0
2019-01-29,32.0,32.32,31.86,32.04,4014800,0.0
2019-01-30,32.26,32.51,31.93,32.26,3993400,0.0
2019-01-31,32.48,32.49,32.07,32.32,3621200,0.0
2019-02-01,32.5,32.51,32.09,32.4,4191600,0.0
2019-02-04,32.21,33.1,32.18,33.09,4539300,0.0
2019-02-05,32.99,33.23,32.74,33.14,3538000,0.0
2019-02-06,32.44,33.41,32.15,33.19,4763600,0.0
2019-02-07,33.03,33.24,32.52,32.61,4342100,0.0
2019-02-08,32.6,32.63,31.88,32.24,3138600,0.0
2019-02-11,32.05,32.4,31.96,32.32,4051600,0.0
2019-02-12,32.67,32.81,32.23,32.53,3445800,0.0
2019-02-13,32.66,32.94,32.31,32.34,3454800,0.0
2019-02-14,32.15,32.8,32.1,32.55,3257300,0.0
2019-02-15,33.34,34.05,33.01,33.89,6173300,0.0
2019-02-19,34.03,34.48,33.65,34.41,3340100,0.0
2019-02-20,34.45,34.5,34.06,34.3,3234900,0.0
2019-02-21,34.36,34.4,34.03,34.1,4135300,0.0
2019-02-22,34.36,34.53,34.14,34.19,3638400,0.0
2019-02-25,34.14,34.34,33.94,33.95,3058900,0.0
2019-02-26,33.9,34.3,33.84,34.11,4012000,0.0
2019-02-27,34.3,34.67,34.05,34.62,2466400,0.0
2019-02-28,34.63,34.64,34.17,34.46,2533600,0.0
2019-03-01,34.16,34.55,34.09,34.2,6798800,0.319
2019-03-04,34.38,34.4,33.33,33.91,3704700,0.0
2019-03-05,33.9,34.16,33.8,34.05,3717900,0.0
2019-03-06,33.95,33.95,33.47,33.64,2809700,0.0
2019-03-07,33.76,33.79,33.3,33.32,4042900,0.0
2019-03-08,32.9,32.94,32.35,32.64,3571400,0.0
2019-03-11,32.8,33.21,32.72,33.03,6268900,0.0
2019-03-12,33.1,33.29,33.0,33.2,2601500,0.0
2019-03-13,33.48,33.71,33.4,33.62,1712500,0.0
2019-03-14,33.82,33.96,33.56,33.63,3633400,0.0
2019-03-15,33.53,33.85,33.53,33.76,3565000,0.0
2019-03-18,33.82,34.31,33.73,34.3,3889700,0.0
2019-03-19,34.63,34.83,34.25,34.35,2814200,0.0
2019-03-20,34.22,34.87,34.15,34.73,2266700,0.0
2019-03-21,34.44,34.8,34.42,34.57,2705700,0.0
2019-03-22,34.33,34.34,33.3,33.65,2547000,0.0
2019-03-25,33.28,33.67,32.92,32.98,4361200,0.0
2019-03-26,32.98,33.5,32.98,33.28,4547800,0.0
2019-03-27,33.08,33.27,32.28,32.44,4638100,0.0
2019-03-28,32.38,32.75,32.32,32.45,3493300,0.0
2019-03-29,32.93,33.03,32.32,32.43,2889400,0.0
2019-04-01,32.72,33.02,32.67,32.94,2283200,0.0
2019-04-02,33.14,33.39,32.82,32.94,2634900,0.0
2019-04-03,32.99,33.14,32.47,32.61,2589200,0.0
2019-04-04,32.64,32.8,32.25,32.75,1810100,0.0
2019-04-05,32.8,33.31,32.75,33.24,2649300,0.0
2019-04-08,33.39,34.0,33.35,33.62,4453700,0.0
2019-04-09,33.47,33.5,32.98,33.12,2682000,0.0
2019-04-10,33.29,33.45,33.04,33.1,3819000,0.0
2019-04-11,32.97,33.16,32.81,32.83,4728600,0.0
2019-04-12,33.1,33.4,33.01,33.19,2621000,0.0
2019-04-15,33.34,33.45,32.9,32.98,1951600,0.0
2019-04-16,33.01,33.08,32.67,32.89,2446600,0.0
2019-04-17,33.15,33.47,32.97,33.24,2528100,0.0
2019-04-18,33.21,33.44,33.11,33.19,1799700,0.0
2019-04-22,33.46,34.02,33.39,33.96,2585500,0.0
2019-04-23,33.86,34.25,33.81,34.19,2452400,0.0
2019-04-24,34.0,34.08,32.88,32.91,3142000,0.0
2019-04-25,32.97,33.38,32.65,33.12,2241300,0.0
2019-04-26,33.0,33.03,32.39,32.97,2698000,0.0
2019-04-29,32.85,33.26,32.63,33.13,1995400,0.0
2019-04-30,33.29,33.31,32.66,33.0,1878800,0.0
2019-05-01,32.98,33.11,32.51,32.53,6731800,0.0
2019-05-02,32.6,32.83,31.63,31.66,2848800,0.0
2019-05-03,31.97,32.52,31.83,32.39,1995100,0.0
2019-05-06,31.79,32.15,31.59,32.08,1990200,0.0
2019-05-07,31.68,31.94,31.38,31.87,3055000,0.0
2019-05-08,31.89,32.79,31.73,32.56,2609500,0.0
2019-05-09,32.31,32.51,31.72,32.34,2223600,0.0
2019-05-10,32.21,32.35,31.74,31.91,3997900,0.0
2019-05-13,31.7,31.9,31.34,31.42,4109800,0.0
2019-05-14,31.61,32.1,31.5,31.9,1819000,0.0
2019-05-15,31.61,32.22,31.57,32.1,1426300,0.0
