Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,5.51,6.12,5.39,5.92,117100,0
2019-01-03,5.92,5.99,5.61,5.78,101800,0
2019-01-04,5.89,6.52,5.79,6.23,165900,0
2019-01-07,6.28,6.65,6.21,6.48,185400,0
2019-01-08,6.56,6.74,6.17,6.4,271900,0
2019-01-09,6.41,6.91,6.41,6.56,257400,0
2019-01-10,6.51,6.96,6.36,6.5,197800,0
2019-01-11,6.46,6.67,6.34,6.47,108000,0
2019-01-14,6.43,6.73,6.22,6.23,177800,0
2019-01-15,6.28,6.59,6.22,6.32,114700,0
2019-01-16,6.32,6.67,6.23,6.52,114600,0
2019-01-17,6.48,6.8,6.39,6.7,116800,0
2019-01-18,6.7,6.84,6.58,6.75,114500,0
2019-01-22,6.7,7.13,6.66,6.91,227300,0
2019-01-23,6.91,7.0,5.56,5.76,254300,0
2019-01-24,5.76,6.11,5.76,5.92,122500,0
2019-01-25,5.93,5.99,5.77,5.96,74600,0
2019-01-28,5.9,6.03,5.47,5.51,110800,0
2019-01-29,5.51,5.69,5.28,5.51,100800,0
2019-01-30,5.57,5.71,5.17,5.67,138900,0
2019-01-31,5.67,6.15,5.65,5.99,159200,0
2019-02-01,6.01,6.28,5.98,6.25,152700,0
2019-02-04,6.23,6.6,6.2,6.45,144900,0
2019-02-05,6.48,6.71,6.36,6.5,157100,0
2019-02-06,6.5,6.77,6.45,6.55,94200,0
2019-02-07,6.54,6.94,6.08,6.21,46800,0
2019-02-08,6.2,6.29,5.79,5.93,86300,0
2019-02-11,5.97,6.5,5.93,6.43,72100,0
2019-02-12,6.43,6.82,6.35,6.71,81900,0
2019-02-13,6.7,6.7,6.3,6.51,67200,0
2019-02-14,6.58,6.75,6.51,6.52,72200,0
2019-02-15,6.55,6.95,6.47,6.85,109900,0
2019-02-19,6.8,7.06,6.1,6.12,249100,0
2019-02-20,6.12,6.36,6.03,6.1,72200,0
2019-02-21,6.1,6.43,5.97,6.41,161400,0
2019-02-22,6.45,6.68,6.45,6.6,47700,0
2019-02-25,6.58,6.9,6.39,6.63,80600,0
2019-02-26,6.61,6.68,6.5,6.57,96600,0
2019-02-27,6.56,6.93,6.56,6.92,34500,0
2019-02-28,6.99,7.62,6.65,6.79,106400,0
2019-03-01,6.81,7.06,6.72,7.01,52100,0
2019-03-04,7.08,7.15,6.82,7.14,79800,0
2019-03-05,7.21,7.24,6.87,7.1,54300,0
2019-03-06,7.09,7.11,6.78,7.07,119800,0
2019-03-07,6.0,7.03,6.0,6.9,122300,0
2019-03-08,6.99,7.2,6.43,6.44,195600,0
2019-03-11,6.5,6.7,6.04,6.58,180600,0
2019-03-12,6.58,7.74,6.49,7.3,271000,0
2019-03-13,7.2,8.22,7.03,8.09,254800,0
2019-03-14,8.06,8.48,7.7,8.39,173200,0
2019-03-15,8.38,8.95,8.09,8.88,434100,0
2019-03-18,8.9,9.07,8.44,8.96,265800,0
2019-03-19,8.97,9.17,8.7,8.94,159500,0
2019-03-20,8.94,9.41,8.82,9.15,164300,0
2019-03-21,9.12,9.78,8.98,9.59,204500,0
2019-03-22,9.47,9.62,9.21,9.22,147100,0
2019-03-25,9.19,9.19,8.5,9.11,99700,0
2019-03-26,9.12,9.34,9.06,9.27,134400,0
2019-03-27,9.26,9.28,8.51,8.71,56200,0
2019-03-28,8.72,8.9,8.55,8.71,41400,0
2019-03-29,8.8,9.19,8.76,9.14,72300,0
2019-04-01,9.13,9.28,9.0,9.25,84900,0
2019-04-02,9.26,9.48,9.23,9.3,32400,0
2019-04-03,9.42,9.87,9.3,9.75,97200,0
2019-04-04,9.73,9.83,9.63,9.75,70800,0
2019-04-05,7.24,7.74,7.18,7.48,1901500,0
2019-04-08,7.64,7.66,7.3,7.4,258800,0
2019-04-09,7.41,7.43,6.69,6.82,309500,0
2019-04-10,6.77,6.99,6.74,6.96,154400,0
2019-04-11,6.94,6.94,6.64,6.77,121500,0
2019-04-12,7.04,7.11,6.83,7.0,224900,0
2019-04-15,7.03,7.43,7.02,7.32,438400,0
2019-04-16,7.37,7.43,7.16,7.37,500800,0
2019-04-17,7.38,7.5,6.95,7.18,327500,0
2019-04-18,7.1,7.37,7.05,7.05,787500,0
2019-04-22,7.05,7.27,7.05,7.12,209500,0
2019-04-23,7.15,7.23,6.79,6.83,131200,0
2019-04-24,6.8,7.07,6.62,6.96,112500,0
2019-04-25,7.05,7.14,6.75,6.94,153700,0
2019-04-26,6.93,7.12,6.9,7.06,73100,0
2019-04-29,7.1,7.18,7.02,7.07,158300,0
2019-04-30,7.08,7.29,7.02,7.23,148500,0
2019-05-01,7.44,7.44,6.9,7.17,131900,0
2019-05-02,7.0,7.33,6.74,6.84,170900,0
2019-05-03,6.86,6.95,6.72,6.9,141000,0
2019-05-06,6.76,7.07,6.72,7.0,198800,0
2019-05-07,6.94,6.94,6.37,6.55,220400,0
2019-05-08,6.55,6.76,6.48,6.72,93400,0
2019-05-09,6.65,6.99,6.46,6.89,85300,0
2019-05-10,6.86,7.13,6.66,7.1,207400,0
2019-05-13,6.92,7.07,6.68,7.04,125500,0
2019-05-14,7.08,7.14,6.69,6.73,175100,0
2019-05-15,6.68,6.79,6.5,6.57,109700,0
2019-05-16,6.68,6.8,6.63,6.79,66200,0
2019-05-17,6.71,6.86,6.55,6.72,84700,0
2019-05-20,6.64,7.14,6.52,7.09,100200,0
2019-05-21,7.1,7.13,6.99,7.1,104000,0
2019-05-22,7.06,7.13,6.84,7.05,69200,0
2019-05-23,6.96,7.1,6.69,6.82,77100,0
2019-05-24,6.86,7.07,6.74,6.77,88800,0
2019-05-28,6.79,6.93,6.43,6.47,157500,0
2019-05-29,6.46,6.78,6.34,6.62,108000,0
2019-05-30,6.6,6.76,6.2,6.29,106100,0
2019-05-31,6.16,6.38,5.88,5.9,108600,0
2019-06-03,5.9,6.11,5.74,6.09,110100,0
2019-06-04,6.14,6.22,5.65,5.72,92000,0
2019-06-05,5.72,5.81,5.58,5.78,76300,0
2019-06-06,5.82,5.94,5.59,5.74,49500,0
2019-06-07,5.75,6.01,5.65,5.96,41300,0
2019-06-10,5.94,6.08,5.88,6.05,64900,0
2019-06-11,6.1,6.1,5.41,5.6,96200,0
2019-06-12,5.59,6.02,5.36,6.0,75900,0
2019-06-13,6.01,6.15,5.83,5.98,97100,0
2019-06-14,5.96,6.02,5.48,5.5,58700,0
2019-06-17,5.51,6.52,5.51,6.41,121400,0
2019-06-18,6.4,6.9,6.36,6.88,60400,0
2019-06-19,6.87,6.95,6.73,6.9,56400,0
2019-06-20,6.91,7.13,6.88,7.11,46100,0
2019-06-21,7.04,7.04,6.44,6.83,203000,0
2019-06-24,6.81,7.11,6.41,6.46,96800,0
2019-06-25,6.52,7.57,6.47,7.52,123900,0
2019-06-26,7.5,7.86,6.83,7.2,241100,0
2019-06-27,7.15,8.0,7.06,7.95,152100,0
2019-06-28,7.98,9.35,7.71,9.26,3276800,0
2019-07-01,9.36,9.52,8.34,8.64,369700,0
2019-07-02,8.57,8.82,7.94,8.35,172800,0
2019-07-03,8.38,8.6,8.32,8.51,36500,0
2019-07-05,8.47,8.69,8.29,8.55,131400,0
2019-07-08,8.48,8.6,8.11,8.41,202400,0
2019-07-09,8.41,8.7,8.26,8.5,249100,0
2019-07-10,8.55,8.64,8.21,8.54,120300,0
2019-07-11,8.55,8.66,8.27,8.58,145000,0
2019-07-12,8.55,8.84,8.31,8.75,166600,0
2019-07-15,8.73,8.73,7.46,7.52,174800,0
2019-07-16,7.65,7.84,7.41,7.63,126900,0
2019-07-17,7.57,7.79,7.13,7.59,136000,0
2019-07-18,7.58,7.66,7.14,7.57,98200,0
2019-07-19,7.45,7.56,7.21,7.4,94300,0
2019-07-22,7.41,7.62,7.3,7.56,92500,0
2019-07-23,7.53,7.61,7.13,7.22,137000,0
