Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,16.69,16.82,16.49,16.82,1689200,0.0
2019-01-03,16.71,16.71,16.2,16.7,7206000,0.0
2019-01-04,17.2,18.02,17.03,17.79,10620200,0.0
2019-01-07,18.48,18.75,18.31,18.58,3798600,0.0
2019-01-08,18.8,19.41,18.64,19.0,5224200,0.0
2019-01-09,19.34,19.5,18.94,19.21,7781000,0.0
2019-01-10,19.46,19.62,19.13,19.13,20535900,0.0
2019-01-11,19.95,20.17,19.76,20.02,18761900,0.0
2019-01-14,19.89,20.11,19.8,20.08,12603200,0.0
2019-01-15,20.03,20.13,19.96,20.07,10253400,0.0
2019-01-16,19.76,19.91,19.43,19.5,9962700,0.0
2019-01-17,19.49,19.74,19.46,19.63,10063800,0.0
2019-01-18,19.65,19.86,19.58,19.78,6305200,0.0
2019-01-22,20.24,20.26,19.92,20.09,7940200,0.0
2019-01-23,20.01,20.1,19.94,19.95,3914500,0.0
2019-01-24,20.02,20.2,19.99,20.2,4787000,0.0
2019-01-25,20.36,20.63,20.32,20.56,3812900,0.0
2019-01-28,20.46,20.64,20.38,20.57,3069200,0.0
2019-01-29,20.46,20.48,20.15,20.2,5151100,0.0
2019-01-30,20.46,20.47,20.24,20.38,8731900,0.0
2019-01-31,20.1,20.1,19.79,19.97,3965000,0.0
2019-02-01,20.16,20.62,20.11,20.25,5328900,0.0
2019-02-04,20.19,20.35,20.0,20.23,2232500,0.0
2019-02-05,19.81,19.83,19.55,19.68,2295700,0.0
2019-02-06,20.06,20.16,20.04,20.12,2400900,0.0
2019-02-07,20.14,20.2,19.9,20.0,7671400,0.0
2019-02-08,19.78,19.82,19.58,19.75,1799800,0.0
2019-02-11,19.79,19.89,19.68,19.78,1544300,0.0
2019-02-12,19.62,19.9,19.62,19.83,1924800,0.0
2019-02-13,19.84,20.14,19.84,20.0,1937000,0.0
2019-02-14,20.02,20.16,20.02,20.11,1755900,0.0
2019-02-15,20.15,20.46,20.12,20.46,3308300,0.0
2019-02-19,20.17,20.34,20.06,20.25,2036600,0.0
2019-02-20,20.26,20.38,20.14,20.16,1895400,0.0
2019-02-21,20.12,20.18,19.88,19.94,3339200,0.0
