Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,26.2,26.56,25.55,25.99,3437600,0
2019-01-03,25.89,26.08,24.66,24.73,3093400,0
2019-01-04,25.44,26.91,25.28,26.52,3848200,0
2019-01-07,26.95,27.25,26.45,26.86,3316000,0
2019-01-08,27.2,27.56,26.67,27.46,4163200,0
2019-01-09,28.0,29.58,27.75,28.95,6666700,0
2019-01-10,28.06,29.14,27.96,29.02,2400800,0
2019-01-11,28.5,29.32,28.49,29.23,1660000,0
2019-01-14,28.79,29.33,28.52,29.21,2500000,0
2019-01-15,29.72,30.48,29.67,30.26,6347200,0
2019-01-16,30.0,30.66,29.82,29.97,6812500,0
2019-01-17,29.97,30.06,29.03,29.76,3479300,0
2019-01-18,30.01,30.64,29.76,30.19,6763900,0
2019-01-22,30.55,31.71,30.2,31.2,6266100,0
2019-01-23,31.48,31.74,30.87,31.22,4246700,0
2019-01-24,30.97,31.25,29.04,29.81,12818600,0
2019-01-25,30.0,31.28,30.0,30.6,7229900,0
2019-01-28,30.13,30.3,29.45,29.93,4373300,0
2019-01-29,29.9,30.75,29.68,30.54,3344400,0
2019-01-30,30.79,31.27,29.89,30.21,4495300,0
2019-01-31,30.32,31.27,30.29,31.03,4023100,0
2019-02-01,31.0,31.25,30.34,31.06,4166800,0
2019-02-04,30.78,31.38,30.53,31.26,3717800,0
2019-02-05,31.22,31.94,31.19,31.7,1994100,0
2019-02-06,31.68,32.04,31.59,31.84,2260100,0
2019-02-07,31.75,31.78,30.83,30.9,2608700,0
2019-02-08,30.75,31.74,30.67,31.68,1737000,0
2019-02-11,31.74,33.37,31.68,32.92,5008300,0
2019-02-12,33.38,33.46,32.6,32.91,3778500,0
2019-02-13,33.0,33.75,32.91,33.29,4846900,0
2019-02-14,33.11,33.19,32.34,32.74,4817400,0
2019-02-15,32.93,32.93,32.31,32.58,2279900,0
2019-02-19,32.88,32.98,31.72,31.95,4517900,0
2019-02-20,32.09,33.1,32.04,32.57,3209100,0
2019-02-21,32.76,33.38,32.21,32.88,4402300,0
2019-02-22,33.15,33.97,32.04,33.97,4085300,0
2019-02-25,34.94,35.75,34.62,35.53,6006700,0
2019-02-26,35.0,35.47,34.77,35.43,3584200,0
2019-02-27,35.06,35.77,34.92,35.52,4369100,0
2019-02-28,35.32,35.66,34.98,35.6,2589700,0
2019-03-01,35.81,35.98,35.1,35.5,1956600,0
2019-03-04,35.96,36.57,35.74,36.3,3907600,0
2019-03-05,36.0,36.39,35.92,36.06,1674800,0
2019-03-06,36.07,36.43,35.54,35.55,2429100,0
2019-03-07,35.18,35.26,34.34,34.64,3875000,0
2019-03-08,33.41,35.17,33.4,34.75,3568400,0
2019-03-11,35.19,36.27,35.1,36.06,2409600,0
2019-03-12,35.83,35.89,32.42,33.68,8752500,0
2019-03-13,33.55,34.7,33.5,34.19,3779800,0
2019-03-14,33.5,33.71,32.83,32.99,3697100,0
2019-03-15,33.49,34.31,33.49,34.03,2967800,0
2019-03-18,34.42,34.7,34.13,34.5,2360400,0
2019-03-19,34.65,35.71,34.54,35.51,3389800,0
2019-03-20,35.39,36.21,35.15,36.21,2671600,0
2019-03-21,35.95,36.07,35.4,35.66,2310300,0
2019-03-22,35.3,35.61,34.66,34.82,2586100,0
2019-03-25,34.92,35.97,34.7,35.82,2506800,0
2019-03-26,35.8,36.48,35.43,35.99,2018000,0
2019-03-27,36.0,36.04,35.17,35.53,5466100,0
2019-03-28,35.46,35.78,34.94,35.72,2680700,0
2019-03-29,36.0,36.29,35.68,36.08,3099000,0
2019-04-01,36.46,36.53,35.15,36.03,2944100,0
2019-04-02,35.95,36.42,35.64,36.37,3151500,0
2019-04-03,36.49,37.36,36.4,36.71,4036800,0
2019-04-04,36.65,37.45,35.91,37.2,4666200,0
2019-04-05,37.1,37.76,36.96,36.97,3786900,0
2019-04-08,37.0,37.43,36.24,36.66,4067700,0
2019-04-09,36.57,37.19,36.43,36.92,2924400,0
2019-04-10,37.0,37.2,36.58,36.84,2426900,0
2019-04-11,37.0,37.46,36.77,36.86,2132000,0
2019-04-12,37.18,37.93,37.02,37.14,2617500,0
2019-04-15,37.0,37.03,34.88,35.3,6001500,0
2019-04-16,35.85,36.45,34.74,34.86,3576200,0
2019-04-17,35.16,35.31,34.22,34.64,3850200,0
2019-04-18,34.73,35.08,33.75,34.08,5230900,0
2019-04-22,33.91,34.49,33.91,34.24,3509500,0
2019-04-23,34.13,35.52,34.12,34.98,4618100,0
2019-04-24,35.14,35.21,34.35,34.42,3364100,0
2019-04-25,34.62,36.47,34.24,36.17,5500400,0
2019-04-26,36.5,38.71,36.06,38.6,6032500,0
2019-04-29,38.5,39.15,38.39,38.67,3623600,0
2019-04-30,38.87,39.5,38.23,38.47,4656800,0
2019-05-01,38.73,38.93,37.88,38.18,2433700,0
2019-05-02,38.37,39.5,38.31,39.05,2486100,0
2019-05-03,39.34,39.49,38.7,38.97,1702300,0
2019-05-06,37.0,37.79,36.85,37.58,4476900,0
2019-05-07,37.3,37.3,36.38,36.51,2937800,0
2019-05-08,36.65,36.77,36.0,36.65,3420100,0
2019-05-09,36.01,36.44,35.67,36.2,3981000,0
2019-05-10,36.66,36.86,35.0,35.58,2913100,0
2019-05-13,34.49,35.09,33.34,33.56,5989200,0
2019-05-14,34.28,35.51,33.78,34.98,4586700,0
2019-05-15,34.98,36.29,34.72,35.54,3565300,0
2019-05-16,35.9,36.63,35.73,35.9,3120100,0
2019-05-17,35.42,35.67,34.87,35.25,2372400,0
2019-05-20,34.39,35.22,34.35,34.56,3384900,0
2019-05-21,34.91,35.16,33.76,34.87,2910400,0
2019-05-22,34.82,35.19,34.05,34.1,1857800,0
2019-05-23,33.5,34.24,33.21,33.75,3100100,0
2019-05-24,34.03,34.66,33.74,33.98,1984500,0
2019-05-28,33.98,35.0,33.98,34.37,3605100,0
2019-05-29,34.13,34.35,33.64,34.0,1735000,0
2019-05-30,34.08,34.62,34.05,34.32,3884300,0
2019-05-31,34.11,34.59,33.62,34.41,4749000,0
2019-06-03,34.41,36.39,34.41,35.52,3778900,0
2019-06-04,35.76,36.57,35.52,36.46,3563200,0
2019-06-05,36.38,36.48,33.73,35.3,4000500,0
2019-06-06,35.16,35.16,34.22,34.37,2530900,0
2019-06-07,34.61,35.7,34.4,35.26,1864400,0
2019-06-10,35.93,36.38,35.63,35.67,2462100,0
2019-06-11,36.4,37.46,36.34,37.0,3987800,0
2019-06-12,36.2,36.54,35.6,36.42,2207000,0
2019-06-13,36.5,36.89,36.26,36.33,1844800,0
2019-06-14,36.17,36.95,35.75,36.72,2444900,0
2019-06-17,36.79,37.0,36.18,36.73,1690300,0
2019-06-18,36.66,38.18,36.66,37.3,3255400,0
2019-06-19,37.87,38.24,37.5,38.11,2014700,0
2019-06-20,38.7,39.27,37.91,37.98,2369800,0
2019-06-21,37.69,37.98,37.4,37.68,2285200,0
