Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,49.33,50.38,49.0,50.26,1438000,0.0
2019-01-03,50.32,50.35,49.59,49.97,1666300,0.0
2019-01-04,50.66,50.88,50.35,50.76,1558000,0.0
2019-01-07,51.18,51.18,50.64,50.91,1652400,0.0
2019-01-08,51.08,51.28,50.57,51.11,1399600,0.0
2019-01-09,50.95,51.76,50.92,51.58,1668000,0.505
2019-01-10,51.5,52.05,51.2,51.95,1394000,0.0
2019-01-11,51.93,51.93,51.5,51.86,1545600,0.0
2019-01-14,51.72,52.04,51.63,51.7,1614000,0.0
2019-01-15,51.65,52.4,51.63,52.28,1759200,0.0
2019-01-16,52.67,53.5,52.65,53.28,1414200,0.0
2019-01-17,53.0,53.78,52.84,53.75,1294600,0.0
2019-01-18,54.22,54.68,54.11,54.51,1612600,0.0
2019-01-22,54.24,54.39,53.76,54.19,1517600,0.0
2019-01-23,54.37,54.76,54.07,54.09,2056700,0.0
2019-01-24,54.01,54.52,53.97,54.42,1506000,0.0
2019-01-25,54.95,55.14,54.68,55.06,760600,0.0
2019-01-28,54.55,55.22,54.51,55.21,1155800,0.0
2019-01-29,55.26,55.7,55.22,55.65,2283400,0.0
2019-01-30,55.82,56.23,55.7,56.08,1456400,0.0
2019-01-31,55.99,56.39,55.96,56.31,1512300,0.0
2019-02-01,56.52,56.93,56.33,56.38,1388500,0.0
2019-02-04,56.39,56.77,56.27,56.61,983800,0.0
2019-02-05,56.8,56.81,56.49,56.77,907100,0.0
2019-02-06,56.55,56.87,56.54,56.61,1080200,0.0
2019-02-07,56.46,56.46,55.69,56.08,1478300,0.0
2019-02-08,56.07,56.37,55.76,56.28,968700,0.0
2019-02-11,56.3,56.37,55.59,55.63,1169300,0.0
2019-02-12,56.04,56.43,55.98,56.34,1058500,0.0
2019-02-13,56.5,56.71,56.43,56.46,745900,0.0
2019-02-14,56.14,56.3,55.84,56.17,1058900,0.0
2019-02-15,56.46,57.11,56.39,56.91,1143100,0.0
2019-02-19,56.75,57.31,56.6,57.26,1176100,0.0
2019-02-20,57.29,58.0,57.25,57.89,947400,0.0
2019-02-21,57.86,57.97,57.52,57.78,948200,0.0
2019-02-22,57.91,58.16,57.74,58.01,765100,0.0
2019-02-25,58.1,58.46,58.03,58.06,916500,0.0
2019-02-26,58.02,58.46,57.9,58.29,998900,0.0
2019-02-27,58.49,58.87,58.32,58.74,1277900,0.0
2019-02-28,56.86,57.96,56.77,57.38,3572500,0.0
2019-03-01,57.48,57.61,56.44,56.5,1712200,0.0
2019-03-04,56.69,56.94,56.15,56.44,1494300,0.0
2019-03-05,56.33,56.4,56.0,56.28,1390100,0.0
2019-03-06,56.16,56.22,55.62,55.78,1061300,0.0
2019-03-07,55.72,55.93,55.19,55.4,1419100,0.0
2019-03-08,55.13,55.92,55.13,55.83,1023600,0.0
2019-03-11,55.79,56.16,55.75,56.09,747400,0.0
2019-03-12,56.15,56.31,55.9,56.28,836000,0.0
2019-03-13,56.49,56.66,56.35,56.57,782200,0.0
2019-03-14,56.5,56.52,56.26,56.29,868100,0.0
2019-03-15,56.4,56.66,56.29,56.59,962600,0.0
2019-03-18,56.63,57.13,56.58,57.11,780900,0.0
2019-03-19,57.47,57.6,56.91,57.02,1963800,0.0
2019-03-20,56.91,57.09,56.57,56.78,1695800,0.0
2019-03-21,56.5,56.52,55.89,56.03,1701200,0.0
2019-03-22,55.67,55.67,54.97,55.11,2176300,0.0
2019-03-25,54.97,55.18,54.6,55.11,1225200,0.0
2019-03-26,55.18,55.62,54.91,55.06,1264400,0.0
2019-03-27,54.91,54.94,54.12,54.41,1731500,0.0
2019-03-28,54.38,54.52,54.09,54.37,2213200,0.0
2019-03-29,54.81,54.83,54.24,54.33,1214300,0.0
2019-04-01,54.75,55.63,54.56,55.53,1447800,0.0
2019-04-02,55.54,55.89,55.4,55.65,998400,0.0
2019-04-03,55.91,56.19,55.77,55.86,1200100,0.0
2019-04-04,55.88,56.16,55.81,56.0,816700,0.0
2019-04-05,55.98,55.99,55.73,55.98,766400,0.0
2019-04-08,56.13,56.34,55.86,56.32,1138000,0.0
2019-04-09,55.5,55.67,55.25,55.34,1041100,0.556
2019-04-10,55.3,55.44,55.05,55.38,800900,0.0
2019-04-11,55.13,55.37,55.07,55.15,1408600,0.0
2019-04-12,55.57,55.88,55.57,55.85,1216000,0.0
2019-04-15,55.88,56.17,55.81,55.97,801900,0.0
2019-04-16,56.07,56.62,55.97,56.5,1092000,0.0
2019-04-17,56.73,57.0,56.62,56.64,797300,0.0
2019-04-18,56.64,56.68,56.5,56.56,743500,0.0
2019-04-22,56.44,56.77,56.42,56.55,1966500,0.0
2019-04-23,56.3,56.4,56.01,56.13,1250100,0.0
2019-04-24,56.02,56.11,55.34,55.48,1300600,0.0
2019-04-25,55.49,55.78,55.17,55.67,877300,0.0
2019-04-26,55.7,56.12,55.56,56.07,662800,0.0
2019-04-29,56.12,56.78,56.06,56.65,741700,0.0
2019-04-30,56.63,57.02,56.52,56.97,753900,0.0
2019-05-01,56.99,57.12,56.57,56.65,950300,0.0
2019-05-02,56.67,56.78,56.48,56.52,660400,0.0
2019-05-03,56.71,57.01,56.71,56.97,656200,0.0
2019-05-06,56.09,56.9,56.05,56.83,652000,0.0
2019-05-07,56.3,56.3,55.83,56.06,872700,0.0
2019-05-08,56.04,56.04,55.68,55.68,695100,0.0
2019-05-09,55.45,55.63,54.95,55.47,1323500,0.0
2019-05-10,55.46,55.6,54.79,55.38,1342600,0.0
2019-05-13,54.7,54.87,54.48,54.73,1282300,0.0
2019-05-14,54.91,55.3,54.7,54.94,969000,0.0
2019-05-15,54.57,55.13,54.53,55.07,1006500,0.0
2019-05-16,55.25,55.43,55.03,55.27,1076100,0.0
2019-05-17,54.99,55.34,54.75,55.25,833800,0.0
2019-05-20,55.14,55.69,55.05,55.61,2028300,0.0
2019-05-21,55.53,55.53,55.2,55.47,1318600,0.0
2019-05-22,55.36,55.41,54.94,54.97,1131400,0.0
2019-05-23,54.79,56.09,54.74,56.01,1654400,0.0
2019-05-24,56.34,56.81,56.21,56.64,1240100,0.0
2019-05-28,56.75,56.98,56.4,56.4,1190100,0.0
2019-05-29,56.3,56.46,55.42,55.6,1164900,0.0
2019-05-30,55.84,55.98,55.24,55.43,1104300,0.0
2019-05-31,54.89,55.04,54.56,54.65,946800,0.0
2019-06-03,54.65,55.0,54.43,54.81,1032900,0.0
2019-06-04,55.34,55.84,54.95,55.79,1123400,0.0
2019-06-05,56.04,56.11,55.73,56.04,979400,0.0
2019-06-06,56.12,56.47,56.05,56.39,628400,0.0
2019-06-07,56.67,57.07,56.59,56.7,730200,0.0
2019-06-10,57.03,57.13,56.83,56.84,641800,0.0
2019-06-11,57.12,57.46,56.75,56.98,2002300,0.0
2019-06-12,56.77,56.93,56.24,56.26,728600,0.0
2019-06-13,56.4,56.57,56.27,56.38,1005400,0.0
2019-06-14,56.21,56.65,56.02,56.6,729200,0.0
2019-06-17,56.61,57.05,56.48,56.6,604100,0.0
2019-06-18,56.76,57.54,56.75,57.45,752200,0.0
2019-06-19,57.53,58.09,57.53,57.95,1119400,0.0
2019-06-20,58.66,58.66,57.79,58.16,786800,0.0
2019-06-21,58.07,58.26,57.88,57.93,771200,0.0
2019-06-24,57.95,58.68,57.94,58.3,756900,0.0
2019-06-25,58.26,58.31,57.79,57.97,909500,0.0
2019-06-26,58.23,58.44,58.01,58.11,720900,0.0
2019-06-27,58.18,58.48,57.91,58.1,690000,0.0
2019-06-28,58.38,58.46,58.2,58.36,662800,0.0
2019-07-01,58.84,58.85,58.47,58.6,432300,0.0
2019-07-02,58.7,58.91,58.59,58.77,1881100,0.0
