Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,48.19,49.09,47.25,48.18,1410100,0
2019-01-03,47.73,48.41,46.0,46.23,1015000,0
2019-01-04,47.76,50.81,47.25,49.44,1602200,0
2019-01-07,48.75,52.25,48.45,52.13,1770900,0
2019-01-08,53.88,55.16,52.75,53.78,2027500,0
2019-01-09,54.42,55.76,53.93,55.07,1634600,0
2019-01-10,54.53,55.84,53.4,55.55,822600,0
2019-01-11,54.63,55.97,54.48,55.47,753700,0
2019-01-14,56.0,57.94,55.28,57.13,1807500,0
2019-01-15,57.0,59.63,57.0,59.24,1452300,0
2019-01-16,60.0,61.68,59.5,60.43,1399500,0
2019-01-17,59.9,63.54,59.9,63.29,1958800,0
2019-01-18,64.17,64.28,61.51,62.38,1793900,0
2019-01-22,60.93,62.04,59.78,60.48,1149700,0
2019-01-23,60.94,61.35,58.86,60.17,1565400,0
2019-01-24,59.89,61.48,59.48,61.03,780800,0
2019-01-25,61.6,63.24,61.08,63.0,906900,0
2019-01-28,62.08,62.51,60.55,62.04,601100,0
2019-01-29,62.13,62.65,60.24,60.76,956800,0
2019-01-30,61.45,62.49,60.3,62.07,703400,0
2019-01-31,62.53,64.57,62.11,64.2,1098000,0
2019-02-01,64.5,64.52,63.13,63.2,1167500,0
2019-02-04,63.38,65.73,63.25,64.42,1181800,0
2019-02-05,64.75,65.31,63.33,63.82,1092800,0
2019-02-06,63.96,64.98,62.89,64.0,1086700,0
2019-02-07,63.15,63.65,60.57,62.25,1050600,0
2019-02-08,61.69,62.67,61.69,62.59,703000,0
2019-02-11,63.24,64.38,62.41,63.57,728800,0
2019-02-12,64.05,65.83,64.0,65.77,758100,0
2019-02-13,66.14,67.25,64.92,66.65,938100,0
2019-02-14,66.24,67.25,66.09,66.58,746400,0
2019-02-15,67.21,69.52,66.8,69.43,1444100,0
2019-02-19,69.46,70.05,68.82,69.99,1038300,0
2019-02-20,69.83,70.92,68.61,69.5,922900,0
2019-02-21,69.73,69.81,67.17,68.25,1078900,0
2019-02-22,68.47,69.26,67.85,69.15,814800,0
2019-02-25,70.0,70.68,69.2,69.98,827600,0
2019-02-26,69.53,69.98,67.24,67.41,1242700,0
2019-02-27,67.74,69.34,67.5,68.99,2943700,0
2019-02-28,65.87,70.29,62.0,64.36,5338100,0
2019-03-01,64.74,68.03,64.54,67.55,1831700,0
2019-03-04,67.55,67.56,62.3,63.13,2672600,0
2019-03-05,63.7,64.41,61.89,63.75,1684600,0
2019-03-06,63.4,63.69,60.14,60.16,1660000,0
2019-03-07,60.16,61.56,59.03,59.32,1611400,0
2019-03-08,57.65,59.28,57.58,58.92,926800,0
2019-03-11,59.4,59.68,58.6,58.74,1257900,0
2019-03-12,59.0,59.22,57.98,58.09,2129000,0
2019-03-13,58.57,61.0,58.14,60.15,2205500,0
2019-03-14,60.0,61.41,59.45,60.94,1437700,0
2019-03-15,61.0,63.28,60.57,62.86,1968200,0
2019-03-18,62.85,63.77,62.08,63.1,1416900,0
2019-03-19,63.65,63.73,62.5,63.12,1099200,0
2019-03-20,62.95,63.11,61.1,61.99,1141700,0
2019-03-21,61.49,63.57,61.08,63.26,860500,0
2019-03-22,62.7,63.35,58.69,58.77,1703300,0
2019-03-25,58.77,59.06,55.2,55.66,2848300,0
2019-03-26,56.34,56.58,52.14,52.5,2760900,0
2019-03-27,52.34,52.44,49.49,50.87,2847200,0
2019-03-28,51.66,54.02,51.5,53.68,2228900,0
2019-03-29,54.18,56.09,53.83,55.6,2160800,0
2019-04-01,56.25,57.0,53.3,53.63,1327300,0
2019-04-02,53.6,55.86,53.36,55.52,1400200,0
2019-04-03,56.17,56.49,54.67,55.46,1686000,0
2019-04-04,56.0,57.1,55.35,57.01,1412800,0
2019-04-05,57.14,58.88,56.89,58.49,976200,0
2019-04-08,58.39,58.53,55.54,57.06,1709800,0
2019-04-09,56.84,57.48,55.75,55.93,1164000,0
2019-04-10,55.8,56.86,54.79,56.57,1551200,0
2019-04-11,56.8,56.9,54.97,55.15,982800,0
2019-04-12,55.61,55.95,53.18,53.45,1541500,0
2019-04-15,53.8,54.79,53.46,54.03,865400,0
2019-04-16,54.35,54.61,52.33,52.55,1652100,0
2019-04-17,53.5,53.58,49.0,49.86,4241300,0
2019-04-18,50.22,51.77,48.57,51.6,2161900,0
2019-04-22,51.71,55.0,51.71,54.96,2158600,0
2019-04-23,55.0,55.83,54.06,54.36,2146100,0
