Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,74.52,75.96,74.16,75.24,1536600,0.0
2019-01-03,73.91,74.32,72.24,72.43,3610900,0.0
2019-01-04,73.64,74.93,73.23,74.33,1919500,0.0
2019-01-07,74.1,75.93,73.92,75.8,2723900,0.0
2019-01-08,76.12,76.46,74.27,75.55,2801000,0.0
2019-01-09,75.78,77.47,75.54,77.07,1766800,0.0
2019-01-10,76.66,78.13,76.29,78.12,1270300,0.0
2019-01-11,77.43,78.49,77.41,78.46,1458100,0.0
2019-01-14,77.82,78.09,77.0,77.66,1235100,0.0
2019-01-15,77.93,78.12,76.91,77.32,1274900,0.0
2019-01-16,77.31,78.72,77.31,78.49,2071000,0.0
2019-01-17,77.92,79.95,77.62,79.73,1928400,0.0
2019-01-18,79.83,81.37,79.54,81.25,1737300,0.0
2019-01-22,80.67,80.75,78.91,79.48,2931400,0.0
2019-01-23,77.0,80.87,74.84,76.0,6593300,0.0
2019-01-24,75.72,79.39,75.62,78.76,2725300,0.0
2019-01-25,79.76,81.21,79.38,80.15,2001500,0.0
2019-01-28,78.97,80.03,78.83,79.85,1193500,0.0
2019-01-29,79.85,80.14,78.68,78.75,1848000,0.0
2019-01-30,79.2,80.4,78.53,80.27,1235900,0.0
2019-01-31,80.0,81.01,79.53,80.95,1320200,0.0
2019-02-01,81.12,81.81,80.78,81.37,1307600,0.0
2019-02-04,81.66,81.66,80.64,80.97,1191700,0.0
2019-02-05,81.04,81.75,80.84,81.75,1315300,0.0
2019-02-06,81.86,83.16,81.68,82.99,1917600,0.0
2019-02-07,82.21,82.32,80.57,80.96,1980800,0.0
2019-02-08,80.26,81.11,79.54,80.41,1824600,0.0
2019-02-11,80.59,80.62,79.87,80.08,1568800,0.0
2019-02-12,80.58,81.77,80.26,81.44,2091900,0.0
2019-02-13,81.68,82.0,81.0,81.26,1913200,0.0
2019-02-14,81.05,81.67,80.83,80.86,1324400,0.0
2019-02-15,81.68,82.24,81.36,82.14,1199900,0.0
2019-02-19,82.14,82.5,81.65,82.17,1418500,0.0
2019-02-20,82.39,82.85,82.28,82.78,1462000,0.0
2019-02-21,82.34,82.8,82.1,82.46,1204300,0.44
2019-02-22,83.0,83.47,82.7,83.35,960200,0.0
2019-02-25,83.96,84.43,83.85,84.06,1592600,0.0
2019-02-26,84.1,84.14,83.31,83.45,948100,0.0
2019-02-27,83.1,83.26,82.26,82.49,1089700,0.0
2019-02-28,82.45,82.81,81.98,82.09,1329000,0.0
2019-03-01,82.81,83.28,82.48,83.16,1478800,0.0
2019-03-04,83.39,83.94,82.37,82.91,1826900,0.0
2019-03-05,83.06,83.16,82.29,82.53,1565000,0.0
2019-03-06,82.71,82.77,81.47,81.64,1262500,0.0
2019-03-07,81.44,81.44,79.99,81.12,1710000,0.0
2019-03-08,80.43,81.32,80.06,81.19,1223100,0.0
2019-03-11,81.35,82.95,81.35,82.86,1028900,0.0
2019-03-12,83.03,83.23,81.98,82.54,1426000,0.0
2019-03-13,83.07,83.69,82.97,83.42,1400500,0.0
2019-03-14,83.5,83.96,83.05,83.29,1523100,0.0
2019-03-15,83.19,84.17,83.19,83.7,2405700,0.0
2019-03-18,83.86,84.22,83.0,83.34,1858100,0.0
2019-03-19,83.51,84.09,83.14,83.47,1246200,0.0
2019-03-20,83.38,83.38,82.28,82.64,2471200,0.0
2019-03-21,82.23,84.41,82.09,83.87,1552300,0.0
2019-03-22,83.41,83.41,81.48,81.69,1723900,0.0
2019-03-25,81.74,81.91,80.87,81.08,1086400,0.0
2019-03-26,81.14,82.44,81.06,82.27,1247500,0.0
2019-03-27,82.39,82.64,80.86,81.32,1506400,0.0
2019-03-28,81.54,81.88,79.98,80.01,2509300,0.0
2019-03-29,80.73,81.3,80.31,80.75,2016100,0.0
2019-04-01,82.35,83.79,82.03,83.66,1641900,0.0
2019-04-02,83.71,84.42,83.12,84.32,1117400,0.0
2019-04-03,84.9,86.45,84.9,85.72,2952400,0.0
2019-04-04,85.79,86.64,85.51,86.2,1213600,0.0
2019-04-05,86.5,86.73,85.91,86.27,947100,0.0
2019-04-08,85.84,86.7,85.59,86.67,1048200,0.0
2019-04-09,86.31,86.55,85.14,85.3,970800,0.0
2019-04-10,85.3,86.24,84.86,86.08,757700,0.0
2019-04-11,86.32,87.33,85.76,86.9,1006700,0.0
2019-04-12,87.68,88.19,87.17,87.95,1227500,0.0
2019-04-15,88.03,88.11,87.03,87.56,768000,0.0
2019-04-16,87.9,88.7,87.72,88.66,859500,0.0
2019-04-17,89.33,89.78,88.69,89.02,1311200,0.0
2019-04-18,88.89,89.56,88.59,89.43,851400,0.0
2019-04-22,89.01,89.21,88.39,88.63,1006300,0.0
2019-04-23,88.63,89.84,88.41,89.81,1803700,0.0
2019-04-24,91.91,96.78,91.88,95.83,3193900,0.0
2019-04-25,95.97,96.31,94.4,95.51,1753200,0.0
2019-04-26,95.39,95.39,93.96,94.51,1299500,0.0
2019-04-29,94.73,94.91,93.68,94.21,1704600,0.0
2019-04-30,93.9,95.68,93.18,95.65,1481100,0.0
2019-05-01,95.0,95.88,94.4,94.41,1704900,0.0
2019-05-02,94.56,95.27,94.01,94.51,1064900,0.0
2019-05-03,94.92,95.76,94.89,95.65,1126800,0.0
2019-05-06,93.78,94.28,92.97,93.75,1073700,0.0
2019-05-07,92.39,93.19,91.4,92.05,1141200,0.0
2019-05-08,91.74,92.14,91.09,91.14,1437600,0.0
2019-05-09,90.01,90.98,89.41,90.89,899600,0.0
2019-05-10,90.54,91.37,89.47,90.91,918500,0.0
2019-05-13,88.82,89.45,87.84,88.14,1329000,0.0
2019-05-14,88.49,89.48,88.35,88.97,943800,0.0
2019-05-15,88.34,90.08,88.34,89.88,914400,0.0
2019-05-16,89.94,90.85,89.36,90.32,1058900,0.0
2019-05-17,89.27,90.91,89.27,89.54,920100,0.0
2019-05-20,88.45,88.8,87.57,88.19,1130000,0.0
2019-05-21,88.52,89.76,88.52,89.27,1204600,0.0
2019-05-22,88.8,89.29,88.38,88.43,942200,0.0
2019-05-23,87.19,87.19,86.14,86.73,933300,0.46
2019-05-24,87.21,87.82,86.19,86.67,843900,0.0
2019-05-28,86.82,87.18,85.9,86.29,2300900,0.0
2019-05-29,86.0,87.05,85.75,86.25,1323900,0.0
2019-05-30,86.63,87.29,86.41,86.86,910700,0.0
2019-05-31,85.79,86.09,83.86,84.23,1916700,0.0
2019-06-03,84.83,85.86,84.7,85.26,1303900,0.0
2019-06-04,86.41,88.18,86.41,88.1,1110600,0.0
2019-06-05,88.98,89.11,87.42,88.59,945400,0.0
2019-06-06,88.74,89.83,88.26,89.66,836700,0.0
2019-06-07,90.17,91.32,89.85,90.91,1037200,0.0
2019-06-10,91.72,93.11,91.45,91.51,681300,0.0
2019-06-11,92.19,92.78,91.14,91.31,1208500,0.0
2019-06-12,91.39,91.91,91.0,91.87,792400,0.0
2019-06-13,92.06,92.16,91.58,92.11,623900,0.0
2019-06-14,91.87,91.87,90.05,90.66,710900,0.0
2019-06-17,90.39,90.82,88.36,90.46,996400,0.0
2019-06-18,90.97,92.78,90.68,92.71,1290900,0.0
2019-06-19,93.01,93.46,92.66,93.38,894500,0.0
2019-06-20,95.0,96.01,94.6,95.94,1704100,0.0
2019-06-21,95.78,96.0,94.98,95.19,1641800,0.0
2019-06-24,95.2,95.84,94.9,95.0,863000,0.0
2019-06-25,94.84,95.26,94.24,94.41,1100300,0.0
2019-06-26,94.92,95.96,94.82,95.16,943800,0.0
2019-06-27,95.44,95.91,94.9,95.16,1195400,0.0
2019-06-28,95.74,95.99,95.41,95.78,1196000,0.0
2019-07-01,97.0,97.99,96.78,97.35,1116100,0.0
2019-07-02,97.4,97.4,95.87,96.09,1007700,0.0
2019-07-03,96.0,96.07,95.23,95.84,682600,0.0
2019-07-05,95.22,95.39,94.32,95.39,962700,0.0
2019-07-08,94.64,94.9,93.59,94.2,1184400,0.0
2019-07-09,93.77,94.15,93.56,93.99,1321000,0.0
2019-07-10,94.23,94.94,93.65,93.75,736300,0.0
2019-07-11,94.16,94.16,92.48,92.69,1516600,0.0
2019-07-12,93.3,94.58,92.79,94.44,1619900,0.0
2019-07-15,94.39,94.67,93.47,93.52,1012400,0.0
2019-07-16,92.17,92.17,90.04,90.05,1865300,0.0
2019-07-17,90.0,90.0,88.09,88.22,2764300,0.0
2019-07-18,88.25,88.85,87.05,88.75,1794000,0.0
2019-07-19,89.21,89.83,88.33,88.71,1131900,0.0
2019-07-22,89.24,89.99,89.24,89.47,1170300,0.0
2019-07-23,89.96,91.25,89.5,91.2,1562700,0.0
2019-07-24,89.4,92.65,89.12,91.38,2347900,0.0
2019-07-25,90.35,91.96,89.56,91.95,2258200,0.0
2019-07-26,91.95,93.81,91.82,93.65,2193600,0.0
2019-07-29,93.4,94.47,93.11,94.01,2119000,0.0
2019-07-30,93.17,94.27,92.94,93.35,2568200,0.0
2019-07-31,93.53,93.53,91.14,92.4,2202900,0.0
2019-08-01,92.12,93.57,90.65,90.98,2113900,0.0
2019-08-02,90.5,90.95,89.42,90.31,1873800,0.0
2019-08-05,88.9,89.26,87.12,87.68,2766800,0.0
2019-08-06,88.48,89.24,87.76,88.61,1679700,0.0
2019-08-07,87.33,89.01,87.15,88.89,1160200,0.0
2019-08-08,89.46,90.42,88.93,90.22,1314000,0.0
2019-08-09,90.0,90.44,89.21,89.77,1014300,0.0
2019-08-12,89.26,89.33,87.88,88.17,1185600,0.0
2019-08-13,88.15,90.74,87.62,89.78,838500,0.0
2019-08-14,88.6,88.89,87.61,87.99,1915300,0.0
2019-08-15,87.92,88.04,86.55,87.29,1329300,0.0
2019-08-16,88.08,90.07,87.63,89.99,973700,0.0
2019-08-19,91.0,91.63,90.85,90.91,930700,0.0
2019-08-20,90.9,90.9,89.93,90.1,1101200,0.0
2019-08-21,91.25,91.28,90.13,90.85,699300,0.0
2019-08-22,90.92,91.37,90.48,90.73,897200,0.46
2019-08-23,89.73,90.92,88.7,89.29,2050400,0.0
2019-08-26,90.0,90.32,88.08,88.95,1558500,0.0
2019-08-27,89.6,89.78,89.06,89.66,1150900,0.0
2019-08-28,89.1,89.79,88.61,89.18,1355800,0.0
2019-08-29,90.56,92.39,90.28,91.83,1670400,0.0
2019-08-30,92.42,92.64,91.14,91.22,2363300,0.0
2019-09-03,90.24,90.38,88.02,89.05,1708200,0.0
2019-09-04,89.78,91.15,89.78,90.94,1662900,0.0
2019-09-05,92.11,94.93,91.94,94.51,1273400,0.0
