Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,19.44,19.69,19.29,19.68,466100,0.0
2019-01-03,19.74,20.51,19.73,20.35,585000,0.0
2019-01-04,19.77,19.86,19.41,19.67,664800,0.0
2019-01-07,19.88,19.89,19.39,19.45,462300,0.0
2019-01-08,19.42,19.53,19.27,19.3,390000,0.0
2019-01-09,19.22,19.28,18.97,19.18,365400,0.0
2019-01-10,19.22,19.27,18.77,18.82,745100,0.0
2019-01-11,18.99,19.21,18.94,19.03,459200,0.0
2019-01-14,19.0,19.08,18.73,18.83,298000,0.0
2019-01-15,18.86,18.86,18.58,18.63,335200,0.0
2019-01-16,18.43,18.78,18.38,18.66,363400,0.0
2019-01-17,18.72,18.84,18.56,18.67,302900,0.0
2019-01-18,18.5,18.64,18.3,18.4,492600,0.0
2019-01-22,18.7,18.91,18.62,18.73,554200,0.0
2019-01-23,18.54,18.87,18.51,18.74,358600,0.0
2019-01-24,18.99,19.16,18.92,19.07,271000,0.0
2019-01-25,18.86,18.92,18.72,18.85,295700,0.0
2019-01-28,18.8,19.01,18.75,18.75,342600,0.0
2019-01-29,18.8,19.05,18.75,19.05,217100,0.0
2019-01-30,18.96,19.02,18.74,19.0,486300,0.0
2019-01-31,19.27,19.58,19.27,19.45,493900,0.0
2019-02-01,19.37,19.42,19.08,19.13,525500,0.0
2019-02-04,18.88,18.92,18.68,18.87,689600,0.0
2019-02-05,18.99,19.24,18.98,19.12,214000,0.0
2019-02-06,19.3,19.32,19.01,19.15,366300,0.0
2019-02-07,19.35,19.57,19.24,19.51,317100,0.0
2019-02-08,19.74,19.84,19.64,19.78,348000,0.0
2019-02-11,19.54,19.68,19.47,19.54,353900,0.0
2019-02-12,19.42,19.46,19.2,19.38,189400,0.0
2019-02-13,19.19,19.29,19.07,19.18,221600,0.0
2019-02-14,19.64,19.67,19.38,19.46,277800,0.0
2019-02-15,19.33,19.59,19.33,19.57,287800,0.0
2019-02-19,19.72,19.83,19.54,19.69,359900,0.0
2019-02-20,19.54,19.6,19.36,19.53,367300,0.0
2019-02-21,19.1,19.14,18.93,19.02,313100,0.0
2019-02-22,19.27,19.5,19.26,19.33,338200,0.0
