Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,62.87,65.33,62.55,65.26,4418600,0
2019-01-03,64.55,66.24,64.11,65.02,3390700,0
2019-01-04,65.88,67.56,65.55,67.49,5490200,0
2019-01-07,67.37,68.61,67.01,68.44,4786900,0
2019-01-08,68.67,68.68,67.37,67.77,6052700,0
2019-01-09,68.65,68.67,67.12,67.72,4498600,0
2019-01-10,67.44,68.86,67.22,67.96,3230800,0
2019-01-11,67.83,69.06,67.4,69.0,4177300,0
2019-01-14,68.41,68.52,67.42,67.91,2691000,0
2019-01-15,67.81,68.56,66.7,67.14,5366700,0
2019-01-16,67.51,67.61,66.38,66.69,3261000,0
2019-01-17,66.72,66.75,65.64,66.25,3357400,0
2019-01-18,67.11,68.05,66.37,66.96,4766500,0
2019-01-22,66.75,67.19,66.2,66.83,2971200,0
2019-01-23,66.8,67.85,66.57,67.8,1979500,0
2019-01-24,67.72,68.66,67.22,68.66,2849800,0
2019-01-25,68.93,69.27,68.2,68.48,4940400,0
2019-01-28,67.87,68.49,67.06,67.62,2958100,0
2019-01-29,67.66,67.94,66.63,67.78,2340100,0
2019-01-30,67.74,68.69,67.09,68.32,2318300,0
2019-01-31,68.41,70.12,68.03,69.62,5816100,0
2019-02-01,69.46,69.78,69.08,69.63,3117900,0
2019-02-04,69.41,69.63,68.88,69.41,1926200,0
2019-02-05,69.7,69.7,66.8,66.85,5001100,0
2019-02-06,66.8,67.3,66.54,66.94,4334500,0
2019-02-07,68.0,68.46,65.56,68.28,7554600,0
2019-02-08,67.64,68.47,66.95,68.38,4129500,0
2019-02-11,68.17,69.18,68.0,68.44,2644100,0
2019-02-12,69.0,69.67,68.5,69.6,2630700,0
2019-02-13,69.61,69.96,68.86,69.07,4742400,0
2019-02-14,69.1,70.52,69.01,70.5,3200300,0
2019-02-15,70.65,72.07,70.43,72.05,5711300,0
2019-02-19,72.01,72.86,71.76,72.52,3672800,0
2019-02-20,72.46,73.08,72.17,72.75,4476900,0
2019-02-21,72.57,73.76,72.39,73.41,4561200,0
2019-02-22,73.8,74.06,72.97,73.2,2522000,0
2019-02-25,73.37,73.53,72.62,73.05,2400400,0
2019-02-26,71.44,72.97,71.25,72.53,2915400,0
2019-02-27,72.13,72.53,71.77,72.12,2742600,0
2019-02-28,72.08,72.7,71.92,72.21,3072600,0
2019-03-01,72.39,72.6,71.78,72.34,1883600,0
2019-03-04,72.24,72.34,71.28,71.65,2439400,0
2019-03-05,71.75,71.98,71.28,71.41,1725600,0
2019-03-06,71.41,71.6,69.99,70.78,4375400,0
2019-03-07,70.62,71.38,70.52,71.32,2309300,0
2019-03-08,70.93,71.25,70.18,70.65,3573400,0
2019-03-11,70.83,71.58,70.41,71.47,2493100,0
2019-03-12,71.47,72.13,71.25,71.7,2773200,0
2019-03-13,72.12,72.48,71.68,72.25,1920400,0
2019-03-14,72.25,72.44,71.94,72.34,1653300,0
2019-03-15,72.76,73.5,72.1,73.46,2806200,0
2019-03-18,73.28,73.91,72.95,73.68,2945300,0
2019-03-19,74.0,74.06,72.41,72.59,4188100,0
2019-03-20,72.8,72.93,72.01,72.06,3136200,0
2019-03-21,72.08,72.74,71.99,72.26,2329200,0
2019-03-22,71.93,72.47,71.81,71.9,3265900,0
2019-03-25,71.85,72.41,71.64,72.31,1972400,0
