Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,61.22,63.03,59.76,62.02,58293000,0
2019-01-03,61.4,61.88,59.48,60.07,34826000,0
2019-01-04,61.2,63.6,60.55,63.54,36970500,0
2019-01-07,64.34,67.35,63.55,66.99,37756000,0
2019-01-08,68.39,68.8,65.4,67.07,35042500,0
2019-01-09,67.1,68.7,66.29,67.71,27164500,0
2019-01-10,66.88,69.08,66.36,68.99,30282000,0
2019-01-11,68.42,69.68,67.75,69.45,25195500,0
2019-01-14,68.48,68.5,66.8,66.88,26236500,0
2019-01-15,67.0,69.76,66.9,68.89,30283000,0
2019-01-16,68.96,70.4,68.7,69.21,23458500,0
2019-01-17,69.24,70.3,68.83,69.46,18383500,0
2019-01-18,64.6,65.43,59.95,60.45,120754000,0
2019-01-22,60.96,61.6,59.1,59.78,60333500,0
2019-01-23,58.5,58.9,56.34,57.52,62650000,0
2019-01-24,56.61,58.74,55.86,58.3,40061000,0
2019-01-25,58.88,59.7,57.91,59.41,36248000,0
2019-01-28,58.58,59.49,57.55,59.28,32116500,0
2019-01-29,59.05,59.71,58.36,59.49,23108500,0
2019-01-30,60.09,61.8,59.7,61.75,56251500,0
2019-01-31,60.2,62.31,58.8,61.4,62846000,0
2019-02-01,61.08,63.22,60.7,62.44,36417000,0
2019-02-04,62.6,63.06,60.38,62.58,36760500,0
2019-02-05,62.5,64.49,62.45,64.27,33714000,0
2019-02-06,63.92,64.85,63.12,63.44,25192500,0
2019-02-07,62.66,62.94,60.6,61.5,32603000,0
2019-02-08,61.37,61.49,59.7,61.16,29221000,0
2019-02-11,62.32,63.72,62.1,62.57,35648500,0
2019-02-12,63.24,63.64,61.92,62.36,27588000,0
2019-02-13,62.47,62.55,61.11,61.63,25708000,0
2019-02-14,60.68,61.35,60.2,60.75,26004000,0
2019-02-15,60.9,61.6,60.78,61.58,19524500,0
2019-02-19,61.31,62.31,61.09,61.13,20842000,0
2019-02-20,60.88,61.26,59.8,60.51,35710500,0
2019-02-21,60.36,60.65,58.1,58.25,44546000,0
2019-02-22,58.9,59.3,58.42,58.94,28703000,0
2019-02-25,59.58,60.58,59.4,59.75,33132500,0
2019-02-26,58.44,60.4,57.75,59.57,42912500,0
2019-02-27,60.36,63.26,60.11,62.95,55919500,0
2019-02-28,63.78,64.0,62.16,63.98,52603500,0
2019-03-01,61.39,61.43,58.38,58.96,114557000,0
2019-03-04,59.62,59.8,56.56,57.07,85484000,0
2019-03-05,56.4,56.8,54.02,55.31,93823500,0
2019-03-06,55.3,56.3,54.88,55.25,51677500,0
2019-03-07,55.77,56.94,54.85,55.32,47212500,0
2019-03-08,55.38,57.12,55.18,56.83,44098000,0
2019-03-11,56.7,58.26,56.1,58.18,36961500,0
