Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,36.2,36.75,36.0,36.52,5273100,0.0
2019-01-03,35.34,35.52,34.27,34.36,15998000,0.0
2019-01-04,34.46,35.03,34.21,34.97,14178200,0.0
2019-01-07,35.01,35.47,34.97,35.23,6850800,0.0
2019-01-08,35.11,35.18,34.64,34.94,11462600,0.0
2019-01-09,35.33,35.96,35.33,35.61,11770300,0.0
2019-01-10,35.46,36.48,35.4,36.42,7894600,0.0
2019-01-11,36.45,36.77,36.24,36.61,7232700,0.0
2019-01-14,36.13,36.19,35.72,35.76,6146200,0.0
2019-01-15,36.04,36.23,35.8,36.04,10165800,0.0
2019-01-16,35.9,36.03,35.64,35.64,8727400,0.0
2019-01-17,34.92,36.55,34.83,36.29,21916900,0.0
2019-01-18,36.24,37.01,36.16,36.84,12905900,0.0
2019-01-22,36.5,36.76,36.1,36.37,13381700,0.0
2019-01-23,36.53,36.74,36.24,36.49,13918600,0.0
2019-01-24,36.88,37.64,36.78,37.64,14094100,0.0
2019-01-25,38.0,38.26,37.88,38.14,16763700,0.0
2019-01-28,36.92,37.66,36.9,37.44,14086500,0.0
2019-01-29,37.29,37.29,36.3,36.33,10100800,0.0
2019-01-30,36.81,37.45,36.29,37.38,9281600,0.0
2019-01-31,37.31,38.1,37.31,37.62,7633400,0.0
2019-02-01,37.75,37.87,37.44,37.57,6438300,0.0
2019-02-04,37.5,38.01,37.38,37.94,7283800,0.0
2019-02-05,37.92,38.27,37.88,38.25,7314000,0.0
2019-02-06,38.42,38.82,38.31,38.74,8795200,0.0
2019-02-07,38.37,38.46,37.83,38.12,7916200,0.0
2019-02-08,37.71,37.92,37.5,37.79,7147200,0.0
2019-02-11,37.92,38.29,37.83,38.29,8860700,0.0
2019-02-12,38.64,38.77,38.44,38.64,8831200,0.0
2019-02-13,38.37,38.48,38.05,38.13,7155600,0.0
2019-02-14,37.92,38.21,37.76,38.06,7782800,0.0
2019-02-15,37.91,38.28,37.87,38.09,6257600,0.0
2019-02-19,38.22,38.66,38.1,38.46,8105700,0.0
2019-02-20,38.93,39.51,38.89,39.0,7178600,0.0
2019-02-21,39.07,39.18,38.8,38.98,4607300,0.0
2019-02-22,39.12,39.41,39.08,39.39,5117800,0.0
2019-02-25,39.87,39.92,39.48,39.58,5101500,0.0
2019-02-26,39.41,39.67,39.38,39.6,5587300,0.0
2019-02-27,39.51,39.59,39.06,39.45,8194900,0.0
2019-02-28,39.12,39.29,39.0,39.05,5705100,0.0
2019-03-01,39.36,39.52,39.2,39.39,5299200,0.0
2019-03-04,39.33,39.33,38.71,39.15,7081100,0.0
2019-03-05,38.95,39.23,38.66,39.02,7192400,0.0
2019-03-06,39.06,39.22,38.78,38.79,4433400,0.0
2019-03-07,38.77,38.88,38.37,38.63,4231300,0.0
2019-03-08,37.95,38.38,37.94,38.2,5066200,0.0
2019-03-11,38.23,38.69,38.2,38.64,6005400,0.0
2019-03-12,39.05,39.17,38.86,38.9,5580200,0.0
2019-03-13,39.22,39.44,39.02,39.21,6086400,0.0
2019-03-14,39.0,39.05,38.74,38.82,4935000,0.0
2019-03-15,39.41,40.07,39.41,39.65,8871300,0.0
2019-03-18,39.86,39.98,39.64,39.85,6290900,0.0
2019-03-19,39.98,40.08,39.6,39.76,8033600,0.0
2019-03-20,39.77,40.15,39.64,39.85,5394000,0.0
2019-03-21,40.25,41.24,40.22,41.04,6509600,0.0
2019-03-22,40.84,41.02,40.34,40.43,6759100,0.0
2019-03-25,40.0,40.46,39.77,39.92,4901800,0.0
2019-03-26,40.11,40.63,40.07,40.4,5573500,0.0
2019-03-27,40.19,40.26,39.8,40.2,7660300,0.0
2019-03-28,40.24,40.54,40.2,40.34,6632700,0.0
2019-03-29,40.82,41.05,40.6,40.96,6116300,0.0
2019-04-01,41.08,41.37,40.74,41.37,6834200,0.0
2019-04-02,41.18,41.36,41.0,41.27,5580200,0.0
2019-04-03,41.6,41.96,41.51,41.79,6821100,0.0
2019-04-04,41.73,42.18,41.65,42.04,7610300,0.0
2019-04-05,42.34,42.34,42.06,42.23,4430600,0.0
2019-04-08,42.24,42.49,42.08,42.39,6830300,0.0
2019-04-09,42.24,42.3,42.03,42.21,5049900,0.0
2019-04-10,42.26,42.5,42.18,42.37,4040200,0.0
2019-04-11,42.09,42.2,41.95,42.1,5172200,0.0
2019-04-12,42.47,42.65,42.28,42.58,6555700,0.0
2019-04-15,42.58,42.77,42.46,42.61,5274400,0.0
2019-04-16,42.83,43.08,42.75,43.01,6639100,0.0
2019-04-17,43.9,44.46,43.86,44.39,15795700,0.0
2019-04-18,44.06,45.64,44.0,45.4,16569800,0.0
2019-04-22,44.79,45.16,44.59,45.15,10872000,0.0
2019-04-23,45.15,45.42,45.06,45.42,11437500,0.0
2019-04-24,45.08,45.59,44.94,45.41,10776800,0.0
2019-04-25,44.93,45.04,44.43,44.48,10149800,0.0
2019-04-26,43.65,44.0,43.32,43.94,12745000,0.0
2019-04-29,43.85,43.92,43.58,43.83,9272100,0.0
2019-04-30,43.4,43.94,43.26,43.82,11863900,0.0
2019-05-01,44.29,44.56,43.82,43.82,7319000,0.0
2019-05-02,43.86,44.47,43.75,44.4,10717200,0.0
2019-05-03,44.93,45.14,44.56,44.71,5479900,0.0
2019-05-06,43.32,43.82,43.21,43.76,10756400,0.0
2019-05-07,43.83,44.05,43.29,43.76,10225200,0.0
2019-05-08,43.52,44.0,43.46,43.7,8112600,0.0
2019-05-09,42.92,43.3,42.28,43.25,11229400,0.0
2019-05-10,42.86,43.09,42.19,42.83,8313900,0.0
2019-05-13,41.37,41.51,40.74,40.99,11046000,0.0
2019-05-14,41.59,42.08,41.4,41.97,7107800,0.0
2019-05-15,41.55,42.33,41.46,41.97,5347700,0.0
2019-05-16,41.63,41.64,41.22,41.53,9214700,0.0
2019-05-17,40.39,40.95,40.09,40.25,11271000,0.0
2019-05-20,39.25,39.3,38.52,38.66,13979700,0.0
2019-05-21,39.15,39.34,38.66,39.3,11806400,0.0
2019-05-22,39.2,39.39,38.89,38.9,12217600,0.0
2019-05-23,37.98,38.18,37.41,38.07,14708800,0.0
2019-05-24,38.42,38.74,38.2,38.2,10540700,0.0
2019-05-28,38.13,38.2,37.65,37.65,12484600,0.0
2019-05-29,37.46,37.75,37.18,37.69,13043000,0.0
2019-05-30,37.95,38.37,37.84,38.04,7351600,0.0
2019-05-31,38.27,38.97,38.25,38.35,9302700,0.0
2019-06-03,38.96,39.09,38.66,38.82,9618300,0.0
2019-06-04,38.64,39.1,38.42,39.06,6985600,0.0
2019-06-05,39.24,39.26,38.1,38.23,8219800,0.0
2019-06-06,38.18,38.59,37.92,38.44,6234000,0.0
2019-06-07,38.74,39.0,38.56,38.82,4456900,0.0
2019-06-10,39.49,40.13,39.45,39.62,8351800,0.0
2019-06-11,40.47,40.6,39.94,39.96,6100600,0.0
2019-06-12,40.0,40.19,39.45,39.46,6163200,0.0
2019-06-13,39.62,39.62,39.03,39.45,6646800,0.0
2019-06-14,38.63,38.7,37.83,37.84,11281500,0.0
2019-06-17,37.92,38.05,37.66,37.66,6500700,0.0
2019-06-18,38.27,39.42,38.22,39.21,12303200,0.0
2019-06-19,39.94,39.96,39.3,39.4,10217600,0.0
2019-06-20,40.45,40.72,40.14,40.51,10400000,0.0
2019-06-21,40.52,40.7,40.42,40.52,12766200,0.0
2019-06-24,39.56,40.07,39.44,39.98,6571000,1.276
2019-06-25,39.52,39.52,38.91,38.92,6790500,0.0
2019-06-26,39.38,39.38,38.98,39.08,9133300,0.0
2019-06-27,39.58,39.76,39.29,39.59,11375200,0.0
2019-06-28,39.73,39.73,39.12,39.17,7040000,0.0
2019-07-01,41.54,41.9,41.15,41.38,11046800,0.0
2019-07-02,41.19,41.31,40.74,40.8,4445600,0.0
2019-07-03,40.35,40.37,40.01,40.33,3125000,0.0
2019-07-05,39.87,40.1,39.64,39.93,3149300,0.0
2019-07-08,39.57,39.69,39.24,39.32,6772300,0.0
2019-07-09,39.65,40.01,39.42,39.67,6577000,0.0
2019-07-10,40.83,41.14,40.55,40.71,7945000,0.0
2019-07-11,41.14,41.19,40.83,40.9,6126600,0.0
2019-07-12,41.11,41.27,40.82,41.23,4695800,0.0
2019-07-15,41.75,41.93,41.66,41.82,5784300,0.0
2019-07-16,41.8,41.95,41.57,41.77,6529500,0.0
2019-07-17,41.68,41.91,41.52,41.63,5514600,0.0
2019-07-18,42.52,43.23,42.31,43.19,11257600,0.0
2019-07-19,43.08,44.02,43.07,43.83,11438800,0.0
2019-07-22,44.2,44.88,44.13,44.6,10035800,0.0
2019-07-23,44.54,44.58,44.24,44.42,6565800,0.0
2019-07-24,44.5,44.63,44.24,44.54,7130400,0.0
2019-07-25,44.21,44.24,43.62,43.62,6593900,0.0
2019-07-26,43.73,43.89,43.38,43.46,4399000,0.0
2019-07-29,43.52,43.95,43.4,43.94,4138600,0.0
2019-07-30,43.4,43.4,42.77,43.11,4938500,0.0
2019-07-31,43.03,43.17,42.05,42.63,7592300,0.0
2019-08-01,42.75,43.39,41.6,41.87,9662800,0.0
2019-08-02,41.15,41.78,41.01,41.65,9317000,0.0
2019-08-05,40.41,40.52,39.78,39.87,6668400,0.0
2019-08-06,41.18,41.51,40.89,41.26,8667700,0.0
2019-08-07,41.05,41.45,40.8,41.26,5484700,0.0
2019-08-08,41.85,42.18,41.75,41.9,7795900,0.0
2019-08-09,41.59,41.71,41.0,41.41,3480500,0.0
2019-08-12,41.05,41.27,40.85,40.96,3463500,0.0
2019-08-13,40.63,41.99,40.55,41.84,7697800,0.0
2019-08-14,40.85,41.09,40.25,40.43,9621800,0.0
2019-08-15,40.38,40.99,40.34,40.86,7690100,0.0
2019-08-16,41.18,41.73,41.15,41.54,4845700,0.0
2019-08-19,42.16,42.21,41.65,41.78,3797600,0.0
2019-08-20,42.0,42.22,41.72,41.94,7540300,0.0
2019-08-21,42.41,42.64,42.29,42.58,3914600,0.0
2019-08-22,42.39,42.49,41.73,42.13,3145600,0.0
2019-08-23,41.94,42.15,40.86,40.95,7526900,0.0
2019-08-26,41.37,41.55,41.13,41.34,5519000,0.0
2019-08-27,41.55,41.68,41.27,41.35,4192800,0.0
2019-08-28,41.32,41.77,41.05,41.65,3586000,0.0
2019-08-29,42.34,42.57,42.23,42.28,5171600,0.0
2019-08-30,42.71,42.89,42.36,42.63,5382200,0.0
2019-09-03,42.15,42.16,41.58,41.72,4748000,0.0
2019-09-04,42.61,43.15,42.39,43.15,4460900,0.0
2019-09-05,43.76,44.51,43.76,44.24,7698300,0.0
2019-09-06,44.0,44.04,43.69,43.71,4325300,0.0
2019-09-09,43.91,44.08,43.54,43.85,4677000,0.0
2019-09-10,43.6,44.1,43.36,44.1,5001600,0.0
2019-09-11,43.91,44.27,43.84,44.22,4016800,0.0
2019-09-12,44.29,44.46,43.93,44.07,6577900,0.0
2019-09-13,44.43,44.83,44.19,44.74,6231100,0.0
2019-09-16,44.53,44.74,44.49,44.6,3716300,0.0
2019-09-17,44.28,45.15,44.21,45.13,6110900,0.0
2019-09-18,45.17,45.2,44.61,45.04,4044800,0.0
2019-09-19,44.8,45.22,44.76,44.9,6422700,0.322
2019-09-20,44.77,44.9,43.87,43.87,7249200,0.0
2019-09-23,44.18,44.29,43.85,44.07,4347000,0.0
2019-09-24,44.4,44.55,44.06,44.12,7592200,0.0
2019-09-25,44.2,45.1,44.0,45.01,6719500,0.0
2019-09-26,45.1,46.51,45.1,46.46,15832500,0.0
2019-09-27,46.0,46.48,45.19,45.51,9610400,0.0
2019-09-30,46.57,46.74,46.12,46.48,8396900,0.0
2019-10-01,46.96,47.85,46.96,47.19,11575200,0.0
2019-10-02,46.71,46.94,46.33,46.43,5785200,0.0
2019-10-03,46.45,47.14,46.24,47.13,6091600,0.0
2019-10-04,47.03,47.45,46.78,47.42,5704200,0.0
2019-10-07,47.73,48.15,47.43,47.95,11059000,0.0
2019-10-08,48.26,48.4,47.6,47.86,13089700,0.0
2019-10-09,48.2,49.06,48.17,48.68,11033100,0.0
2019-10-10,48.91,49.39,48.49,48.93,9566500,0.0
2019-10-11,49.45,49.79,49.33,49.42,7499100,0.0
2019-10-14,49.42,50.13,49.3,49.91,7974000,0.0
2019-10-15,50.2,50.64,50.11,50.39,9323200,0.0
2019-10-16,50.34,51.13,50.07,50.13,13615700,0.0
2019-10-17,51.14,51.21,49.26,49.75,12410200,0.0
2019-10-18,49.65,50.09,49.13,49.28,9169200,0.0
2019-10-21,49.53,50.11,49.33,50.0,6538900,0.0
2019-10-22,50.3,50.83,50.18,50.64,10697300,0.0
2019-10-23,50.1,50.4,49.92,50.17,7118800,0.0
2019-10-24,50.49,51.05,50.23,50.95,7006600,0.0
2019-10-25,50.8,51.23,50.69,51.13,6303500,0.0
2019-10-28,51.4,51.48,51.05,51.31,7725500,0.0
2019-10-29,51.5,51.84,51.44,51.47,5303900,0.0
2019-10-30,51.79,52.06,51.57,51.91,5198100,0.0
2019-10-31,51.89,51.93,51.35,51.63,5140800,0.0
2019-11-01,51.89,52.1,51.7,52.1,5226600,0.0
2019-11-04,53.55,53.79,53.12,53.49,7233400,0.0
2019-11-05,53.63,53.97,53.49,53.55,5287100,0.0
2019-11-06,53.7,53.75,53.1,53.64,4545100,0.0
2019-11-07,53.9,54.37,53.52,53.67,7890900,0.0
2019-11-08,53.53,53.53,52.53,52.83,6558400,0.0
2019-11-11,52.39,52.75,52.16,52.6,4046500,0.0
2019-11-12,52.69,52.69,52.03,52.15,8625100,0.0
2019-11-13,52.58,52.94,52.15,52.88,5336200,0.0
2019-11-14,52.5,52.73,52.13,52.48,5308600,0.0
2019-11-15,53.01,53.39,52.88,53.29,5986400,0.0
2019-11-18,53.39,53.96,53.39,53.42,4774400,0.0
2019-11-19,54.05,54.14,53.68,53.76,4731100,0.0
2019-11-20,53.55,53.78,53.21,53.5,5264800,0.0
2019-11-21,53.5,53.51,52.94,52.98,6037000,0.0
2019-11-22,52.92,53.16,52.74,52.79,4172300,0.0
2019-11-25,53.09,53.94,52.8,53.76,5021500,0.0
2019-11-26,53.5,53.79,53.38,53.63,5672800,0.0
2019-11-27,54.03,54.06,53.54,53.89,2786100,0.0
2019-11-29,53.06,53.16,52.8,53.09,3391700,0.0
2019-12-02,53.55,53.59,52.78,52.98,4475800,0.0
2019-12-03,52.42,52.93,52.18,52.78,5468100,0.0
2019-12-04,53.27,53.57,53.11,53.18,3905200,0.0
2019-12-05,53.62,54.54,53.49,54.4,7624300,0.0
2019-12-06,54.5,55.03,54.5,54.94,5429100,0.0
2019-12-09,55.05,55.19,54.32,54.46,6541900,0.0
2019-12-10,54.68,55.06,54.33,54.52,4364800,0.0
2019-12-11,55.04,56.2,55.03,55.9,11028000,0.0
2019-12-12,57.25,58.62,57.02,58.61,15788700,0.0
2019-12-13,59.05,59.52,58.25,58.25,9886900,0.0
2019-12-16,58.29,58.7,58.29,58.54,5779400,0.0
2019-12-17,59.71,59.71,58.78,59.23,8407500,0.0
2019-12-18,59.6,59.64,58.72,59.1,10021200,0.0
2019-12-19,58.5,58.5,57.88,57.96,7228700,0.41
2019-12-20,57.78,58.3,57.32,57.93,8043800,0.0
2019-12-23,58.03,58.34,57.95,58.22,4022000,0.0
2019-12-24,57.99,58.09,57.55,57.76,2692200,0.0
2019-12-26,57.8,58.35,57.76,58.25,2490400,0.0
2019-12-27,58.53,58.71,58.33,58.46,2847800,0.0
2019-12-30,58.66,58.69,57.62,57.85,3519900,0.0
2019-12-31,57.68,58.13,57.46,58.1,2950200,0.0
2020-01-02,59.6,60.12,59.6,60.04,8432600,0.0
2020-01-03,58.97,58.98,58.04,58.06,10546400,0.0
2020-01-06,57.6,57.69,57.13,57.39,8897200,0.0
2020-01-07,57.45,58.6,56.74,58.32,7444300,0.0
2020-01-08,58.19,58.98,58.11,58.75,5381500,0.0
2020-01-09,59.69,59.71,58.7,59.23,5112700,0.0
2020-01-10,59.7,59.7,58.77,58.86,4807700,0.0
2020-01-13,60.15,60.16,59.45,60.06,6613700,0.0
2020-01-14,60.16,60.64,59.92,60.32,6715200,0.0
2020-01-15,59.67,59.7,58.26,58.39,10075100,0.0
2020-01-16,59.2,59.69,58.3,58.75,11215700,0.0
2020-01-17,58.64,58.75,58.01,58.58,8125700,0.0
2020-01-21,57.99,59.0,57.47,58.24,9873700,0.0
2020-01-22,58.9,58.94,58.32,58.35,8124500,0.0
2020-01-23,57.86,58.07,56.62,57.48,9999200,0.0
2020-01-24,58.09,58.14,57.46,57.73,10402200,0.0
2020-01-27,55.62,55.99,55.06,55.26,9675500,0.0
2020-01-28,55.73,57.12,55.48,57.09,8124400,0.0
2020-01-29,57.52,57.52,56.85,57.19,7693400,0.0
2020-01-30,55.08,56.04,55.06,55.8,10295700,0.0
2020-01-31,55.43,55.48,53.6,53.94,13467200,0.0
2020-02-03,54.35,54.94,54.14,54.77,9596000,0.0
2020-02-04,56.92,57.64,56.9,57.52,12746600,0.0
2020-02-05,58.1,58.15,57.17,57.92,6594400,0.0
2020-02-06,58.27,58.28,57.28,58.02,4236300,0.0
2020-02-07,57.14,57.14,56.06,56.2,6808400,0.0
2020-02-10,56.44,57.05,56.34,57.02,4281200,0.0
2020-02-11,57.95,58.9,57.81,58.66,6523200,0.0
2020-02-12,59.25,59.75,58.9,59.63,5962900,0.0
2020-02-13,59.13,59.7,58.74,59.33,6460100,0.0
2020-02-14,59.02,59.17,57.87,58.19,6932400,0.0
2020-02-18,56.1,56.56,55.63,56.18,10989000,0.0
2020-02-19,57.25,57.94,57.0,57.64,7866300,0.0
2020-02-20,56.94,57.04,55.81,56.48,7192900,0.0
2020-02-21,56.65,56.65,55.52,55.59,6816600,0.0
2020-02-24,53.55,54.69,53.18,54.12,9968800,0.0
2020-02-25,55.33,55.47,53.83,53.86,12670700,0.0
2020-02-26,54.49,55.41,54.38,55.03,10969300,0.0
2020-02-27,54.2,54.6,53.27,53.29,11878900,0.0
2020-02-28,51.35,54.05,51.0,53.84,13607700,0.0
2020-03-02,54.37,56.01,53.83,55.98,13797700,0.0
2020-03-03,56.3,56.37,54.04,54.88,14661800,0.0
2020-03-04,55.97,57.09,55.55,57.08,9878200,0.0
2020-03-05,56.11,56.39,55.25,55.73,10004200,0.0
2020-03-06,54.6,55.08,53.97,55.07,12971200,0.0
2020-03-09,51.55,54.14,51.06,51.83,13781100,0.0
2020-03-10,53.71,54.62,52.49,54.51,11698700,0.0
2020-03-11,53.11,53.56,52.09,52.24,14498000,0.0
2020-03-12,49.66,50.99,48.51,48.69,15942200,0.0
2020-03-13,51.9,52.46,49.29,52.23,14948700,0.0
2020-03-16,46.34,48.35,44.9,44.9,16628200,0.0
2020-03-17,45.75,48.56,45.03,48.54,13415700,0.0
2020-03-18,43.8,46.09,43.26,44.37,15018500,0.0
2020-03-19,43.74,45.18,42.7,43.89,11182600,0.417
2020-03-20,48.02,48.28,44.48,44.53,14157700,0.0
2020-03-23,45.12,45.61,43.52,45.26,10508600,0.0
2020-03-24,48.0,48.92,47.5,48.87,12216200,0.0
2020-03-25,49.3,50.05,48.05,49.0,9796600,0.0
2020-03-26,49.1,50.46,48.92,49.87,10577500,0.0
2020-03-27,47.23,48.09,46.51,46.91,12158500,0.0
2020-03-30,47.18,48.16,46.77,47.82,8428300,0.0
2020-03-31,47.8,49.03,47.66,47.79,9595700,0.0
2020-04-01,46.83,47.56,46.3,46.51,8755200,0.0
2020-04-02,46.92,48.22,46.61,48.13,6174700,0.0
2020-04-03,47.79,48.15,46.78,47.06,5486200,0.0
2020-04-06,48.63,50.1,48.51,49.97,7370300,0.0
2020-04-07,51.29,51.32,49.66,49.72,6568700,0.0
2020-04-08,50.21,50.6,49.54,50.27,6325900,0.0
2020-04-09,50.28,50.66,47.72,48.33,12279600,0.0
2020-04-13,48.74,49.09,47.96,48.75,9873200,0.0
2020-04-14,50.0,51.27,49.95,50.63,11068800,0.0
2020-04-15,49.76,49.97,49.04,49.66,9398100,0.0
2020-04-16,51.81,53.14,51.68,52.4,18615900,0.0
2020-04-17,54.13,54.19,53.0,53.69,11288500,0.0
2020-04-20,53.0,53.82,52.56,52.59,9901700,0.0
2020-04-21,51.6,51.81,50.52,51.37,13102500,0.0
2020-04-22,52.48,53.11,52.41,52.95,8256000,0.0
2020-04-23,52.81,53.13,52.26,52.64,7619900,0.0
2020-04-24,52.6,52.89,52.0,52.73,5701800,0.0
2020-04-27,53.15,53.75,52.97,53.51,5812300,0.0
2020-04-28,53.51,53.73,52.68,52.76,8561100,0.0
2020-04-29,53.75,54.69,53.43,54.48,8565500,0.0
2020-04-30,54.2,54.41,52.96,53.13,6337900,0.0
2020-05-01,52.48,52.56,51.09,51.1,10238700,0.0
2020-05-04,51.79,52.18,51.28,52.15,7514000,0.0
2020-05-05,52.21,52.58,51.58,51.71,7780700,0.0
2020-05-06,52.11,52.62,52.0,52.13,8206700,0.0
2020-05-07,52.95,52.98,52.1,52.33,5493400,0.0
2020-05-08,52.62,53.34,52.47,52.91,6087900,0.0
2020-05-11,52.61,52.83,52.38,52.4,6459300,0.0
2020-05-12,52.64,52.64,51.08,51.1,8584500,0.0
2020-05-13,51.91,52.02,50.48,50.92,8611000,0.0
2020-05-14,50.43,52.15,49.79,52.1,13695600,0.0
2020-05-15,50.56,51.05,49.38,49.8,17777200,0.0
2020-05-18,50.94,52.19,50.77,51.87,12731100,0.0
2020-05-19,51.35,51.46,50.8,50.81,12940300,0.0
2020-05-20,51.58,52.09,50.5,51.84,8406200,0.0
2020-05-21,52.1,52.21,50.69,50.75,7842600,0.0
2020-05-22,50.84,50.86,49.61,49.8,12454500,0.0
2020-05-26,51.3,51.4,50.79,50.82,8872000,0.0
2020-05-27,51.03,51.74,50.75,51.74,11405700,0.0
2020-05-28,51.46,51.62,50.1,50.28,8178700,0.0
2020-05-29,50.34,50.73,49.86,50.33,10919200,0.0
2020-06-01,50.91,51.28,50.54,51.03,6187300,0.0
2020-06-02,51.45,52.04,51.29,52.01,6063600,0.0
2020-06-03,52.64,53.25,52.42,53.06,8380200,0.0
2020-06-04,53.06,54.37,53.03,54.28,13269500,0.0
2020-06-05,55.5,56.34,55.06,55.2,9776100,0.0
2020-06-08,55.74,55.78,54.71,55.57,6302100,0.0
2020-06-09,55.29,56.63,54.95,56.61,9355100,0.0
2020-06-10,56.82,58.04,56.82,57.55,9194300,0.0
2020-06-11,55.85,56.41,55.01,55.04,9877100,0.0
2020-06-12,56.5,56.87,55.35,56.0,9838800,0.0
2020-06-15,54.71,56.12,54.52,56.02,7509700,0.0
2020-06-16,56.59,57.0,55.54,55.8,8827200,0.0
2020-06-17,56.15,56.82,55.89,56.6,8248700,0.0
2020-06-18,56.04,56.54,55.79,56.15,6831500,0.423872
2020-06-19,56.48,56.5,55.27,55.31,6965100,0.0
2020-06-22,55.5,56.0,55.32,56.0,4480400,0.0
2020-06-23,56.64,57.16,56.53,56.76,7836500,0.0
2020-06-24,56.71,57.06,56.16,56.58,7080200,0.0
2020-06-25,56.56,57.09,55.95,57.04,4509600,0.0
2020-06-26,57.0,57.26,56.21,56.33,6229300,0.0
2020-06-29,56.34,56.41,55.66,56.39,5016600,0.0
2020-06-30,56.25,56.99,56.19,56.77,7158700,0.0
2020-07-01,56.97,57.47,56.76,56.82,6866500,0.0
2020-07-02,57.95,59.07,57.95,58.62,10021200,0.0
2020-07-06,60.67,62.13,60.56,61.88,12725600,0.0
2020-07-07,61.26,61.5,60.68,60.71,6672300,0.0
2020-07-08,61.64,62.74,61.5,62.59,8721900,0.0
2020-07-09,62.95,64.97,62.89,64.78,16903300,0.0
2020-07-10,64.47,64.56,63.19,63.85,10700000,0.0
2020-07-13,65.2,67.08,64.98,65.07,16667700,0.0
2020-07-14,66.0,67.03,65.33,66.96,10482700,0.0
2020-07-15,67.18,67.21,65.16,66.06,12432500,0.0
2020-07-16,65.38,66.63,64.32,66.59,15709400,0.0
2020-07-17,67.31,68.0,66.37,66.4,11716600,0.0
2020-07-20,66.7,66.98,65.8,66.89,6357300,0.0
2020-07-21,68.84,69.25,67.71,67.81,10621300,0.0
2020-07-22,68.1,68.9,68.03,68.53,7366100,0.0
2020-07-23,68.26,68.5,66.75,67.37,8559500,0.0
2020-07-24,71.4,76.89,71.35,73.9,41226800,0.0
2020-07-27,81.36,83.4,80.43,83.25,39899200,0.0
2020-07-28,79.35,79.58,76.49,76.92,31500100,0.0
2020-07-29,77.11,83.37,77.06,82.67,28304000,0.0
2020-07-30,80.01,81.28,78.61,79.93,16820300,0.0
2020-07-31,79.63,79.77,77.51,78.89,12027100,0.0
2020-08-03,77.77,79.15,77.41,78.95,10129800,0.0
2020-08-04,79.33,80.19,78.74,80.19,12569400,0.0
2020-08-05,80.98,84.0,80.57,81.63,14447200,0.0
2020-08-06,82.04,82.1,80.22,80.52,9838700,0.0
2020-08-07,80.49,80.79,79.41,80.03,8702100,0.0
2020-08-10,80.55,80.85,79.22,79.87,7421400,0.0
2020-08-11,79.09,79.2,77.94,77.94,7056300,0.0
2020-08-12,78.16,79.55,77.73,79.39,8359100,0.0
2020-08-13,79.0,79.1,77.83,78.3,6551800,0.0
2020-08-14,78.42,79.23,78.05,78.41,5611200,0.0
2020-08-17,79.8,80.89,79.66,80.19,8663900,0.0
2020-08-18,80.22,80.82,79.25,79.41,6804800,0.0
2020-08-19,79.01,79.23,78.25,78.54,7976800,0.0
2020-08-20,76.32,77.1,75.98,76.81,11457100,0.0
2020-08-21,78.02,78.73,77.86,78.34,7942300,0.0
2020-08-24,79.73,79.91,78.49,78.9,6405600,0.0
2020-08-25,79.85,80.48,79.47,80.04,6113100,0.0
2020-08-26,81.25,82.17,81.01,81.75,7821600,0.0
2020-08-27,82.18,82.31,80.17,80.6,8018200,0.0
2020-08-28,80.06,80.88,79.91,80.44,5699500,0.0
2020-08-31,79.0,79.76,78.69,79.25,9812900,0.0
2020-09-01,80.12,81.6,79.99,81.55,10208200,0.0
2020-09-02,81.35,82.71,79.88,82.17,12567800,0.0
2020-09-03,81.12,81.81,78.38,81.18,20090100,0.0
2020-09-04,80.5,81.47,77.41,78.91,13638700,0.0
2020-09-08,78.02,79.15,77.22,77.32,11553500,0.0
2020-09-09,78.62,79.7,78.55,79.4,7867500,0.0
2020-09-10,80.74,81.23,78.76,78.9,11241800,0.0
2020-09-11,80.01,80.3,78.6,78.82,7853500,0.0
2020-09-14,80.5,81.12,79.95,80.5,7091100,0.0
2020-09-15,81.56,86.79,81.38,85.85,21048400,0.0
2020-09-16,86.49,86.49,83.04,83.13,14492600,0.0
2020-09-17,81.0,82.29,80.61,81.91,10090200,0.426577
2020-09-18,82.37,82.84,80.11,80.23,10528300,0.0
2020-09-21,79.8,80.65,79.08,80.59,8417100,0.0
2020-09-22,80.83,80.89,79.4,80.48,6375200,0.0
2020-09-23,79.7,79.93,77.89,77.92,9094700,0.0
2020-09-24,76.82,79.0,76.17,78.38,9940900,0.0
2020-09-25,78.17,78.92,77.39,78.88,6057500,0.0
2020-09-28,80.31,80.37,79.47,79.77,5999300,0.0
2020-09-29,79.7,81.24,79.31,80.51,6114600,0.0
2020-09-30,80.59,81.94,80.57,81.07,5875200,0.0
2020-10-01,82.06,82.72,81.74,82.62,6253800,0.0
2020-10-02,80.71,82.2,80.61,80.8,6145900,0.0
2020-10-05,81.55,84.63,81.55,84.54,10129100,0.0
2020-10-06,83.77,84.45,82.77,83.12,7795600,0.0
2020-10-07,84.78,87.0,84.78,86.92,11446400,0.0
2020-10-08,88.86,88.86,86.52,87.8,10920800,0.0
