Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,69.71,71.07,69.12,70.99,2562500,0.0
2019-01-03,70.57,70.95,69.44,69.84,3077200,0.0
2019-01-04,70.87,72.29,70.41,72.23,2464600,0.0
2019-01-07,72.27,72.51,71.34,71.47,2023400,0.0
2019-01-08,72.29,72.69,71.17,71.8,2021900,0.0
2019-01-09,72.16,73.72,72.15,73.24,2322700,0.0
2019-01-10,72.92,73.97,72.51,73.91,1358700,0.0
2019-01-11,73.37,73.72,72.96,73.67,1093300,0.0
2019-01-14,73.24,73.93,72.85,73.75,1035700,0.0
2019-01-15,73.96,74.01,72.51,73.11,1689200,0.0
2019-01-16,73.03,73.42,72.65,72.75,2156100,0.0
2019-01-17,72.23,73.05,72.0,72.67,3323800,0.0
2019-01-18,73.27,74.98,73.17,74.56,2950300,0.0
2019-01-22,73.7,73.93,71.81,72.15,2115800,0.0
2019-01-23,72.69,73.31,71.56,72.51,2024500,0.0
2019-01-24,72.68,73.27,72.58,72.85,1945300,0.0
2019-01-25,73.69,74.22,73.13,73.29,1418800,0.0
2019-01-28,72.3,73.29,72.19,73.27,1940400,0.0
2019-01-29,73.69,75.31,73.41,75.06,2710100,0.0
2019-01-30,75.73,78.7,74.22,78.01,5348400,0.0
2019-01-31,77.86,77.86,76.54,77.61,3042000,0.0
2019-02-01,77.64,78.53,77.37,78.42,3104900,0.0
2019-02-04,78.53,78.53,77.6,78.11,1975200,0.0
2019-02-05,77.91,78.67,77.91,78.58,1931100,0.0
2019-02-06,78.43,78.78,78.12,78.24,1931900,0.0
2019-02-07,77.73,78.73,77.42,78.53,1733100,0.0
2019-02-08,78.32,79.08,77.75,79.07,1757500,0.0
2019-02-11,79.08,79.61,78.49,79.53,1969300,0.0
2019-02-12,79.74,80.98,79.74,80.49,2014400,0.0
2019-02-13,80.58,81.51,80.58,81.14,1410500,0.0
2019-02-14,80.99,81.05,80.24,80.29,1460900,0.0
2019-02-15,81.0,81.39,80.87,81.25,1676600,0.0
2019-02-19,80.9,82.16,80.81,81.46,1629100,0.0
2019-02-20,81.64,82.2,81.49,81.9,1334500,0.0
2019-02-21,81.58,81.92,81.23,81.89,1432200,0.0
2019-02-22,82.06,82.72,81.71,82.49,1142000,0.0
2019-02-25,82.93,83.51,82.73,82.96,1611800,0.0
2019-02-26,82.88,83.5,82.47,82.51,2056000,0.0
2019-02-27,82.2,82.99,82.03,82.98,1605800,0.0
2019-02-28,82.78,82.85,81.72,81.89,3109100,0.0
2019-03-01,82.6,82.93,81.89,82.27,1662200,0.0
2019-03-04,82.79,82.98,81.29,81.85,1883700,0.0
2019-03-05,83.02,83.02,82.21,82.23,1976100,0.0
2019-03-06,82.82,83.28,82.36,82.52,1729800,0.0
2019-03-07,81.75,81.75,80.14,80.97,1833400,0.41117
2019-03-08,80.09,80.99,79.67,80.92,2173500,0.0
2019-03-11,80.81,81.94,80.54,81.75,1706300,0.0
2019-03-12,82.02,82.29,81.75,82.22,1540700,0.0
2019-03-13,82.52,83.08,82.09,82.55,1666200,0.0
2019-03-14,82.54,82.96,82.0,82.2,1248300,0.0
2019-03-15,82.45,82.77,82.09,82.31,2246800,0.0
2019-03-18,81.92,83.06,81.92,83.05,1803000,0.0
2019-03-19,83.44,83.59,82.21,82.65,1497400,0.0
2019-03-20,82.58,82.58,80.88,81.39,1795500,0.0
2019-03-21,81.28,82.79,81.24,82.49,836600,0.0
2019-03-22,81.96,82.23,80.66,80.86,1294400,0.0
2019-03-25,81.0,81.92,80.67,81.23,1202200,0.0
2019-03-26,81.83,82.34,81.57,82.04,2005600,0.0
2019-03-27,82.2,82.54,81.69,82.13,1042500,0.0
2019-03-28,82.56,83.53,82.36,83.34,1471000,0.0
2019-03-29,83.75,84.14,83.24,83.75,1503700,0.0
2019-04-01,84.56,85.61,84.55,85.48,1841400,0.0
2019-04-02,85.69,86.11,84.97,85.54,1139200,0.0
2019-04-03,85.99,86.41,85.55,85.88,1821800,0.0
2019-04-04,86.69,87.33,86.32,87.15,2361100,0.0
2019-04-05,87.39,88.01,86.92,87.35,1448800,0.0
2019-04-08,86.89,87.31,86.8,87.3,1530800,0.0
2019-04-09,87.11,87.13,86.24,86.28,1692000,0.0
2019-04-10,86.46,86.46,85.35,86.11,1715500,0.0
2019-04-11,86.26,87.47,85.83,87.42,1716800,0.0
