Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,92.76,95.25,92.46,94.45,6478800,0.0
2019-01-03,91.83,92.79,88.68,88.88,11667500,0.0
2019-01-04,89.93,93.38,89.47,92.9,7707600,0.0
2019-01-07,92.8,95.22,92.36,94.5,5023900,0.0
2019-01-08,95.26,95.64,93.03,94.38,5863500,0.0
2019-01-09,95.05,96.49,94.72,96.24,6909400,0.0
2019-01-10,95.76,97.94,95.47,97.72,6748500,0.0
2019-01-11,97.03,99.07,96.81,98.59,4738800,0.0
2019-01-14,97.31,97.82,95.99,96.33,5060100,0.0
2019-01-15,96.99,98.04,96.64,97.63,4690800,0.0
2019-01-16,97.68,98.11,97.03,97.17,4559500,0.0
2019-01-17,96.12,98.44,95.85,97.54,6872300,0.0
2019-01-18,98.44,99.98,97.94,99.42,6677500,0.0
2019-01-22,98.43,98.43,95.82,96.62,11068600,0.0
2019-01-23,96.87,97.37,94.81,95.49,10298700,0.0
2019-01-24,97.96,102.51,97.8,102.09,14260300,0.0
2019-01-25,102.82,104.87,102.72,104.41,11041700,0.0
2019-01-28,101.88,104.13,101.76,102.68,7292700,0.0
2019-01-29,102.86,103.47,101.31,101.35,6153100,0.0
2019-01-30,101.68,102.63,100.18,102.14,6430200,0.77
2019-01-31,101.02,101.79,100.17,100.68,8272300,0.0
2019-02-01,100.55,102.06,100.26,101.99,5615000,0.0
2019-02-04,101.98,102.34,101.07,101.8,5761200,0.0
2019-02-05,102.21,102.4,100.98,102.32,6372200,0.0
2019-02-06,104.26,106.89,104.05,106.48,9907800,0.0
2019-02-07,105.1,105.58,103.14,103.86,7045700,0.0
2019-02-08,102.45,104.81,102.14,104.55,5392400,0.0
2019-02-11,104.71,105.45,104.25,104.76,4553000,0.0
2019-02-12,105.93,106.58,105.75,106.44,5316800,0.0
2019-02-13,106.79,108.12,106.66,107.15,5965200,0.0
2019-02-14,106.78,108.39,106.43,106.97,3438800,0.0
2019-02-15,107.83,107.87,106.69,107.57,3604300,0.0
2019-02-19,107.11,107.89,106.61,107.28,3188000,0.0
2019-02-20,107.72,108.46,107.24,107.94,3692800,0.0
2019-02-21,106.97,107.75,106.2,106.64,3933500,0.0
2019-02-22,107.9,108.38,106.65,107.31,4392900,0.0
2019-02-25,109.0,109.49,107.83,108.19,5750200,0.0
2019-02-26,108.15,108.17,106.83,107.27,3740100,0.0
2019-02-27,106.42,106.42,104.71,105.71,4395800,0.0
2019-02-28,105.18,105.84,104.81,105.78,5465800,0.0
2019-03-01,106.86,107.09,105.78,106.76,4164200,0.0
2019-03-04,107.46,108.13,106.0,107.4,3278500,0.0
2019-03-05,107.67,107.79,106.52,106.57,4008600,0.0
2019-03-06,106.6,106.75,105.26,105.42,3568000,0.0
2019-03-07,104.85,105.72,103.68,104.95,5431000,0.0
2019-03-08,103.69,105.11,103.35,104.86,5180800,0.0
2019-03-11,105.16,106.9,105.0,106.45,3319800,0.0
2019-03-12,106.85,107.05,105.76,106.52,3047200,0.0
2019-03-13,107.16,108.29,106.66,107.58,3911100,0.0
2019-03-14,107.26,107.68,105.97,107.1,5393700,0.0
2019-03-15,108.0,110.8,107.99,110.74,13932300,0.0
2019-03-18,110.05,111.14,108.92,109.81,4408900,0.0
2019-03-19,110.58,110.8,109.55,110.02,3592100,0.0
2019-03-20,110.14,110.9,109.03,109.63,3829400,0.0
2019-03-21,110.01,112.98,109.95,112.22,5772700,0.0
2019-03-22,111.72,112.41,109.53,109.68,3773500,0.0
2019-03-25,108.13,109.22,106.26,107.11,5479100,0.0
2019-03-26,108.28,108.75,107.39,108.33,3085500,0.0
2019-03-27,108.39,108.83,105.45,105.97,4797200,0.0
2019-03-28,105.99,106.4,103.63,104.91,5386400,0.0
2019-03-29,106.05,106.63,105.36,106.07,4327700,0.0
2019-04-01,107.99,108.96,106.93,108.64,5349800,0.0
2019-04-02,108.97,110.43,108.18,110.28,7005500,0.0
2019-04-03,111.88,114.15,111.4,112.75,7036700,0.0
2019-04-04,112.38,114.27,112.36,113.24,5035600,0.0
2019-04-05,113.81,114.12,113.31,113.63,3318300,0.0
2019-04-08,113.8,115.42,113.32,115.22,4580800,0.0
2019-04-09,114.55,114.67,113.25,113.94,4648200,0.0
2019-04-10,113.88,115.19,113.54,114.92,3013300,0.0
2019-04-11,115.06,115.43,114.13,114.88,2799300,0.0
2019-04-12,115.78,117.03,115.78,116.76,4881100,0.0
2019-04-15,116.61,117.37,114.02,115.09,4265100,0.0
2019-04-16,115.84,116.85,115.63,116.37,4133700,0.0
2019-04-17,116.97,117.85,114.91,115.6,6227500,0.0
2019-04-18,116.18,116.18,115.13,115.51,4195800,0.0
2019-04-22,114.53,115.15,113.65,114.95,3691200,0.0
2019-04-23,115.4,116.53,114.52,116.38,7547400,0.0
2019-04-24,115.0,119.32,114.85,118.43,14483900,0.0
2019-04-25,117.84,118.42,115.65,117.17,5315400,0.0
2019-04-26,116.0,117.25,115.31,117.21,3582600,0.0
2019-04-29,116.73,117.34,116.0,116.7,3407600,0.0
2019-04-30,116.88,118.37,116.66,117.83,4533200,0.0
2019-05-01,118.06,118.92,116.2,116.29,3335800,0.0
2019-05-02,116.4,118.57,116.28,117.46,4532200,0.0
2019-05-03,117.46,117.97,116.11,117.47,3689000,0.77
2019-05-06,114.12,116.0,113.5,115.86,3974300,0.0
2019-05-07,114.0,114.43,112.25,113.93,5928100,0.0
2019-05-08,112.82,114.75,112.48,112.56,4819300,0.0
2019-05-09,110.88,112.84,110.2,112.15,4817500,0.0
2019-05-10,111.86,113.13,109.36,112.6,4189900,0.0
2019-05-13,109.17,110.35,106.73,107.11,7867600,0.0
2019-05-14,108.21,109.85,107.88,109.04,4068200,0.0
2019-05-15,108.0,110.87,107.71,110.29,4803600,0.0
2019-05-16,108.93,110.63,108.1,109.21,4690600,0.0
2019-05-17,108.18,109.48,106.11,106.79,6944000,0.0
2019-05-20,103.09,105.89,103.09,104.73,7519900,0.0
2019-05-21,106.9,108.0,106.27,107.0,4977200,0.0
2019-05-22,106.59,107.89,106.4,106.78,3297000,0.0
2019-05-23,105.78,105.99,104.35,105.83,4828000,0.0
2019-05-24,106.53,107.49,104.92,105.06,2786400,0.0
2019-05-28,105.89,105.95,103.15,103.21,5707100,0.0
2019-05-29,102.66,104.9,101.57,104.15,4923400,0.0
2019-05-30,104.48,106.1,104.13,105.44,3365700,0.0
2019-05-31,104.32,106.12,104.0,104.31,4463100,0.0
2019-06-03,105.04,106.98,104.59,105.17,4504500,0.0
2019-06-04,107.16,109.25,106.35,109.12,4924700,0.0
2019-06-05,110.0,110.29,107.78,109.48,3977400,0.0
2019-06-06,109.51,110.67,108.79,110.19,4734100,0.0
2019-06-07,111.14,111.83,110.59,111.17,5408600,0.0
2019-06-10,111.76,113.51,111.0,112.63,4656800,0.0
2019-06-11,114.31,114.34,111.97,112.93,4775700,0.0
2019-06-12,112.48,112.79,109.98,110.34,4105400,0.0
2019-06-13,110.76,111.36,110.32,111.18,3392000,0.0
2019-06-14,106.84,109.05,106.8,107.31,7137800,0.0
2019-06-17,107.3,108.0,106.55,106.72,3655300,0.0
2019-06-18,108.3,111.57,107.58,111.04,5207900,0.0
2019-06-19,111.8,112.3,110.69,111.3,2745900,0.0
2019-06-20,113.87,114.35,111.71,112.71,2789900,0.0
2019-06-21,111.87,113.37,111.66,112.32,5124900,0.0
2019-06-24,112.17,113.09,111.82,112.73,3356200,0.0
2019-06-25,112.91,113.24,111.34,111.48,3426200,0.0
2019-06-26,113.41,115.02,112.77,114.43,5308200,0.0
2019-06-27,115.22,116.66,115.02,115.86,4163800,0.0
2019-06-28,116.42,116.83,114.5,114.76,6129800,0.0
2019-07-01,117.6,118.98,116.24,117.19,6139500,0.0
2019-07-02,116.99,117.0,115.11,116.06,3818600,0.0
2019-07-03,116.19,116.4,114.92,115.94,2321700,0.0
2019-07-05,114.82,116.07,114.37,115.75,2915400,0.0
2019-07-08,115.19,115.82,114.68,114.93,2974500,0.0
2019-07-09,114.6,115.92,114.39,115.78,2754000,0.0
2019-07-10,116.62,118.45,116.19,116.64,3531800,0.0
2019-07-11,116.6,116.98,115.89,116.72,3044700,0.0
2019-07-12,117.65,118.4,116.66,118.32,2292500,0.0
2019-07-15,118.5,120.0,118.49,119.84,4020600,0.0
2019-07-16,118.5,119.05,117.54,118.68,4588800,0.0
2019-07-17,118.44,118.49,116.76,117.18,4027700,0.0
2019-07-18,117.49,118.72,117.01,118.57,2913000,0.0
2019-07-19,118.75,119.0,117.04,117.26,5596300,0.0
2019-07-22,117.98,118.49,117.57,118.18,3862700,0.0
2019-07-23,119.2,120.35,118.55,120.07,7146900,0.0
2019-07-24,126.5,129.8,125.96,129.0,16553300,0.0
2019-07-25,128.59,128.8,126.57,127.35,8504500,0.0
2019-07-26,127.82,128.93,127.31,128.16,5282300,0.0
2019-07-29,128.2,130.37,127.93,129.97,6070100,0.0
2019-07-30,128.19,128.97,127.49,128.54,3487300,0.77
2019-07-31,127.82,128.57,123.04,125.01,6601600,0.0
2019-08-01,125.6,128.73,123.23,123.45,7979300,0.0
2019-08-02,123.19,124.35,121.07,121.82,7368400,0.0
2019-08-05,119.22,119.29,116.22,116.93,8689800,0.0
2019-08-06,118.36,119.35,117.03,119.0,4783900,0.0
2019-08-07,117.29,120.99,117.05,120.72,7726600,0.0
2019-08-08,121.98,124.58,121.38,124.31,6226400,0.0
2019-08-09,123.97,124.32,120.6,120.61,5777500,0.0
2019-08-12,119.61,121.07,119.47,120.08,3728400,0.0
2019-08-13,120.36,124.45,119.28,123.34,6285300,0.0
2019-08-14,120.7,122.21,120.16,120.6,4531700,0.0
2019-08-15,121.27,121.61,118.73,119.85,3352600,0.0
2019-08-16,121.28,123.21,119.85,122.82,3675100,0.0
2019-08-19,125.55,126.36,124.01,124.6,3244500,0.0
2019-08-20,124.23,125.22,123.41,124.31,2706400,0.0
2019-08-21,125.5,126.08,124.7,126.04,3866100,0.0
2019-08-22,126.11,126.6,124.19,125.21,2997800,0.0
2019-08-23,124.12,125.09,119.84,120.29,6515900,0.0
2019-08-26,122.46,122.47,120.51,121.67,3294000,0.0
2019-08-27,122.93,123.58,121.53,122.18,3679700,0.0
2019-08-28,121.37,122.98,120.53,122.74,2470800,0.0
2019-08-29,124.18,125.31,123.39,123.57,3454600,0.0
2019-08-30,124.83,125.24,123.44,123.75,2747100,0.0
2019-09-03,123.05,123.48,120.67,121.74,3913200,0.0
2019-09-04,123.95,124.94,123.85,124.59,3858200,0.0
2019-09-05,126.75,129.01,126.15,126.81,5330400,0.0
2019-09-06,127.1,127.91,126.59,127.09,2457500,0.0
2019-09-09,127.94,127.94,125.68,127.1,3813700,0.0
2019-09-10,126.01,127.06,124.9,127.04,4725600,0.0
2019-09-11,127.0,128.65,126.4,128.58,4286100,0.0
2019-09-12,129.2,130.92,128.37,130.22,4472900,0.0
2019-09-13,130.47,130.89,129.56,129.61,3110800,0.0
2019-09-16,128.76,129.48,128.09,128.36,3065800,0.0
2019-09-17,128.3,129.7,127.62,129.56,2673600,0.0
2019-09-18,129.56,129.56,127.2,129.31,2328000,0.0
2019-09-19,129.5,130.26,128.5,128.83,2608100,0.0
2019-09-20,128.3,128.75,126.22,126.67,7471500,0.0
2019-09-23,126.67,128.35,126.31,127.77,3946200,0.0
2019-09-24,128.77,128.81,124.9,125.81,4694600,0.0
2019-09-25,125.3,128.33,124.53,127.74,3293400,0.0
2019-09-26,128.28,128.67,126.64,128.11,3297700,0.0
2019-09-27,129.52,129.64,125.86,127.14,5263500,0.0
2019-09-30,127.69,129.4,127.57,129.24,4233400,0.0
2019-10-01,130.0,131.8,127.59,128.59,5093900,0.0
2019-10-02,127.26,127.78,126.22,126.84,5334600,0.0
2019-10-03,127.27,129.25,125.86,128.7,5199700,0.0
2019-10-04,129.31,130.31,128.99,130.14,3893000,0.0
2019-10-07,130.04,130.49,128.74,128.85,2426200,0.0
2019-10-08,127.42,127.87,123.63,124.98,4769100,0.0
2019-10-09,126.75,128.18,126.32,127.44,2884800,0.0
2019-10-10,127.86,129.37,127.1,127.73,2679300,0.0
2019-10-11,130.1,131.76,129.56,130.09,4717200,0.0
2019-10-14,129.58,129.94,129.07,129.75,2292900,0.0
2019-10-15,130.28,132.2,129.79,131.69,2955400,0.0
2019-10-16,130.83,131.45,129.19,129.5,4537600,0.0
2019-10-17,130.9,131.39,128.81,130.13,3003500,0.0
2019-10-18,129.79,130.42,128.55,129.46,4126000,0.0
2019-10-21,130.74,131.02,129.65,130.93,3355100,0.0
2019-10-22,130.27,131.1,128.23,128.57,5518900,0.0
2019-10-23,116.8,121.62,115.87,118.95,18450000,0.0
2019-10-24,118.81,120.29,117.32,118.41,6205400,0.0
2019-10-25,118.51,120.69,118.51,120.51,4788200,0.0
2019-10-28,121.06,122.1,119.24,120.0,6492900,0.0
2019-10-29,120.52,120.92,119.52,120.29,4622200,0.0
2019-10-30,119.73,120.07,117.58,117.79,5276200,0.9
2019-10-31,117.65,118.31,116.49,117.99,4778400,0.0
2019-11-01,119.19,119.59,117.87,118.04,4430000,0.0
2019-11-04,119.92,121.41,119.48,120.97,5175400,0.0
2019-11-05,121.1,121.73,119.66,119.86,3994500,0.0
2019-11-06,119.67,120.55,118.86,120.36,3904700,0.0
2019-11-07,120.94,121.86,119.08,119.92,4271200,0.0
2019-11-08,119.7,120.14,118.82,120.11,3804900,0.0
2019-11-11,119.07,119.7,117.97,118.08,5165300,0.0
2019-11-12,118.18,119.91,118.18,119.02,4761100,0.0
2019-11-13,118.06,118.96,117.61,118.42,4928800,0.0
2019-11-14,118.19,118.36,116.78,117.57,4568500,0.0
2019-11-15,118.57,118.76,117.56,118.0,4496800,0.0
2019-11-18,117.92,118.29,117.17,117.89,5337700,0.0
2019-11-19,118.48,118.48,116.98,117.84,3860600,0.0
2019-11-20,117.25,117.7,115.49,116.23,4368600,0.0
2019-11-21,116.2,116.35,114.59,116.1,5447700,0.0
2019-11-22,116.73,117.53,116.55,117.01,3008900,0.0
2019-11-25,117.79,119.47,117.71,119.01,3726400,0.0
2019-11-26,119.04,119.5,117.89,119.13,7099700,0.0
2019-11-27,119.91,121.81,119.5,121.73,4876200,0.0
2019-11-29,121.15,121.64,119.99,120.21,3498900,0.0
2019-12-02,120.12,120.19,117.91,118.79,4733500,0.0
2019-12-03,117.15,117.97,116.06,117.75,5307100,0.0
2019-12-04,119.98,121.47,119.41,120.28,4537600,0.0
2019-12-05,120.57,120.81,119.77,120.74,3260400,0.0
2019-12-06,121.95,122.7,121.88,122.37,3815900,0.0
2019-12-09,122.26,122.49,121.87,122.0,2801300,0.0
2019-12-10,122.19,122.99,121.17,121.37,4043400,0.0
2019-12-11,121.28,123.84,121.2,123.72,2959800,0.0
2019-12-12,123.8,126.98,123.03,126.07,5412700,0.0
2019-12-13,125.96,127.47,125.39,126.64,3451500,0.0
2019-12-16,127.58,128.67,127.07,127.07,4973100,0.0
2019-12-17,127.84,128.0,125.97,127.09,4354200,0.0
2019-12-18,127.39,127.39,126.0,126.35,5776200,0.0
2019-12-19,126.34,126.48,125.0,126.4,3961500,0.0
2019-12-20,127.25,129.04,125.85,128.95,9321400,0.0
2019-12-23,129.0,129.17,128.16,128.55,3095000,0.0
2019-12-24,128.73,128.85,127.89,128.53,1403400,0.0
2019-12-26,128.71,128.75,128.05,128.48,2339900,0.0
2019-12-27,128.86,128.92,128.09,128.57,1800600,0.0
2019-12-30,128.2,128.47,127.04,127.66,2283700,0.0
2019-12-31,127.25,128.39,127.06,128.29,2813300,0.0
2020-01-02,129.13,129.61,127.77,129.57,4614000,0.0
2020-01-03,127.46,129.25,127.23,127.85,4057200,0.0
2020-01-06,127.06,127.33,125.9,126.96,4345400,0.0
2020-01-07,129.15,130.9,128.42,129.41,7184100,0.0
2020-01-08,129.34,130.57,129.06,129.76,3546900,0.0
2020-01-09,130.7,131.74,130.24,131.33,3526600,0.0
2020-01-10,131.81,131.81,129.82,130.0,3234000,0.0
2020-01-13,130.57,130.74,129.77,129.95,4313200,0.0
2020-01-14,129.95,131.86,129.83,130.67,4626200,0.0
2020-01-15,130.43,130.43,128.86,129.17,3392300,0.0
2020-01-16,130.0,130.23,129.35,130.16,5475900,0.0
2020-01-17,130.76,132.04,130.44,131.7,5487100,0.0
2020-01-21,131.09,132.19,130.58,130.86,8631500,0.0
2020-01-22,132.02,135.7,131.82,133.34,8899700,0.0
2020-01-23,131.42,134.41,129.65,134.25,8598700,0.0
2020-01-24,134.8,135.44,129.75,130.52,5606800,0.0
2020-01-27,128.65,129.25,126.24,126.31,5890900,0.0
2020-01-28,127.15,128.31,126.76,128.04,4397500,0.0
2020-01-29,127.55,128.51,125.44,125.49,4535000,0.0
2020-01-30,123.22,124.67,122.22,124.42,5521300,0.9
2020-01-31,123.36,123.64,119.96,120.65,5782500,0.0
2020-02-03,121.06,123.68,121.06,123.4,5396400,0.0
2020-02-04,126.0,127.32,125.36,126.47,4434700,0.0
2020-02-05,128.66,132.91,128.66,132.44,7281800,0.0
