Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,12.25,12.63,12.14,12.55,3210100,0.0
2019-01-03,12.42,12.52,12.35,12.39,2534700,0.0
2019-01-04,12.67,12.91,12.61,12.84,2743500,0.0
2019-01-07,12.84,13.05,12.77,12.97,3163300,0.0
2019-01-08,13.04,13.09,12.92,13.0,2384500,0.0
2019-01-09,13.08,13.14,12.93,12.96,3655200,0.0
2019-01-10,13.02,13.17,13.01,13.1,2622300,0.0
2019-01-11,13.05,13.26,13.02,13.18,2160300,0.0
2019-01-14,13.03,13.33,13.03,13.26,2759300,0.0
2019-01-15,13.1,13.23,13.05,13.22,2680400,0.0
2019-01-16,13.36,13.57,13.34,13.54,2680300,0.0
2019-01-17,13.32,13.55,13.29,13.49,2586400,0.0
2019-01-18,13.57,13.62,13.49,13.61,2937900,0.0
2019-01-22,12.91,13.06,12.85,12.94,5007400,0.0
2019-01-23,13.18,13.19,13.01,13.05,2790600,0.0
2019-01-24,13.01,13.13,12.94,13.07,2265600,0.0
2019-01-25,13.07,13.18,13.06,13.1,2884400,0.0
2019-01-28,12.97,13.09,12.95,13.04,4429400,0.0
2019-01-29,13.09,13.15,12.99,13.01,2517200,0.0
2019-01-30,13.1,13.26,13.05,13.2,2176500,0.0
2019-01-31,12.91,13.0,12.86,12.96,2367000,0.0
2019-02-01,12.84,12.94,12.78,12.87,3237900,0.0
2019-02-04,12.77,12.85,12.71,12.83,2622800,0.0
2019-02-05,12.96,13.07,12.95,13.02,1796100,0.0
2019-02-06,13.04,13.1,12.98,12.99,2195900,0.0
2019-02-07,12.92,12.94,12.73,12.77,2844000,0.0
2019-02-08,12.65,12.71,12.52,12.68,2054300,0.0
2019-02-11,12.78,12.81,12.67,12.69,1454600,0.0
2019-02-12,12.74,12.85,12.73,12.82,1801600,0.0
2019-02-13,12.97,13.0,12.9,12.91,1305300,0.0
2019-02-14,12.72,12.77,12.64,12.68,1833900,0.0
2019-02-15,12.88,12.96,12.86,12.95,2485500,0.0
2019-02-19,12.7,12.94,12.68,12.92,3522600,0.0
2019-02-20,12.49,12.56,12.34,12.46,6228400,0.0
2019-02-21,12.29,12.36,12.27,12.33,3247900,0.0
2019-02-22,12.42,12.44,12.33,12.34,1892300,0.0
2019-02-25,12.5,12.58,12.43,12.46,3588500,0.0
2019-02-26,12.55,12.65,12.55,12.61,2287900,0.0
2019-02-27,12.63,12.69,12.6,12.65,1463000,0.0
2019-02-28,12.79,12.81,12.66,12.67,1997000,0.0
2019-03-01,12.76,12.84,12.71,12.71,2432500,0.0
2019-03-04,12.74,12.78,12.55,12.63,4738200,0.0
2019-03-05,12.51,12.52,12.4,12.49,3173000,0.0
2019-03-06,12.55,12.56,12.32,12.36,3256400,0.0
2019-03-07,12.15,12.16,11.98,12.01,4996500,0.0
2019-03-08,11.79,11.96,11.79,11.93,3308700,0.0
2019-03-11,12.1,12.17,12.06,12.1,3956800,0.0
2019-03-12,12.12,12.17,12.07,12.11,2161600,0.0
2019-03-13,12.19,12.27,12.19,12.25,1691900,0.0
2019-03-14,12.31,12.35,12.26,12.28,1757100,0.0
2019-03-15,12.13,12.24,12.12,12.23,3960300,0.0
2019-03-18,12.48,12.53,12.47,12.51,2751900,0.0
2019-03-19,12.71,12.77,12.54,12.57,4399800,0.0
2019-03-20,12.35,12.44,12.28,12.32,3751100,0.0
2019-03-21,12.2,12.3,12.2,12.24,3091200,0.0
2019-03-22,12.05,12.07,11.88,11.88,7156600,0.0
2019-03-25,11.88,11.95,11.8,11.85,4109200,0.0
2019-03-26,11.97,12.02,11.84,11.92,5383000,0.0
2019-03-27,12.14,12.19,12.01,12.02,3957400,0.0
2019-03-28,11.99,12.03,11.92,11.99,3629200,0.0
2019-03-29,12.14,12.2,12.06,12.11,2927700,0.0
2019-04-01,12.28,12.44,12.28,12.4,5598500,0.0
2019-04-02,12.38,12.42,12.28,12.41,2959000,0.0
2019-04-03,12.54,12.6,12.49,12.53,3708700,0.0
2019-04-04,12.55,12.65,12.55,12.59,2332900,0.0
2019-04-05,12.6,12.64,12.53,12.56,2062800,0.0
2019-04-08,12.53,12.56,12.48,12.53,1685000,0.0
2019-04-09,12.56,12.56,12.48,12.52,2382900,0.0
2019-04-10,12.49,12.51,12.41,12.47,1604500,0.0
2019-04-11,12.63,12.75,12.6,12.72,3841500,0.0
2019-04-12,12.92,12.99,12.82,12.85,3926500,0.0
2019-04-15,12.95,12.98,12.88,12.92,3881000,0.0
2019-04-16,13.02,13.15,13.02,13.12,3669900,0.0
2019-04-17,13.28,13.34,13.22,13.33,2352100,0.0
2019-04-18,13.28,13.32,13.21,13.26,2737400,0.0
2019-04-22,13.23,13.28,13.17,13.26,2559700,0.0
2019-04-23,13.11,13.2,13.05,13.09,3318400,0.0
2019-04-24,13.21,13.21,13.09,13.17,3043700,0.0
2019-04-25,13.25,13.39,13.25,13.3,5785100,0.0
2019-04-26,13.27,13.34,13.22,13.29,2894600,0.0
2019-04-29,13.42,13.55,13.41,13.53,2705300,0.0
2019-04-30,13.52,13.54,13.36,13.44,2194800,0.0
2019-05-01,13.4,13.52,13.27,13.28,3052700,0.0
2019-05-02,13.39,13.44,13.31,13.38,2934700,0.0
2019-05-03,13.36,13.39,13.23,13.33,5274900,0.0
2019-05-06,12.47,12.59,12.43,12.56,3436500,0.689
2019-05-07,12.3,12.32,12.18,12.22,3835400,0.0
2019-05-08,12.26,12.36,12.22,12.27,3839300,0.0
2019-05-09,11.98,12.16,11.9,12.12,4409100,0.0
2019-05-10,12.03,12.16,11.96,12.13,3012100,0.0
2019-05-13,11.8,11.88,11.76,11.79,4203000,0.0
2019-05-14,11.73,11.89,11.7,11.81,3149100,0.0
2019-05-15,11.71,11.86,11.67,11.79,3025200,0.0
2019-05-16,11.96,12.1,11.95,11.99,6006900,0.0
2019-05-17,11.9,12.07,11.9,11.96,2335400,0.0
2019-05-20,11.9,12.02,11.88,12.0,3034400,0.0
2019-05-21,12.0,12.06,11.94,12.04,2062100,0.0
2019-05-22,11.93,11.98,11.9,11.91,1655800,0.0
2019-05-23,11.68,11.79,11.65,11.77,2555900,0.0
2019-05-24,11.86,11.93,11.81,11.91,2477300,0.0
2019-05-28,11.78,11.79,11.66,11.66,2364300,0.0
2019-05-29,11.56,11.66,11.5,11.62,2199400,0.0
2019-05-30,11.66,11.72,11.54,11.57,1863400,0.0
2019-05-31,11.46,11.52,11.37,11.43,3454400,0.0
2019-06-03,11.33,11.49,11.32,11.47,3540400,0.0
2019-06-04,11.68,11.77,11.63,11.77,4045600,0.0
2019-06-05,11.85,11.85,11.69,11.75,2696600,0.0
2019-06-06,11.79,11.82,11.66,11.77,2267100,0.0
2019-06-07,11.84,11.88,11.77,11.8,1743400,0.0
2019-06-10,11.88,11.97,11.85,11.86,2078200,0.0
2019-06-11,11.97,11.99,11.9,11.92,2380600,0.0
2019-06-12,11.79,11.83,11.72,11.74,1711600,0.0
2019-06-13,11.71,11.76,11.65,11.69,1870600,0.0
2019-06-14,11.55,11.57,11.49,11.54,2635200,0.0
2019-06-17,11.56,11.6,11.47,11.48,2342500,0.0
2019-06-18,11.51,11.73,11.51,11.67,3054700,0.0
2019-06-19,11.78,11.91,11.76,11.76,2605300,0.0
2019-06-20,11.8,11.82,11.67,11.76,2447800,0.0
2019-06-21,11.7,11.74,11.64,11.64,1860700,0.0
2019-06-24,11.68,11.71,11.64,11.66,2583300,0.0
2019-06-25,11.57,11.63,11.55,11.58,2390200,0.0
2019-06-26,11.65,11.71,11.61,11.68,1638400,0.0
2019-06-27,11.91,11.99,11.84,11.84,2311100,0.0
2019-06-28,11.88,11.94,11.82,11.85,2522600,0.0
2019-07-01,12.05,12.08,11.84,11.9,3715900,0.0
2019-07-02,11.9,11.95,11.89,11.93,1777000,0.0
2019-07-03,12.01,12.04,11.98,11.99,1048700,0.0
2019-07-05,12.18,12.25,12.08,12.14,1890500,0.0
2019-07-08,12.02,12.08,11.95,11.96,2353100,0.0
2019-07-09,11.84,11.93,11.84,11.88,1884700,0.0
2019-07-10,12.13,12.15,12.01,12.02,2539700,0.0
2019-07-11,12.04,12.17,12.04,12.16,4071000,0.0
2019-07-12,12.2,12.24,12.18,12.22,3853800,0.0
2019-07-15,12.11,12.2,12.07,12.15,3081300,0.0
2019-07-16,12.19,12.24,12.1,12.11,2255600,0.0
2019-07-17,12.17,12.19,12.04,12.04,3345500,0.0
2019-07-18,12.05,12.13,12.04,12.13,1817400,0.0
2019-07-19,11.98,12.05,11.95,11.97,2498100,0.0
2019-07-22,12.09,12.12,12.0,12.11,3310400,0.0
2019-07-23,12.26,12.35,12.22,12.29,4478200,0.0
2019-07-24,11.75,11.86,11.72,11.84,5593800,0.0
2019-07-25,11.69,11.7,11.41,11.46,5361000,0.0
2019-07-26,11.46,11.47,11.37,11.38,3564100,0.0
2019-07-29,11.52,11.54,11.36,11.36,5345000,0.0
2019-07-30,11.22,11.29,11.19,11.25,3877300,0.0
2019-07-31,11.26,11.29,11.13,11.17,2965600,0.0
2019-08-01,11.15,11.24,10.84,10.86,5961200,0.0
2019-08-02,11.04,11.15,10.94,11.12,6820200,0.0
2019-08-05,11.08,11.09,10.83,10.89,8022800,0.0
2019-08-06,10.95,10.99,10.77,10.99,5881600,0.0
2019-08-07,10.68,10.82,10.63,10.81,3846800,0.0
2019-08-08,10.81,10.92,10.78,10.87,2325700,0.0
2019-08-09,10.9,10.94,10.81,10.88,2518000,0.0
2019-08-12,10.73,10.77,10.62,10.64,2355600,0.0
2019-08-13,10.52,10.68,10.48,10.63,5789400,0.0
2019-08-14,10.23,10.25,10.13,10.16,4339000,0.0
2019-08-15,10.22,10.29,10.12,10.16,5377800,0.0
2019-08-16,10.25,10.42,10.25,10.4,3607300,0.0
2019-08-19,10.52,10.56,10.47,10.48,1895800,0.0
2019-08-20,10.47,10.48,10.4,10.41,2414100,0.0
2019-08-21,10.55,10.56,10.47,10.47,2177000,0.0
2019-08-22,10.63,10.68,10.56,10.63,1657200,0.0
2019-08-23,10.63,10.7,10.46,10.48,2157000,0.0
2019-08-26,10.57,10.6,10.51,10.59,1992400,0.0
2019-08-27,10.61,10.62,10.46,10.48,1704800,0.0
2019-08-28,10.38,10.55,10.38,10.51,2487000,0.0
2019-08-29,10.57,10.61,10.53,10.58,1956400,0.0
2019-08-30,10.6,10.67,10.57,10.6,2583900,0.0
2019-09-03,10.54,10.54,10.41,10.48,2922500,0.0
2019-09-04,10.54,10.59,10.47,10.59,3372900,0.0
2019-09-05,10.76,10.85,10.75,10.81,3479200,0.0
2019-09-06,10.85,10.9,10.81,10.88,1358000,0.0
2019-09-09,11.05,11.16,11.03,11.14,4377300,0.0
2019-09-10,11.57,11.61,11.4,11.49,4995200,0.0
2019-09-11,11.52,11.58,11.44,11.58,2384400,0.0
2019-09-12,11.45,11.59,11.4,11.53,2943300,0.0
2019-09-13,11.77,11.8,11.7,11.73,3759200,0.0
2019-09-16,11.58,11.62,11.54,11.58,2430200,0.0
2019-09-17,11.39,11.44,11.32,11.44,2238200,0.0
2019-09-18,11.43,11.47,11.35,11.44,1753100,0.0
2019-09-19,11.56,11.62,11.51,11.52,1776800,0.0
2019-09-20,11.54,11.57,11.45,11.45,2617400,0.0
2019-09-23,11.27,11.37,11.23,11.35,1807800,0.0
2019-09-24,11.35,11.36,11.21,11.23,2837300,0.0
2019-09-25,11.13,11.23,11.12,11.23,2324200,0.0
2019-09-26,11.2,11.27,11.19,11.21,1889000,0.0
2019-09-27,11.31,11.37,11.25,11.32,1893500,0.0
2019-09-30,11.39,11.4,11.31,11.31,1829100,0.0
2019-10-01,11.3,11.34,11.12,11.14,3684900,0.0
2019-10-02,10.88,10.92,10.71,10.73,7199600,0.0
2019-10-03,10.61,10.69,10.52,10.63,3699700,0.0
2019-10-04,10.63,10.74,10.61,10.73,1961400,0.0
2019-10-07,10.74,10.76,10.67,10.68,1955700,0.0
2019-10-08,10.59,10.66,10.53,10.59,2480400,0.0
2019-10-09,10.6,10.64,10.53,10.58,2326400,0.0
2019-10-10,10.72,10.8,10.69,10.78,3091300,0.0
2019-10-11,11.1,11.16,11.07,11.1,2789200,0.0
2019-10-14,11.1,11.15,11.05,11.05,1739700,0.0
2019-10-15,11.13,11.31,11.07,11.26,2532200,0.0
2019-10-16,11.34,11.39,11.17,11.18,4754800,0.0
2019-10-17,11.36,11.4,11.25,11.26,3757000,0.0
2019-10-18,11.3,11.37,11.3,11.35,2274300,0.0
2019-10-21,11.6,11.66,11.53,11.54,3980600,0.0
2019-10-22,11.54,11.63,11.45,11.5,3031300,0.0
2019-10-23,11.61,11.67,11.59,11.64,3252800,0.0
2019-10-24,11.78,11.85,11.64,11.69,2868100,0.0
2019-10-25,11.74,11.82,11.71,11.77,2552700,0.0
2019-10-28,11.91,12.01,11.91,11.95,2742900,0.0
2019-10-29,12.04,12.1,12.02,12.08,4088500,0.0
2019-10-30,11.89,11.89,11.78,11.84,2510900,0.0
2019-10-31,11.79,11.81,11.67,11.77,3331000,0.0
2019-11-01,11.83,11.99,11.83,11.96,2261400,0.0
2019-11-04,12.25,12.34,12.22,12.33,3996500,0.0
2019-11-05,12.34,12.38,12.32,12.37,2392800,0.0
2019-11-06,12.39,12.46,12.32,12.37,2484300,0.0
2019-11-07,12.52,12.58,12.49,12.52,2463600,0.0
2019-11-08,12.44,12.44,12.36,12.41,1763600,0.0
2019-11-11,12.31,12.41,12.29,12.4,1542200,0.0
2019-11-12,12.34,12.4,12.3,12.33,1485600,0.0
2019-11-13,12.14,12.19,12.12,12.15,1443400,0.0
2019-11-14,12.16,12.17,12.1,12.15,1414100,0.0
2019-11-15,12.19,12.23,12.17,12.21,1489700,0.0
2019-11-18,12.12,12.21,12.1,12.21,1781300,0.0
2019-11-19,12.2,12.22,12.11,12.14,2529500,0.0
2019-11-20,12.04,12.11,11.99,12.05,2443200,0.0
2019-11-21,12.08,12.1,11.98,12.07,3015100,0.0
2019-11-22,12.17,12.24,12.16,12.22,1827200,0.0
2019-11-25,12.26,12.37,12.24,12.36,1825500,0.0
2019-11-26,12.31,12.31,12.16,12.2,1895100,0.0
2019-11-27,12.22,12.29,12.2,12.26,2045200,0.0
2019-11-29,12.18,12.18,12.12,12.15,1752500,0.0
2019-12-02,12.16,12.2,12.05,12.06,2438300,0.0
2019-12-03,11.91,11.91,11.81,11.87,2134500,0.0
2019-12-04,11.87,11.97,11.85,11.95,2162600,0.0
2019-12-05,11.98,12.01,11.93,11.99,1757300,0.0
2019-12-06,12.06,12.08,12.0,12.03,2230200,0.0
2019-12-09,12.06,12.12,12.02,12.02,1516800,0.0
2019-12-10,11.99,12.02,11.94,11.94,1649500,0.0
2019-12-11,11.95,11.99,11.89,11.91,1607700,0.0
2019-12-12,12.0,12.2,12.0,12.16,3187700,0.0
2019-12-13,12.26,12.37,12.22,12.27,2995900,0.0
2019-12-16,12.47,12.52,12.44,12.45,2141400,0.0
2019-12-17,12.48,12.57,12.48,12.56,1821100,0.0
