Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,53.52,53.8,53.2,53.48,1769000,0.0
2019-01-03,53.17,53.62,53.09,53.2,2280800,0.0
2019-01-04,53.41,54.12,53.36,53.93,1804300,0.0
2019-01-07,53.37,53.71,53.34,53.56,1087400,0.0
2019-01-08,53.02,53.57,53.01,53.54,2047400,0.0
2019-01-09,53.21,53.45,53.01,53.15,4184000,0.0
2019-01-10,53.22,53.52,53.1,53.37,2689800,0.0
2019-01-11,53.66,53.72,53.5,53.56,877000,0.0
2019-01-14,53.03,53.09,52.7,52.76,1281700,0.0
2019-01-15,53.01,53.44,52.97,53.31,1045800,0.0
2019-01-16,52.76,52.88,52.4,52.62,1043300,0.0
2019-01-17,52.57,53.13,52.57,52.95,1234300,0.0
2019-01-18,53.28,53.47,53.13,53.3,1669700,0.0
2019-01-22,52.8,53.15,52.73,53.13,1788500,0.0
2019-01-23,53.83,53.97,53.53,53.87,1740800,0.0
2019-01-24,53.78,53.78,52.89,53.17,1416800,0.0
2019-01-25,53.11,53.35,52.98,53.13,1219600,0.0
2019-01-28,52.77,53.16,52.62,53.13,1581600,0.0
2019-01-29,53.9,54.06,53.6,53.81,1847800,0.0
2019-01-30,53.88,54.03,53.63,53.85,1957000,0.0
2019-01-31,53.07,53.53,52.94,53.51,1759000,0.0
2019-02-01,54.15,54.2,53.92,54.02,1994500,0.0
2019-02-04,54.66,54.69,54.35,54.62,1059700,0.0
2019-02-05,55.28,55.67,55.18,55.61,1747800,0.0
2019-02-06,55.27,55.36,54.78,54.94,1750900,0.0
2019-02-07,54.86,55.11,54.77,55.08,1159900,0.0
2019-02-08,54.88,55.11,54.75,55.09,966500,0.0
2019-02-11,54.72,54.93,54.61,54.73,1083700,0.0
2019-02-12,55.19,55.64,55.11,55.55,1125000,0.0
2019-02-13,55.5,55.76,55.34,55.44,1074900,0.0
2019-02-14,55.03,55.34,54.88,55.11,873200,0.442
2019-02-15,55.38,55.41,55.12,55.15,1381300,0.0
