Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,19.3,19.79,19.19,19.72,5106800,0.0
2019-01-03,19.75,19.82,19.55,19.64,5659100,0.0
2019-01-04,19.87,20.07,19.83,20.03,5868300,0.0
2019-01-07,20.0,20.24,19.92,20.18,5996100,0.0
2019-01-08,19.85,19.91,19.61,19.72,5845000,0.0
2019-01-09,19.36,19.58,19.2,19.51,5354200,0.0
2019-01-10,19.52,19.73,19.48,19.58,4408000,0.0
2019-01-11,19.49,19.82,19.42,19.7,6235600,0.0
2019-01-14,19.28,19.35,19.12,19.28,6084800,0.0
2019-01-15,18.97,19.14,18.92,19.04,4845100,0.0
2019-01-16,19.02,19.2,18.99,19.11,4211700,0.0
2019-01-17,19.0,19.24,18.98,19.19,4374600,0.0
2019-01-18,19.2,19.4,19.2,19.3,5476900,0.0
2019-01-22,19.21,19.26,19.13,19.18,4847200,0.0
2019-01-23,19.49,19.68,19.47,19.51,4610000,0.0
2019-01-24,18.97,18.99,18.51,18.56,8141000,0.0
2019-01-25,18.09,18.14,17.86,17.97,10691300,0.0
2019-01-28,17.9,17.98,17.78,17.86,9254800,0.0
2019-01-29,17.95,17.98,17.7,17.76,5637500,0.0
2019-01-30,17.9,17.98,17.77,17.97,5634200,0.0
2019-01-31,18.15,18.29,18.02,18.24,6403500,0.0
2019-02-01,18.04,18.24,18.03,18.21,4915000,0.0
2019-02-04,17.98,18.11,17.9,18.05,4809200,0.0
2019-02-05,18.26,18.31,18.19,18.25,3373400,0.0
2019-02-06,18.51,18.61,18.36,18.39,5584800,0.0
2019-02-07,18.25,18.29,18.01,18.05,4331000,0.0
2019-02-08,17.91,18.07,17.84,18.04,3847700,0.0
2019-02-11,18.19,18.2,18.07,18.12,3322200,0.0
2019-02-12,18.06,18.11,17.91,17.97,4833200,0.0
2019-02-13,18.01,18.09,17.9,17.93,4095900,0.0
2019-02-14,17.8,18.01,17.79,17.94,4574700,0.0
2019-02-15,18.13,18.27,18.06,18.26,5955900,0.0
2019-02-19,18.23,18.52,18.2,18.44,4839200,0.0
2019-02-20,18.53,18.62,18.43,18.51,4700100,0.0
2019-02-21,18.29,18.44,18.21,18.28,3887000,0.0
2019-02-22,18.53,18.62,18.42,18.45,3426900,0.0
2019-02-25,18.48,18.5,18.16,18.2,4276100,0.0
2019-02-26,18.06,18.13,17.99,17.99,5360400,0.0
2019-02-27,17.99,18.03,17.72,17.83,4699500,0.0
2019-02-28,17.85,17.91,17.79,17.85,4310600,0.0
2019-03-01,17.95,18.03,17.56,17.6,5938800,0.0
2019-03-04,17.4,17.44,17.05,17.07,11262400,0.0
2019-03-05,17.56,17.66,17.44,17.51,9537400,0.0
2019-03-06,17.82,17.82,17.52,17.64,6604000,0.0
2019-03-07,17.7,17.79,17.52,17.69,4086300,0.0
2019-03-08,17.86,17.91,17.69,17.83,4983300,0.0
2019-03-11,17.91,18.24,17.86,18.19,4792100,0.0
2019-03-12,18.1,18.27,18.05,18.16,3867800,0.0
2019-03-13,18.37,18.46,18.2,18.42,6048900,0.0
2019-03-14,18.6,18.65,18.53,18.59,3807100,0.0
2019-03-15,18.9,19.06,18.85,19.04,6516900,0.0
2019-03-18,19.07,19.11,18.94,19.09,2958300,0.0
2019-03-19,19.29,19.33,19.17,19.23,3800300,0.0
2019-03-20,19.25,19.4,19.14,19.27,5852500,0.0
2019-03-21,19.27,19.28,19.0,19.11,6842300,0.0
2019-03-22,19.13,19.19,18.89,18.94,9118800,0.0
2019-03-25,18.89,18.97,18.52,18.59,6215900,0.0
2019-03-26,18.8,18.91,18.74,18.88,4653100,0.0
2019-03-27,18.76,18.78,18.54,18.59,3537000,0.0
2019-03-28,18.41,18.43,18.04,18.13,3990400,0.0
2019-03-29,18.07,18.19,17.97,18.18,4047400,0.0
2019-04-01,18.56,18.68,18.46,18.6,4132500,0.0
2019-04-02,18.47,18.59,18.43,18.56,3178200,0.0
2019-04-03,18.8,18.92,18.8,18.88,3666500,0.0
2019-04-04,18.79,18.94,18.78,18.87,2840900,0.0
2019-04-05,18.31,18.4,18.23,18.35,4058900,0.0
2019-04-08,18.39,18.4,18.22,18.35,2847100,0.0
2019-04-09,18.36,18.38,18.27,18.29,2397500,0.0
2019-04-10,18.3,18.35,18.23,18.25,3560700,0.0
2019-04-11,18.2,18.22,18.0,18.08,4566900,0.0
2019-04-12,18.33,18.43,18.31,18.34,3342700,0.0
2019-04-15,18.52,18.67,18.45,18.61,3599700,0.0
2019-04-16,18.77,18.78,18.55,18.59,2780500,0.0
2019-04-17,18.69,18.79,18.61,18.71,3501100,0.0
2019-04-18,18.56,18.58,18.44,18.52,2492400,0.0
2019-04-22,18.51,18.53,18.38,18.41,1968900,0.0
2019-04-23,18.48,18.49,18.21,18.31,3361800,0.0
2019-04-24,18.11,18.15,17.95,17.97,3905400,0.0
2019-04-25,17.9,18.0,17.82,17.96,2426000,0.0
2019-04-26,18.27,18.37,18.2,18.37,2936900,0.0
2019-04-29,18.49,18.56,18.43,18.52,2420800,0.0
2019-04-30,18.48,18.59,18.36,18.52,2475100,0.0
2019-05-01,18.56,18.56,18.34,18.44,2783700,0.0
2019-05-02,18.44,18.46,18.3,18.4,3310600,0.0
2019-05-03,18.3,18.46,18.3,18.46,2709800,0.0
2019-05-06,18.24,18.35,18.16,18.33,2226000,0.0
2019-05-07,18.36,18.39,18.2,18.26,3454800,0.0
2019-05-08,18.21,18.33,18.12,18.16,3681000,0.0
2019-05-09,18.02,18.11,18.0,18.11,3986200,0.0
2019-05-10,18.05,18.33,18.01,18.33,3894600,0.0
2019-05-13,17.33,17.34,16.75,16.77,11133100,0.0
2019-05-14,16.53,16.58,16.11,16.34,20011400,0.0
2019-05-15,16.25,16.3,16.05,16.06,10979100,0.0
2019-05-16,16.0,16.02,15.8,15.87,8469600,0.0
2019-05-17,15.75,15.83,15.7,15.74,5698000,0.0
2019-05-20,15.72,16.06,15.71,16.02,6720200,0.0
2019-05-21,16.08,16.09,15.92,15.97,5194000,0.0
2019-05-22,15.8,15.9,15.78,15.85,4160700,0.0
2019-05-23,15.57,15.61,15.53,15.56,3052500,0.0
2019-05-24,16.0,16.02,15.9,15.99,4183400,0.0
2019-05-28,16.05,16.13,15.94,15.95,5146100,0.0
2019-05-29,16.32,16.36,16.18,16.29,6556100,0.0
2019-05-30,16.32,16.45,16.23,16.38,5675800,0.0
2019-05-31,16.23,16.34,16.18,16.21,3579500,0.0
2019-06-03,16.22,16.38,16.21,16.36,2709000,0.0
2019-06-04,16.92,16.96,16.77,16.89,5599000,0.0
2019-06-05,16.91,16.93,16.74,16.78,5230900,0.0
2019-06-06,16.28,16.28,16.12,16.18,3736000,0.464
2019-06-07,16.38,16.6,16.37,16.44,4317000,0.0
2019-06-10,16.37,16.47,16.34,16.42,3685300,0.0
2019-06-11,16.61,16.65,16.42,16.47,3237200,0.0
2019-06-12,16.4,16.44,16.27,16.29,2170100,0.0
2019-06-13,16.33,16.39,16.23,16.27,2174500,0.0
2019-06-14,16.16,16.17,16.0,16.0,3423400,0.0
2019-06-17,15.92,16.0,15.89,15.92,2363900,0.0
2019-06-18,16.06,16.24,16.06,16.15,3290100,0.0
2019-06-19,15.93,16.13,15.91,16.1,2620500,0.0
2019-06-20,16.19,16.33,16.18,16.31,3429100,0.0
2019-06-21,16.11,16.18,16.03,16.14,3349200,0.0
2019-06-24,16.07,16.12,15.97,16.0,2445300,0.0
2019-06-25,15.73,15.83,15.61,15.69,6292300,0.0
2019-06-26,15.88,16.04,15.82,15.95,4853300,0.0
2019-06-27,16.22,16.33,16.19,16.26,2464400,0.0
2019-06-28,16.36,16.41,16.28,16.33,2657300,0.0
2019-07-01,16.2,16.22,15.96,16.13,2999400,0.0
2019-07-02,16.06,16.26,16.04,16.21,2776600,0.0
2019-07-03,16.55,16.66,16.48,16.5,1918400,0.0
2019-07-05,16.79,16.85,16.67,16.83,3234300,0.0
2019-07-08,16.69,16.75,16.61,16.65,3473700,0.0
2019-07-09,16.5,16.65,16.49,16.55,5744400,0.0
2019-07-10,16.58,16.62,16.46,16.51,3517500,0.0
2019-07-11,16.62,16.66,16.52,16.6,2157800,0.0
2019-07-12,16.47,16.53,16.42,16.49,2266500,0.0
2019-07-15,16.27,16.36,16.25,16.31,3586500,0.0
2019-07-16,15.94,15.95,15.74,15.75,4652300,0.0
2019-07-17,15.68,15.75,15.6,15.68,3174400,0.0
2019-07-18,15.86,15.94,15.75,15.92,3039200,0.0
2019-07-19,16.03,16.18,16.02,16.11,3025000,0.0
2019-07-22,16.03,16.06,15.87,15.94,3401000,0.0
2019-07-23,16.2,16.35,16.14,16.2,4483700,0.0
2019-07-24,16.27,16.45,16.25,16.4,3782400,0.0
2019-07-25,16.43,16.48,16.34,16.38,5383300,0.0
2019-07-26,17.87,18.29,17.82,18.25,10525700,0.0
2019-07-29,18.7,18.74,18.4,18.45,7287500,0.0
2019-07-30,18.43,18.46,18.29,18.39,3761000,0.0
2019-07-31,18.24,18.4,18.04,18.12,5455100,0.0
2019-08-01,18.36,18.44,18.18,18.3,4272900,0.0
2019-08-02,18.24,18.34,18.1,18.32,4736100,0.0
2019-08-05,17.96,17.99,17.8,17.89,2843900,0.0
2019-08-06,17.82,17.91,17.74,17.86,3238000,0.0
2019-08-07,17.7,18.0,17.69,17.98,3168700,0.0
2019-08-08,18.22,18.29,18.15,18.2,2942700,0.0
2019-08-09,17.99,18.09,17.97,18.01,2322600,0.0
2019-08-12,18.04,18.06,17.85,17.85,2574900,0.0
2019-08-13,18.11,18.22,17.98,18.12,3400000,0.0
2019-08-14,17.91,18.0,17.89,17.9,3322900,0.0
2019-08-15,18.01,18.08,17.82,17.89,2716500,0.0
2019-08-16,18.14,18.36,18.04,18.34,3419200,0.0
2019-08-19,18.18,18.27,18.16,18.25,3362500,0.0
2019-08-20,17.99,18.03,17.88,17.93,2679700,0.0
2019-08-21,18.25,18.28,18.14,18.21,2438100,0.0
2019-08-22,18.45,18.47,18.25,18.35,2803800,0.0
2019-08-23,18.52,18.62,18.25,18.29,2970200,0.0
2019-08-26,18.3,18.39,18.22,18.39,2138700,0.0
2019-08-27,18.46,18.54,18.42,18.46,2622100,0.0
2019-08-28,18.53,18.7,18.47,18.68,3223900,0.0
2019-08-29,19.0,19.01,18.88,18.92,3374000,0.0
2019-08-30,18.89,18.93,18.74,18.82,3523300,0.0
2019-09-03,18.85,19.06,18.84,19.0,3834300,0.0
2019-09-04,19.1,19.14,18.98,19.11,2991400,0.0
2019-09-05,19.08,19.09,18.79,18.84,3210600,0.0
2019-09-06,19.02,19.17,18.99,19.15,2657800,0.0
2019-09-09,19.09,19.25,19.03,19.23,3221800,0.0
2019-09-10,19.34,19.48,19.33,19.42,2646300,0.0
2019-09-11,19.45,19.73,19.42,19.72,3372700,0.0
2019-09-12,19.83,19.9,19.72,19.83,3406000,0.0
2019-09-13,20.0,20.09,19.91,19.98,3181600,0.0
2019-09-16,19.72,19.84,19.7,19.71,2535400,0.0
2019-09-17,19.5,19.75,19.39,19.68,3429700,0.0
2019-09-18,19.49,19.52,19.38,19.47,2691000,0.0
2019-09-19,19.83,20.09,19.82,19.96,3180200,0.0
2019-09-20,20.07,20.08,19.77,19.85,4265800,0.0
2019-09-23,19.77,19.87,19.77,19.81,2062500,0.0
2019-09-24,19.97,19.98,19.74,19.82,3894800,0.0
2019-09-25,19.78,19.9,19.7,19.84,2505400,0.0
2019-09-26,20.07,20.12,20.0,20.05,3748400,0.0
2019-09-27,20.01,20.06,19.77,19.83,2564100,0.0
2019-09-30,19.98,19.99,19.87,19.91,2584700,0.0
2019-10-01,19.55,19.57,19.31,19.4,4796900,0.0
2019-10-02,19.4,19.42,19.02,19.08,4127000,0.0
2019-10-03,19.06,19.3,18.99,19.27,2831700,0.0
2019-10-04,19.2,19.49,19.19,19.48,2568700,0.0
2019-10-07,19.78,19.85,19.72,19.76,2613500,0.0
2019-10-08,19.66,19.7,19.56,19.62,2721000,0.0
2019-10-09,19.71,19.74,19.58,19.61,3704400,0.0
2019-10-10,19.79,20.13,19.74,20.09,3619100,0.0
2019-10-11,20.4,20.45,20.22,20.22,3203200,0.0
2019-10-14,20.23,20.32,20.11,20.18,2096800,0.0
2019-10-15,20.4,20.61,20.34,20.54,4622400,0.0
2019-10-16,20.6,20.69,20.5,20.58,2361200,0.0
2019-10-17,20.72,20.75,20.54,20.66,2620300,0.0
2019-10-18,20.62,20.74,20.6,20.61,2566500,0.0
2019-10-21,20.78,20.83,20.5,20.55,2841400,0.0
2019-10-22,20.72,20.82,20.62,20.73,3348100,0.0
2019-10-23,20.81,20.97,20.79,20.96,2538900,0.0
2019-10-24,20.73,20.76,20.58,20.65,2594200,0.0
2019-10-25,20.46,20.59,20.46,20.5,1905000,0.0
2019-10-28,20.49,20.62,20.47,20.57,1845700,0.0
2019-10-29,20.38,20.43,20.25,20.33,2178400,0.0
2019-10-30,20.19,20.34,20.17,20.29,3067100,0.0
2019-10-31,20.33,20.45,20.25,20.42,1658600,0.0
2019-11-01,20.37,20.48,20.36,20.47,1939000,0.0
2019-11-04,20.62,20.72,20.54,20.54,2211600,0.0
2019-11-05,20.67,20.86,20.65,20.85,2808400,0.0
2019-11-06,20.99,20.99,20.79,20.85,3100500,0.0
2019-11-07,20.94,21.01,20.84,20.91,2432800,0.0
2019-11-08,20.86,20.88,20.66,20.68,3318800,0.0
2019-11-11,20.54,20.67,20.45,20.54,4366700,0.0
2019-11-12,21.35,21.72,21.12,21.25,5490400,0.0
2019-11-13,20.87,21.17,20.87,21.11,2567000,0.0
2019-11-14,20.65,20.72,20.43,20.51,3318300,0.0
2019-11-15,19.92,20.04,19.83,19.85,5142700,0.0
2019-11-18,19.8,19.85,19.65,19.67,2926400,0.0
2019-11-19,19.85,19.87,19.73,19.83,3109800,0.0
2019-11-20,19.56,19.7,19.51,19.58,2639300,0.0
2019-11-21,19.64,19.65,19.55,19.61,1863600,0.0
2019-11-22,19.95,20.03,19.89,20.02,3000600,0.0
2019-11-25,20.22,20.25,20.14,20.23,3650800,0.0
2019-11-26,20.26,20.3,20.15,20.24,3849400,0.0
2019-11-27,19.99,20.13,19.92,20.12,3110400,0.497
2019-11-29,19.73,19.83,19.7,19.82,2142100,0.0
2019-12-02,19.47,19.5,19.09,19.18,4539100,0.0
2019-12-03,18.8,19.02,18.76,19.0,3737100,0.0
2019-12-04,19.01,19.15,18.94,19.08,2854400,0.0
2019-12-05,18.95,19.04,18.9,18.95,3504700,0.0
2019-12-06,18.91,18.95,18.81,18.93,2239500,0.0
2019-12-09,18.81,18.95,18.79,18.87,3003600,0.0
2019-12-10,18.73,18.86,18.73,18.79,4240500,0.0
2019-12-11,18.88,18.94,18.83,18.9,2814900,0.0
2019-12-12,19.02,19.12,18.81,18.94,3600200,0.0
2019-12-13,19.45,19.61,19.38,19.53,4740200,0.0
2019-12-16,19.96,19.97,19.69,19.69,4175000,0.0
2019-12-17,19.41,19.59,19.34,19.52,3774100,0.0
2019-12-18,19.56,19.69,19.55,19.61,2688700,0.0
2019-12-19,19.49,19.64,19.49,19.55,2981500,0.0
2019-12-20,19.72,19.74,19.51,19.54,3687200,0.0
2019-12-23,19.39,19.42,19.3,19.36,2586300,0.0
2019-12-24,19.33,19.42,19.32,19.35,1059800,0.0
2019-12-26,19.3,19.44,19.3,19.41,1815800,0.0
2019-12-27,19.59,19.72,19.56,19.62,2387000,0.0
2019-12-30,19.53,19.59,19.33,19.34,2273800,0.0
2019-12-31,19.28,19.35,19.23,19.33,2213500,0.0
2020-01-02,19.38,19.46,19.34,19.43,1734600,0.0
2020-01-03,19.34,19.4,19.29,19.29,1453100,0.0
2020-01-06,19.24,19.39,19.2,19.34,1809400,0.0
2020-01-07,19.36,19.36,19.13,19.21,2543400,0.0
2020-01-08,19.21,19.36,19.2,19.3,1546900,0.0
2020-01-09,19.66,19.88,19.62,19.88,3800100,0.0
