Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,145.44,148.66,145.44,147.76,560500,0
2019-01-03,145.62,147.31,142.37,142.59,665100,0
2019-01-04,144.73,149.84,144.14,148.97,789300,0
2019-01-07,149.12,153.02,148.94,151.4,643000,0
2019-01-08,152.56,157.62,152.22,156.92,942300,0
2019-01-09,156.7,157.79,154.01,155.64,860400,0
2019-01-10,155.17,157.88,152.9,157.76,496200,0
2019-01-11,156.88,158.74,156.35,157.93,512600,0
2019-01-14,156.42,158.86,155.56,157.0,596900,0
2019-01-15,157.98,161.39,157.91,160.45,592400,0
2019-01-16,160.99,162.36,160.48,161.63,876900,0
2019-01-17,160.63,164.22,159.6,163.42,481700,0
2019-01-18,164.75,165.42,162.97,164.44,1077900,0
2019-01-22,163.62,165.27,161.71,163.07,637700,0
2019-01-23,163.29,163.89,161.51,163.09,480700,0
2019-01-24,163.2,163.96,162.06,163.48,614700,0
2019-01-25,164.92,167.21,164.13,165.96,495900,0
2019-01-28,167.29,167.58,164.67,166.16,594300,0
2019-01-29,166.45,166.88,163.75,164.41,341200,0
2019-01-30,165.12,168.82,164.79,168.25,449100,0
2019-01-31,168.47,170.17,167.46,169.27,996100,0
2019-02-01,169.73,170.9,168.32,170.52,685000,0
2019-02-04,170.82,173.69,170.55,173.29,701500,0
2019-02-05,173.33,174.15,172.52,173.78,683800,0
2019-02-06,173.53,174.21,172.38,173.89,644800,0
2019-02-07,172.68,173.63,171.35,173.05,633800,0
2019-02-08,174.0,175.55,171.54,173.09,763600,0
2019-02-11,173.27,174.78,170.1,170.53,698500,0
2019-02-12,171.98,174.37,171.12,174.29,723400,0
2019-02-13,174.71,175.36,173.43,174.28,713200,0
2019-02-14,173.6,175.85,173.6,175.11,433500,0
2019-02-15,176.58,176.58,174.72,175.4,545900,0
2019-02-19,175.12,175.93,174.89,175.68,559000,0
2019-02-20,175.98,176.74,174.35,176.01,613400,0
2019-02-21,176.03,176.62,174.41,176.0,539400,0
2019-02-22,176.76,178.92,175.69,178.79,509900,0
2019-02-25,179.81,180.21,177.89,178.08,788300,0
2019-02-26,177.88,178.67,177.27,178.28,437200,0
2019-02-27,177.47,179.22,176.72,177.9,355300,0
2019-02-28,177.76,178.95,177.11,178.04,671800,0
2019-03-01,178.9,180.79,178.09,180.5,499600,0
2019-03-04,181.08,181.74,175.15,176.82,506600,0
2019-03-05,176.98,178.19,175.07,177.79,541500,0
2019-03-06,177.6,178.84,176.47,176.74,576200,0
2019-03-07,176.75,178.08,175.96,177.49,581300,0
2019-03-08,175.57,177.81,173.84,177.73,412000,0
2019-03-11,178.29,179.7,177.75,179.07,397100,0
2019-03-12,179.85,181.25,178.44,180.5,608800,0
2019-03-13,181.06,182.41,180.09,180.48,595400,0
2019-03-14,180.86,181.56,180.0,181.43,712800,0
2019-03-15,181.52,183.43,180.86,181.62,1226000,0
2019-03-18,181.63,182.68,179.43,180.91,489300,0
2019-03-19,181.81,182.97,180.41,182.3,1032900,0
2019-03-20,182.08,183.4,181.21,181.85,703000,0
2019-03-21,181.51,185.75,181.5,185.38,502300,0
2019-03-22,184.33,185.39,181.49,181.67,432000,0
2019-03-25,181.03,182.2,179.6,181.27,492800,0
2019-03-26,182.59,183.43,181.95,182.97,408400,0
2019-03-27,183.0,183.31,178.37,180.18,447800,0
2019-03-28,180.45,181.54,179.54,181.04,370900,0
2019-03-29,182.31,182.77,181.26,181.56,732600,0
2019-04-01,183.04,186.12,182.11,185.96,630500,0
2019-04-02,185.94,187.32,185.01,186.88,449500,0
2019-04-03,187.63,189.55,187.21,188.09,437500,0
2019-04-04,188.66,188.66,184.32,186.13,313600,0
2019-04-05,186.57,189.6,186.43,189.24,625100,0
2019-04-08,189.01,189.87,187.27,189.77,550700,0
2019-04-09,188.93,190.25,188.33,189.02,706000,0
2019-04-10,189.07,190.29,188.14,188.97,1035200,0
2019-04-11,189.58,190.48,188.17,189.53,1070700,0
2019-04-12,189.94,190.5,188.97,189.6,417900,0
2019-04-15,190.8,191.2,188.9,189.05,478400,0
2019-04-16,189.38,189.8,188.4,188.8,349100,0
2019-04-17,189.38,189.38,186.07,186.3,403700,0
2019-04-18,187.45,187.45,184.68,186.65,485200,0
2019-04-22,186.27,187.67,186.13,187.04,475800,0
2019-04-23,187.44,190.18,187.06,189.29,593000,0
2019-04-24,189.1,190.5,188.24,189.36,366200,0
2019-04-25,188.71,190.32,187.65,189.18,855400,0
2019-04-26,194.4,203.28,191.0,199.86,1096900,0
2019-04-29,199.55,201.0,197.34,197.47,560500,0
2019-04-30,197.0,199.15,196.12,197.45,922500,0
2019-05-01,197.86,198.28,194.32,194.44,467000,0
2019-05-02,194.03,196.03,193.45,194.98,719100,0
2019-05-03,195.62,197.44,195.11,196.95,415100,0
