Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,6.45,7.06,6.45,7.0,71500,0
2019-01-03,6.97,7.03,6.68,6.8,54400,0
2019-01-04,6.85,7.19,6.78,6.94,44900,0
2019-01-07,6.94,7.27,6.9,7.17,57200,0
2019-01-08,7.27,7.37,7.05,7.25,68300,0
2019-01-09,7.28,7.49,7.18,7.43,55300,0
2019-01-10,7.36,7.85,7.36,7.48,95100,0
2019-01-11,7.48,7.76,7.33,7.65,50500,0
2019-01-14,7.62,7.7,7.41,7.47,47700,0
2019-01-15,7.58,7.81,7.47,7.48,82700,0
2019-01-16,7.5,7.76,7.32,7.32,79900,0
2019-01-17,7.27,7.58,7.21,7.45,88300,0
2019-01-18,7.5,7.81,7.34,7.81,97400,0
2019-01-22,7.67,7.76,7.46,7.57,78400,0
2019-01-23,7.6,7.93,7.53,7.56,52400,0
2019-01-24,7.56,7.81,7.46,7.48,62100,0
2019-01-25,7.57,7.96,7.57,7.72,109800,0
2019-01-28,7.66,8.09,7.55,8.02,86600,0
2019-01-29,8.21,8.39,8.13,8.36,157200,0
2019-01-30,8.34,8.61,8.15,8.53,146800,0
2019-01-31,8.5,9.0,8.4,9.0,161300,0
2019-02-01,8.99,9.26,8.72,8.99,155000,0
2019-02-04,9.07,9.6,9.04,9.57,160300,0
2019-02-05,9.56,9.88,9.46,9.71,144600,0
2019-02-06,9.71,10.06,9.7,9.89,163200,0
2019-02-07,9.86,9.98,9.45,9.86,179100,0
2019-02-08,9.73,10.16,9.7,9.97,168500,0
2019-02-11,9.98,10.59,9.9,10.55,305300,0
2019-02-12,10.59,10.9,10.57,10.88,222400,0
2019-02-13,10.89,11.08,10.27,10.91,248700,0
2019-02-14,10.84,10.93,10.57,10.86,125200,0
2019-02-15,10.88,11.08,10.78,11.02,148100,0
2019-02-19,11.0,11.34,10.9,11.17,219100,0
2019-02-20,11.2,11.49,11.06,11.4,164400,0
2019-02-21,11.4,11.59,11.3,11.47,120400,0
2019-02-22,11.47,11.64,11.44,11.59,131000,0
2019-02-25,11.71,11.73,11.51,11.55,111800,0
2019-02-26,11.51,11.68,10.85,11.44,186700,0
2019-02-27,11.32,11.48,11.03,11.14,97900,0
2019-02-28,11.12,11.48,11.0,11.26,107000,0
2019-03-01,11.26,11.46,10.58,10.64,155100,0
2019-03-04,10.4,10.93,10.11,10.35,228100,0
2019-03-05,10.35,10.52,10.13,10.24,127400,0
2019-03-06,10.21,10.44,10.04,10.05,72400,0
2019-03-07,10.04,10.1,9.24,9.53,179200,0
