Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,15.56,16.26,15.56,16.07,1200600,0.0
2019-01-03,15.96,15.96,15.3,15.33,1109800,0.0
2019-01-04,15.59,16.31,15.59,16.16,748900,0.0
2019-01-07,16.39,16.71,16.25,16.63,673500,0.0
2019-01-08,16.74,16.97,16.41,16.54,1402400,0.0
2019-01-09,16.74,17.44,16.74,17.11,2481100,0.0
2019-01-10,17.1,17.48,17.04,17.28,2296400,0.0
2019-01-11,17.2,17.47,17.14,17.36,2108600,0.0
2019-01-14,17.11,17.44,16.84,17.29,1101500,0.0
2019-01-15,17.32,17.64,17.12,17.6,1372700,0.0
2019-01-16,17.69,17.8,17.52,17.69,1898300,0.0
2019-01-17,17.6,17.99,17.6,17.91,1571000,0.0
2019-01-18,18.09,18.2,17.84,17.99,2725000,0.0
2019-01-22,17.75,17.75,17.09,17.14,2320900,0.0
2019-01-23,17.32,17.48,16.95,17.05,2683900,0.0
2019-01-24,17.08,17.65,17.02,17.29,1816900,0.0
2019-01-25,17.46,17.49,17.24,17.43,1867000,0.0
2019-01-28,17.3,17.42,17.15,17.25,3481700,0.0
2019-01-29,17.2,17.27,16.96,17.19,1453700,0.0
2019-01-30,17.2,17.32,16.72,17.27,1818000,0.0
2019-01-31,17.25,17.36,16.98,17.12,1915200,0.0
2019-02-01,17.19,17.45,17.18,17.37,1502400,0.0
2019-02-04,17.48,17.6,17.24,17.45,1204900,0.0
2019-02-05,17.5,17.7,17.31,17.61,1675100,0.0
2019-02-06,17.58,17.94,17.58,17.84,1036100,0.0
2019-02-07,17.73,17.8,17.52,17.79,1815400,0.0
2019-02-08,17.6,17.99,17.6,17.91,2541400,0.0
2019-02-11,18.0,18.42,17.99,18.15,5122200,0.0
2019-02-12,18.46,19.44,18.41,18.8,7169900,0.0
2019-02-13,18.8,19.43,18.8,19.25,5853200,0.0
2019-02-14,19.17,19.43,19.04,19.18,4291300,0.0
2019-02-15,19.08,19.1,18.66,18.81,2933500,0.0
2019-02-19,18.87,19.33,18.75,19.25,5253700,0.0
2019-02-20,19.2,19.6,19.1,19.23,4703800,0.0
2019-02-21,19.3,19.56,19.04,19.45,3807400,0.0
2019-02-22,19.65,19.76,19.44,19.61,4109900,0.0
2019-02-25,19.97,20.18,19.67,19.7,4693000,0.0
2019-02-26,19.49,19.59,19.2,19.49,3771000,0.0
2019-02-27,19.5,19.8,19.44,19.54,4245700,0.0
2019-02-28,19.68,19.98,19.42,19.88,38709100,0.0
2019-03-01,20.03,20.1,19.42,19.59,4050000,0.0
2019-03-04,19.88,21.3,19.88,21.15,6730500,0.0
2019-03-05,20.99,21.36,20.89,20.94,4629300,0.0
2019-03-06,20.88,21.01,20.72,20.86,2643400,0.0
2019-03-07,20.67,20.71,20.14,20.46,3069200,0.0
2019-03-08,20.1,20.21,19.56,20.17,3092000,0.0
2019-03-11,20.29,20.36,19.86,20.13,6427800,0.0
2019-03-12,19.76,20.19,19.44,20.01,7647900,0.0
2019-03-13,18.84,19.42,18.45,19.29,9720600,0.0
2019-03-14,19.3,19.43,18.85,19.12,3988800,0.0
2019-03-15,19.3,19.35,19.03,19.06,3789300,0.0
2019-03-18,19.2,19.38,18.53,18.88,3437600,0.0
2019-03-19,18.99,19.01,18.56,18.64,2237300,0.0
2019-03-20,18.65,18.69,18.16,18.33,3388200,0.0
2019-03-21,18.29,18.43,18.04,18.26,4269300,0.0
2019-03-22,18.23,18.24,17.62,17.69,3689900,0.0
2019-03-25,17.65,17.84,17.62,17.84,3733100,0.0
2019-03-26,18.1,18.1,17.78,17.9,2131000,0.0
2019-03-27,18.0,18.04,17.71,17.83,1478000,0.0
2019-03-28,17.8,18.01,17.78,17.98,1687200,0.0
2019-03-29,17.9,18.3,17.9,18.28,3723300,0.24
2019-04-01,18.65,18.78,18.28,18.45,2970300,0.0
2019-04-02,18.45,18.52,18.24,18.25,1481900,0.0
2019-04-03,18.35,18.61,18.27,18.37,2120600,0.0
2019-04-04,18.39,18.59,18.37,18.47,2335600,0.0
2019-04-05,18.58,19.03,18.56,18.9,2075900,0.0
2019-04-08,18.91,19.03,18.83,18.94,1915300,0.0
2019-04-09,18.87,19.0,18.84,18.97,1277300,0.0
2019-04-10,18.99,19.18,18.83,19.11,1403400,0.0
2019-04-11,18.94,19.25,18.86,19.22,1690900,0.0
2019-04-12,19.35,19.67,19.34,19.52,1553800,0.0
2019-04-15,19.6,19.6,19.17,19.31,2141600,0.0
2019-04-16,19.31,19.4,18.93,19.32,1978600,0.0
2019-04-17,19.42,19.59,19.35,19.52,1140800,0.0
2019-04-18,19.52,19.66,19.45,19.6,922800,0.0
2019-04-22,19.52,19.52,18.99,19.31,1499400,0.0
2019-04-23,19.64,19.87,19.46,19.8,1831300,0.0
2019-04-24,19.82,20.0,19.74,20.0,2776400,0.0
2019-04-25,19.76,19.9,19.43,19.67,1363200,0.0
2019-04-26,19.65,20.0,19.63,19.97,1989700,0.0
2019-04-29,19.97,20.0,19.91,19.92,1219100,0.0
2019-04-30,20.0,20.0,19.75,19.93,2690700,0.0
2019-05-01,20.0,20.0,19.74,19.79,2142000,0.0
2019-05-02,19.78,20.0,19.78,19.98,3192600,0.0
2019-05-03,20.0,20.05,19.91,19.98,3442300,0.0
2019-05-06,19.49,19.49,19.03,19.2,3052700,0.0
2019-05-07,19.04,19.04,18.66,18.8,2288300,0.0
2019-05-08,18.87,19.14,18.78,19.08,1833900,0.0
2019-05-09,18.82,18.98,18.59,18.98,1863600,0.0
2019-05-10,18.86,19.17,18.8,19.01,1976400,0.0
2019-05-13,18.45,18.51,18.01,18.26,3657000,0.0
2019-05-14,18.69,18.73,18.33,18.49,3664100,0.0
2019-05-15,18.38,18.86,18.38,18.82,3433200,0.0
2019-05-16,18.49,19.8,18.47,19.54,4029300,0.0
